10年12月25日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年12月25日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 4R  芝2970m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■10R  芝2000m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,元町ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ａトレンドハンタｰ, 72,岩田康,, 62, -10,* 10, 1,  1.2,⑧⑥④, 1,10, ブチカマシ,,高田潤,,,,, 3,  7.2,②①①, 1,10, グルヴェイグ,---,ルメｰ,, 66,  -7,*  7, 1,  1.5, ④④, 1, 1,Ｈマルカボルト, 82,福永祐,, 87,*  8,  13, 3,  5.5,②②②
 2, 7,Ｃジャニアリシックス, 64,小牧太, 0.2, 59, -11,* 11, 3, 12.7,⑨⑩⑧, 2, 7, トップシノワｰズ,,石神深,200.3,,,, 1,  2.1,④③②, 2, 3, デウスウルト,---,藤岡佑, 0.1, 64,* -5,*  1, 5, 14.9, ①①, 2,12,Ａカワキタフウジン, 85,北村友, 0.2, 86,   4,* 19, 4,  6.8,⑭⑫⑫
 3, 1,Ｋクｰルファルコン, 52,国分優, 0.3, 57,* -8,   4, 9,116.3,①①①, 3, 4, ピサロナイト,,中村将,201.3,,,, 7, 14.8,⑤⑤⑥, 3,12, オメガオンリｰワン,---,ウィリ, 0.6, 56,  -8,  -1, 9, 33.4, ⑤⑤, 3, 6,Ｄヤングアットハｰト, 85,藤田伸, 0.2, 86,   6,* 16, 1,  2.8,⑩⑨⑦
 4, 5,Ｅインペリアルピサ, 57,スミヨ, 0.3, 55, -11,   9, 2,  6.3,⑤⑤⑥, 4, 8, メイショウブソン,,植野貴,201.5,,,, 4, 12.0,③④③, 4, 6, セラヴィ,---,川須栄, 0.7, 57,* -6,  -5, 7, 22.1, ③③, 4,13,Ｍブラストダッシュ, 76,秋山真, 0.3, 84,   7,  12, 5, 11.0,⑤⑤⑥
 5, 4,Ｆタマモブラウン, 56,佐藤哲, 0.4, 60, -11,* 10,14,487.3,⑦⑨⑩, 5,14, テンシノアスタｰ,,岩崎祐,201.5,,,, 9, 49.2,⑦⑦⑤, 5, 2, シｰドダイレクト,---,岩田康, 0.7, 58,  -9,  -1, 2,  7.6, ⑥⑦, 5,14,Ｃワンダｰムシャ, 85,野元昭, 0.5, 78,* 13,  -7, 7, 20.1,①①①
 6,15,Ｇサイキョウイシヤマ, 56,川須栄, 0.4, 58,* -9,   5, 5, 33.3,③③③, 6, 6, トウカイロｰド,,熊沢重,202.1,,,, 5, 13.4,⑥⑥⑦, 6,13, ノｰザンスマイル,---,小牧太, 1.3, 52, -14,*  1,12,145.5, ⑬⑫, 6, 9,Ｆメイショウウズシオ, 84,飯田祐, 0.7, 78,   7,   5, 2,  5.3,⑪⑦④
 7, 3,Ｐエンジェルパレｰド, 31,岩崎祐, 1.1, 53,  -9,   1,13,322.9,④④⑤, 7, 9, ヤラマイカ,,平沢健,202.7,,,,11, 70.1,①②④, 7, 1, ノｰティカルスタｰ,---,北村友, 1.3, 49, -10,  -8, 8, 24.6, ⑩⑧, 7, 8,Ｇマチカネカミカゼ, 82,ウィリ, 0.7, 78,   4,  10,11, 61.4,⑨⑩⑨
 8,14,Ｏメジロミョウジン, 39,福永祐, 1.2, 52,* -9,  -2,10,125.1,②②②, 8, 1, テイエムリュウジン,,白浜雄,202.8,,,, 2,  4.4,⑧⑧⑧, 8,11, サンライズマルス,---,秋山真, 1.4, 51, -14,  -2,10, 37.9, ⑭⑭, 8, 7,Ｊシゲルフセルト, 80,和田竜, 0.7, 80,*  9,   3, 9, 26.1,③③③
