10年 4月18日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 4月18日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 7R  芝1200m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■10R  芝1200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,雪うさぎ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｂラブソネット, 57,長谷川,, 53,* -4,* -1, 1,  2.6,④③④, 1, 8,Ｄテルミｰホワイ, 56,梶晃啓,, 68,*  2,* 11, 2,  4.2,②②②, 1, 2,Ｂトｰホウカイザｰ, 70,石橋脩,, 65,  -4,*  5, 2,  4.4, ⑦⑦, 1, 6,Ａレオパステル, 70,村田一,, 71,*  1,*  1, 2,  3.4, ①①
 2,10,Ｈグリッタラｰティ, 47,西村太, 0.6, 50,* -3,  -7, 9, 44.5,②②②, 2, 2,Ａマイネルウィット, 61,石橋脩, 1.0, 62,*  1,*  4, 4,  5.5,⑦④④, 2,11,Ａシルクマタドｰル, 73,田辺裕, 0.0, 62,  -5,*  7, 4,  7.7, ⑫⑩, 2,15,Ｂガンドッグ, 67,吉田隼, 0.1, 66,  -4,*  3, 1,  3.2, ⑧⑦
 3,11,Ｉグッドティアラ, 46,太宰啓, 0.7, 51,  -6,  -3,12, 87.3,⑬⑦⑦, 3, 4,Ｃシリウスリジル, 60,中舘英, 1.3, 57,*  2,  -1, 3,  4.2,①①①, 3,16,Ｏコクトｰ, 41,丸山元, 0.2, 61,*  4,  -5,10, 62.1, ②②, 3, 1,Ｃバトルレッド, 65,小野次, 0.4, 63,  -2,* -2, 3,  6.4, ④④
 4, 5,Ａラガｰチェイス, 61,中舘英, 0.7, 50,  -6,  -4, 2,  2.7,⑤⑤③, 4,12,Ｂグラスアタック, 60,大野拓, 2.3, 50,*  1,  -7, 5,  5.9,⑥⑥⑤, 4,12,Ｈシャイニｰカフェ, 61,小島太, 0.5, 58,  -9,*  4,11, 69.3, ⑭⑮, 4,10,Ｍサトノディライト, 47,中舘英, 0.6, 62,*  2,  -9, 9, 23.8, ③③
 5, 6,Ｇキョウワフェアリｰ, 48,村田一, 0.7, 52, -10,*  4,10, 48.0,⑭⑭⑬, 5, 7,Ｅナンヨｰストロング, 54,吉田隼, 2.4, 51,*  1,  -8, 1,  3.4,③③③, 5, 9,Ｇテラノチェリｰ, 62,柴原央, 0.6, 56,  -2,  -4, 7, 12.7, ⑨⑧, 5, 3,Ｅアヌエヌエ, 61,木幡初, 0.9, 55,  -5,  -6, 5, 10.7, ⑨⑧
 6, 7,Ｃビレッジホワイト, 56,丸山元, 0.7, 51,  -7,  -2, 3,  8.0,⑧⑧⑥, 6, 6,Ｇメイショウリベット, 51,荻野琢, 2.5, 52,  -1,  -6,10, 77.9,⑧⑨⑧, 6, 8,Ｅリリアｰレ, 64,吉田隼, 0.6, 56,  -8,   1, 8, 22.0, ⑬⑪, 6, 9,Ｈインテグラルヘッド, 58,的場勇, 1.0, 56,*  1, -14, 4,  7.1, ②②
 7,14,Ｄインピッシュハｰト, 54,石橋脩, 0.9, 51,  -8,  -2, 6, 17.2,⑫⑫⑧, 7,10,Ｆセトウチリｰダｰ, 54,田中健, 2.5, 52,   0,  -7,14,222.8,⑤⑧⑥, 7, 1,Ｎオサナゴコロノキミ, 48,西田雄, 0.8, 54,*  3, -11,15,149.4, ③③, 7, 2,Ｆレｰシングマｰチ, 60,小林淳, 1.1, 54,  -4,  -8, 6, 18.6, ⑩⑨
 8, 4,Ｅシゲルゴウヒメ, 51,古川吉, 0.9, 48,* -3,  -9, 4, 11.2,①①①, 8, 3,Ｋボスポジション, 45,田辺裕, 2.9, 48,  -1,  -9, 7, 65.1,⑪⑦⑦, 8, 7,Ｍチャｰムペンダント, 57,太宰啓, 0.8, 53,*  6, -14, 6,  9.5, ①①, 8, 8,Ｇナリタシｰズン, 59,太宰啓, 1.3, 49,  -9,  -7,12, 67.0, ⑮⑬
