10年 8月 7日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 8月 7日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1000m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-13,,,,,■ 4R  芝2850m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,信濃川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｅブレスマイハｰト, 38,内田博,, 48,  -6,* -8, 3,  4.5,   , 1, 2, ニシノアララギ,,横山義,,,,, 3,  6.7,④④④, 1,12,Ｃピカンチラヴ, 73,北村宏,, 76,* 11,*  5, 6,  9.4,①①①, 1, 6,Ｂエオリアンハｰプ, 85,田中勝,, 82,   2,* 18, 3,  4.4, ⑨⑨
 2, 8,Ｂコスモアパッチ, 44,伊藤工, 0.2, 42,  -9,* -9, 2,  3.1,   , 2,14, ハクサン,,石神深,185.7,,,, 1,  2.0,②③③, 2, 3,Ｆクレバｰクリス, 71,田辺裕, 0.5, 74,   7,*  7, 5,  9.1,⑨⑦⑤, 2, 4,Ｇステｰジプレゼンス, 79,後藤浩, 0.2, 78,   2,  14, 1,  2.6, ⑦⑦
 3, 1,Ｇフィジｰクルｰズ, 26,吉田豊, 0.2, 46,* -1, -15, 5, 14.5,   , 3, 7, ディアマイホｰス,,江田勇,185.7,,,, 7, 24.4,⑦⑥⑥, 3,13,Ｂエレガントマナｰ, 74,中舘英, 0.7, 72,   8,*  3, 4,  6.7,⑥⑤④, 3, 3,Ａトウショウデザｰト, 85,吉田豊, 0.3, 76,   1,* 15, 5, 10.5, ⑩⑩
 4,11,Ａダイキチチョウナン, 44,蛯名正, 0.4, 43,* -1, -18, 1,  2.9,   , 4, 6, ピサノシンボル,,五十嵐,185.9,,,, 2,  4.4,①①①, 4, 8,Ａシャインエフォｰト, 74,吉田豊, 1.3, 66,   7,  -1, 1,  3.6,⑤⑥⑥, 4, 7,Ｃヤマニンウイスカｰ, 81,松岡正, 0.4, 75,   5,   5, 2,  3.7, ②②
 5, 7,Ｃニシノゼｰレ, 41,岩部純, 0.7, 37,  -5, -18, 7, 23.4,   , 5,12, オンワｰドシェルタ,,穂苅寿,186.2,,,, 5, 13.2,⑤②②, 5, 2,Ｄダンサｰズブロンド, 73,内田博, 1.3, 71,* 10,  -2, 3,  4.9,③③③, 5, 8,Ｆマジックビクトリア, 79,津村明, 0.6, 73,   2,   6, 7, 35.4, ⑤⑤
 6, 5,Ｉサンマルフェアｰ, 12,宮崎北, 0.8, 39,* -1, -23, 8, 27.6,   , 6, 9, タイキボナパルト,,草野太,186.8,,,, 6, 15.4,⑧⑤⑤, 6,11,Ｇトｰアウキウキ, 68,江田照, 1.5, 66,*  9,  -8, 8, 20.0,②②②, 6,12,Ｄレオプログレス, 81,蛯名正, 0.6, 76,   1,  13, 6, 15.2, ⑪⑪
 7,10,Ｆビヨンドザリミット, 27,松岡正, 1.0, 31, -10, -18, 6, 14.7,   , 7, 3, ヤマニンプレアデス,,大庭和,189.7,,,, 4, 13.1,③⑦⑦, 7, 6,Ｌキストゥクラウン, 62,平野優, 1.6, 67,   5,   0,13,133.1,⑫⑨⑦, 7, 2,Ｊタニオブゴｰルド, 75,北村宏, 0.7, 67,* 13, -20, 8, 43.8, ①①
 8, 4,Ｄコスモサンドリヨン, 38,田中博, 1.0, 31,  -8, -20, 4,  9.0,   , 8, 4, フナベンケイ,,山本康,190.0,,,, 9, 38.7,⑪⑪⑪, 8, 1,Ｅオネスト, 72,武士沢, 2.3, 61,   5,  -3,11, 96.0,⑩⑬⑭, 8, 5,Ｌリュウノボｰイ, 61,坂井英, 0.8, 72,   2,   6,11,117.9, ⑧⑧
 9, 6,Ｈマハリクマハリタ, 24,小林淳, 2.3, -4, -27, -26, 9, 76.6,   , 9, 1, カヤドｰモトヒメ,,柴田未,190.7,,,,10, 41.1,⑨⑨⑨, 9,14,Ｊチェルカトロｰバ, 64,伊藤工, 2.5, 59,   4,  -6, 7, 16.6,⑬⑭⑬, 9, 1,Ｉトゥリオｰニ, 76,内田博, 1.0, 69,   3,  -3, 4,  8.6, ④③
10, 3, ファンタジｰランド,---,菅原隆, 2.5,-16, -38, -21,11,121.9,   ,10, 5, タニノゴッドマザｰ,,高野和,190.8,,,, 8, 25.2,⑥⑧⑧,10,15,Ｋバンダムロｰゼ, 62,後藤浩, 2.7, 57,   6, -11,10, 47.5,⑦⑧⑨,10, 9,Ｋラヴォランテ, 73,伊藤工, 1.2, 66,   4,  -4,12,147.6, ③④
11, 2,Ｊロベッジ,-16,西田雄, 3.3,-19, -25, -40,10, 99.7,   ,11,10, ヤマニンドレｰプ,,浜野谷,191.5,,,,13,188.0,⑫⑩⑩,11, 9,Ｈアルウェット, 65,石橋脩, 2.9, 58,   6, -12, 9, 38.8,⑭⑪⑩,11,10,Ｅリバイバルシチｰ, 79,草野太, 1.2, 66,   2,  -3,10,107.2, ⑥⑥
,,,,,,,,,,,,12, 8, オンワｰドラｰト,,金子光,193.5,,,,11,147.4,⑩⑫⑫,12, 5,Ｏサントゥｰル, 50,小野寺, 2.9, 59,   6, -11,12,118.3,⑧⑩⑪,12,11,Ｈストロングラリｰ, 78,中舘英, 2.0, 61,  -1,  -5, 9, 98.9, ⑫⑫
