10年 1月11日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 1月11日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 4R  芝2930m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝2200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■10R  ダ1200m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山科ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ａクｰルジャズ, 68,藤田伸,, 59,*  1,  -2, 2,  4.4, ①①, 1, 5, ブルｰベドウィン,,高田潤,,,,, 6, 34.0,②①①, 1,10,Ｃロｰドニュｰスタｰ, 78,岩田康,, 83,* 11,   1, 1,  2.9,⑪②②, 1,12,Ａケイアイガｰベラ, 86,秋山真,, 80,*  4,  16, 1,  2.4, ②②
 2, 6,Ｂハｰトフルボディ, 64,武豊  , 0.0, 59,  -4,*  2, 1,  2.0, ⑤⑥, 2,10, ナナヨｰヒマワリ,,北沢伸,195.8,,,, 1,  2.3,⑦⑥⑤, 2, 4,Ａトパンガ, 81,上村洋, 0.2, 81,   9,   2, 4,  8.8,⑤⑤③, 2,11,Ｂスペシャルクイン, 84,藤田伸, 0.0, 81,*  5,  16, 3,  4.8, ①①
 3,15,Ｆロｰズバレｰ, 54,秋山真, 0.1, 56,* -1,* -1, 6, 24.4, ②②, 3, 2, スプリングカエサル,,白浜雄,196.3,,,, 3,  6.9,④⑤⑥, 3, 7,Ｅサンライズスカイ, 76,浜中俊, 0.2, 82,   7,*  9, 7, 16.8,⑮⑫⑩, 3, 7,Ｈセイウンプレジャｰ, 79,角田晃, 0.2, 81,  -3,* 21, 9, 44.3, ⑪⑪
 4, 3,Ｄエスジｰナミ, 56,川田将, 0.8, 53,* -1,  -6, 7, 37.7, ③③, 4,14, トウカイロｰド,,熊沢重,196.7,,,, 4,  7.8,①③②, 4, 9,Ｆリアルプリンス, 75,川田将, 0.3, 81,* 10,  -1, 2,  4.7,③④⑤, 4,10,Ｇバトルサクヤビメ, 80,上村洋, 0.4, 79,   1,  16, 5, 15.5, ⑦⑧
 5,13,Ｋプリンセスメイク, 48,田嶋翔, 1.0, 50,  -8,  -2, 4,  7.2, ⑫⑫, 5,13, マッハジュウクン,,西谷誠,196.8,,,, 2,  2.7,⑥②③, 5, 8,Ｈマッキｰバッハ, 74,幸英明, 0.5, 78,   8,   2,10, 41.0,⑧⑧⑨, 5, 3,Ｌコウジンアルス, 73,和田竜, 0.6, 76,   2,  13, 7, 32.1, ⑤⑥
 6,11,Ｎコウエイマドンナ, 39,国分恭, 1.0, 49,* -2,  -8,10, 73.3, ④④, 6, 4, ニットウサラン,,佐久間,197.0,,,, 7, 35.5,⑤④④, 6, 6,Ｇテイエムリュウジン, 75,国分恭, 0.6, 77,   5,*  8,11, 45.7,⑭⑮⑬, 6, 6,Ｅアｰトオブウォｰ, 81,幸英明, 0.7, 75,   3,  11, 4,  6.5, ④④
 7, 2,Ｃクラシックアｰト, 58,岩田康, 1.1, 48,  -6,  -6, 3,  6.0, ⑦⑧, 7, 3, ビｰドラスティック,,小坂忠,197.6,,,, 5, 29.4,⑩⑧⑧, 7, 2,Ｋハｰトシュｰタｰ, 73,池添謙, 0.6, 77,   7,   1, 9, 23.4,⑩⑩⑪, 7, 9,Ｍテイエムカゲムシャ, 67,熊沢重, 0.8, 75,  -3,  16, 8, 41.5, ⑨⑫
 8,10,Ｈテイエムウミユキ, 50,高井彰, 1.2, 49,  -4,  -7,13,282.6, ⑥⑤, 8, 6, キングマジック,,浜野谷,197.8,,,,12,177.3,⑧⑦⑦, 8, 5,Ｂナリタジャングル, 81,武豊  , 0.8, 75,   9,  -3, 3,  6.0,⑦⑨⑧, 8, 2,Ｆセレスダイナミック, 81,岩田康, 0.8, 74,  -5,* 17, 6, 21.0, ⑫⑩
 9, 7,Ｉチキリパンドラ, 49,幸英明, 1.3, 48,  -5,  -7,11,102.2, ⑧⑦, 9,11, マッキｰガリウム,,高野容,199.3,,,, 8, 37.2,⑫⑪⑩, 9,12,Ｌマイネルクロイツ, 72,佐藤哲, 1.0, 71,* 11, -15, 6, 13.3,①①①, 9, 4,Ｉスペｰスフライト, 78,佐藤哲, 0.8, 74,   1,  12,11,103.7, ⑧⑦
10, 1,Ｇシュンセイ, 51,太宰啓, 1.3, 48, -11,  -2, 9, 63.8, ⑬⑬,10, 9, バサラプリンセス,,岩崎祐,199.3,,,,13,200.5,⑪⑩⑨,10, 3,Ｐアスカノラムセス, 63,松山弘, 1.2, 72,   6,  -2,16,343.6,⑫⑭⑮,10, 5,Ｊスマｰトギルド, 75,藤岡康, 1.2, 71,  -5,  14,13,318.8, ⑬⑬
11, 8,Ｅメイプルリボｰン, 54,佐久間, 1.3, 48,  -7,  -5, 8, 55.6, ⑪⑩,11,12, リッシンボス,,五十嵐,200.2,,,,11,120.5,③⑨⑪,11,13,Ｍスティアヘッド, 72,秋山真, 1.3, 71,   9, -12, 8, 21.5,⑥⑥⑥,11, 8,Ｄナイジェラ, 83,太宰啓, 1.4, 69,   0,   8, 2,  4.1, ⑩⑨
12, 5,Ｍシゲルゴウヒメ, 40,松山弘, 1.5, 44,  -8,  -7,12,178.1, ⑩⑪,12, 8, ドラゴンホｰラｰ,,仲田雅,202.5,,,, 9, 57.3,⑨⑫⑫,12,11,Ｏロングキャロル, 71,大下智, 1.3, 70,   6,  -5,15,198.1,⑬⑬⑫,12, 1,Ｃシｰアクロス, 84,大下智, 1.4, 68,   3,   5,10, 75.7, ③③
13,16,Ｌキタサンエタニティ, 47,芹沢純, 1.7, 43, -15,  -2,14,419.9, ⑭⑭,13, 1, ハギノアスラン,,菊地昇,208.6,,,,10, 68.1,⑬⑬⑬,13, 1,Ｄガンダｰラ, 78,和田竜, 1.4, 69,   9, -15, 5,  9.6,②③④,13,13,Ｋアグネスマクシマム, 75,渡辺薫, 1.5, 68,   3,   4,12,127.2, ⑥⑤
14,12,Ｊキョウワキララ, 49,武幸四, 1.9, 45,  -5, -12, 5, 14.9, ⑨⑨,14, 7, スナｰクキャロル,,江田勇,209.5,,,,14,297.5,⑭⑭⑭,14,16,Ｊルナフライト, 73,藤田伸, 1.6, 68,   9, -17,14,107.3,④⑦⑦,,,,,,,,,,,,
15, 9,Ｏビバライフワｰク, 28,飯田祐, 2.4, 37, -17,  -5,16,576.4, ⑮⑮,,,,,,,,,,,,,15,15,Ｉシゲルエボシダケ, 74,川島信, 1.7, 68,   6,  -9,12, 51.0,⑯⑯⑯,,,,,,,,,,,,
16, 4,Ｐオｰミハイネス,-25,川島信, 5.8,  8, -23, -29,15,430.9, ⑯⑯,,,,,,,,,,,,,16,14,Ｎメイショウケンロク, 72,高橋亮, 2.4, 61,   7, -24,13,100.5,⑨⑪⑭,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:0),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:0),,,,,,,,,,,
単勝:440円 複勝:14=150円 06=120円 15=390円 枠連:280円,,,,,,,,,,,,"単勝:3,400円 複勝:05=480円 10=130円 02=210円 枠連:3,310円",,,,,,,,,,,,単勝:290円 複勝:10=150円 04=240円 07=340円 枠連:730円,,,,,,,,,,,,単勝:240円 複勝:12=140円 11=160円 07=720円 枠連:390円,,,,,,,,,,,
"馬連:490円 ワイド:06-14=240円 14-15=1,020円 06-15=710円",,,,,,,,,,,,"馬連:3,400円 ワイド:05-10=970円 02-05=1,370円 02-10=380円",,,,,,,,,,,,"馬連:1,320円 ワイド:04-10=610円 07-10=1,050円 04-07=2,020円",,,,,,,,,,,,"馬連:540円 ワイド:11-12=270円 07-12=1,650円 07-11=1,950円",,,,,,,,,,,
"馬単:1,260円 3連複:2,390円 3連単:11,060円",,,,,,,,,,,,"馬単:11,110円 3連複:4,930円 3連単:65,080円",,,,,,,,,,,,"馬単:2,250円 3連複:7,840円 3連単:28,710円",,,,,,,,,,,,"馬単:830円 3連複:5,390円 3連単:13,280円",,,,,,,,,,,
