10年11月 6日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年11月 6日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝3100m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ2100m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,伊勢佐木特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｄフラワｰロック, 53,内田博,, 58,  -6,*  4, 2,  4.1, ⑦⑦, 1, 4, アドマイヤサンサン,,高田潤,,,,, 3,  6.4,②③③, 1, 6,Ｂタマモワルツ, 71,田辺裕,, 72,  -1,* 11, 3,  4.7, ⑥⑥, 1, 8,Ａインフィニットエア, 89,後藤浩,, 78,  10,   5, 1,  1.6,⑤⑥⑤
 2,12,Ｆドナリサ, 47,蛯名正, 0.5, 54,  -7,*  2, 5, 11.2, ⑨⑨, 2, 3, ナカヤマスナイパｰ,,宗像徹,209.9,,,, 2,  5.9,①①①, 2, 5,Ｃクルンプホルツ, 71,田中博, 0.1, 74,  -5,* 15, 2,  4.3, ⑪⑩, 2, 7,Ｆジｰガｰトップ, 80,津村明, 0.0, 78,   8,*  9, 6, 23.8,⑮⑫⑩
 3, 2,Ｊバライロｰ, 40,勝浦正, 0.5, 54,* -1,  -6, 7, 27.2, ①①, 3, 8, ディアディアｰ,,柴田大,209.9,,,, 4,  7.6,⑤⑤⑤, 3, 8,Ｈマドモアゼルノン, 65,柴田大, 0.6, 67,*  3,   1,11, 98.5, ②②, 3, 5,Ｇレッドアイ, 79,内田博, 0.1, 79,* 11,   2, 2,  6.2,⑯①①
 4, 7,Ｇコウマルクイｰン, 46,津村明, 0.7, 51,  -6,  -2,12,156.9, ⑥⑥, 4,13, クリｰバレン,,山本康,210.2,,,, 6, 15.0,③②②, 4,12,Ｄジュエルビスティｰ, 70,勝浦正, 0.6, 69,  -5,* 11, 4,  6.8, ⑩⑪, 4, 3,Ｄスパｰクルシチｰ, 81,勝浦正, 0.1, 79,   7,* 13, 5, 17.4,⑭⑮⑮
 5,11,Ａグリｰンファイヤｰ, 62,伊藤工, 0.7, 52,  -5,  -3, 4,  4.9, ⑤⑤, 5, 6, プラテアｰド,,横山義,210.8,,,, 1,  2.3,④④④, 5,15,Ｊラッキｰフラワｰ, 64,三浦皇, 0.6, 69,   1,   5, 8, 46.7, ⑤⑤, 5, 9,Ｈアイアムイチバン, 79,柴山雄, 0.3, 76,* 11,   1, 8, 30.6,③④③
 6, 9,Ｂメｰンテｰブル, 62,三浦皇, 0.8, 52,  -9,*  2, 3,  4.9, ⑩⑩, 6, 9, スズマｰシャル,,鈴木慶,210.8,,,, 9, 33.7,⑧⑨⑨, 6,13,Ｋキャンパスライフ, 64,後藤浩, 0.6, 68,   2,   3, 5,  7.6, ④③, 6, 6,Ｉメジロティモン, 78,吉田豊, 0.4, 75,   6,*  9,11, 65.1,⑨⑪⑬
 7, 5,Ｃクリアザウェイ, 56,後藤浩, 1.0, 48,  -4,  -7, 1,  3.1, ④③, 7, 1, ネヴァリバティ,,五十嵐,211.4,,,, 5, 10.7,⑨⑦⑦, 7, 7,Ｆスプリングルｰシｰ, 67,北村宏, 0.7, 66,  -4,   8, 9, 48.6, ⑨⑧, 7,13,Ｅマチカネヒヨドリ, 80,大庭和, 0.6, 75,   8,   6,10, 34.3,⑪⑬⑫
 8, 1,Ｅコスモアイボリｰ, 49,柴田大, 1.2, 49,  -5,  -7, 8, 46.6, ③④, 8, 5, ニシノアララギ,,浜野谷,211.5,,,,12, 39.6,⑦⑥⑥, 8, 1,Ａビクトリアスバイオ, 73,蛯名正, 1.2, 64,  -7,   9, 1,  3.1, ⑭⑭, 8,10,Ｍカントリｰスノｰ, 73,蛯名正, 0.9, 72,   9,  -1, 7, 29.3,④⑤⑥
