10年 7月25日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 7月25日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■10R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ函館,,,,,,,,,,,,,,,,,,,,,,,,道新ｽﾎﾟｰﾂ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-11 馬場:良(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-7),,,,,,,,,,,
単勝:230円 複勝:02=110円 09=150円 03=200円 枠連:520円,,,,,,,,,,,,"単勝:1,300円 複勝:11=430円 07=240円 06=410円 枠連:1,290円",,,,,,,,,,,,単勝:340円 複勝:12=150円 09=160円 01=180円 枠連:830円,,,,,,,,,,,,単勝:190円 複勝:06=120円 05=120円 枠連:0円,,,,,,,,,,,
馬連:580円 ワイド:02-09=220円 02-03=260円 03-09=560円,,,,,,,,,,,,"馬連:3,180円 ワイド:07-11=940円 06-11=2,280円 06-07=1,410円",,,,,,,,,,,,"馬連:1,180円 ワイド:09-12=420円 01-12=480円 01-09=460円",,,,,,,,,,,,馬連:170円 ワイド:05-06=110円 03-06=340円 03-05=360円,,,,,,,,,,,
"馬単:1,000円 3連複:1,010円 3連単:3,250円",,,,,,,,,,,,"馬単:9,730円 3連複:12,250円 3連単:83,030円",,,,,,,,,,,,"馬単:1,880円 3連複:1,980円 3連単:8,550円",,,,,,,,,,,,"馬単:290円 3連複:650円 3連単:1,890円",,,,,,,,,,,
■ 2R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 5R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 8R  芝2600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■11R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,横津岳特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｄエアツイッタｰ, 62,池添謙,, 64,*  3,*  2, 1,  1.5,②②②, 1, 5,Ｆスプリングミント, 60,黛弘人,, 69,*  6,*  2, 7, 20.0,①①①, 1, 3,Ｂゴｰルデンハインド, 74,藤田伸,, 84,* 13,*  1, 3,  3.7,①①①, 1, 9,Ｃラヴィンライフ, 76,横山典,, 69,   1,* 20, 2,  3.9,⑪⑤⑤
 2,10,Ａヒロインシチｰ, 66,柴山雄, 0.4, 61,   3,   0, 2,  7.4,④④③, 2,10,Ａトウカイノｰマル, 68,藤田伸, 0.3, 68,*  5,   1, 2,  3.0,④③②, 2, 7,Ｊドリｰムセｰリング, 62,荻野琢, 1.2, 74,* 12, -12, 9, 58.9,③②②, 2, 6,Ｂコスモフォｰス, 76,木幡初, 0.1, 67,*  3,* 15, 4,  6.9,③③②
 3, 1,Ｃサザンクロスレディ, 62,長谷川, 0.4, 62,   1,   1, 3,  7.4,⑤⑤⑤, 3, 6,Ｃマイネルウィット, 64,大野拓, 0.4, 65,   2,*  5, 5, 11.6,⑨⑩⑦, 3, 8,Ｆウェザｰサイド, 68,秋山真, 1.3, 76,   9,*  0, 8, 25.3,⑨⑧⑧, 3, 2,Ａカズノタイショウ, 78,丸山元, 0.5, 65,*  4,   9, 1,  3.0,①①①
 4, 7,Ｆイエスマイダｰリン, 61,武英智, 0.5, 61,   0,   1, 7, 23.7,⑦⑥⑥, 4, 9,Ｄグランブリｰズ, 62,丸山元, 1.1, 62,   4,  -4, 4,  9.9,③⑤⑤, 4, 5,Ｉメジロジョン, 66,小野次, 1.4, 73,   9,  -5, 4,  8.5,⑥⑦⑥, 4,13,Ｄマスタｰコｰク, 76,四位洋, 0.6, 63,*  3,  10, 3,  6.8,②②③
 5, 9,Ｈラスティングソング, 59,上村洋, 0.8, 63,   1,   0, 5, 14.6,⑨⑦⑦, 5, 2,Ｂフレｰヴァリスト, 66,吉田隼, 1.2, 62,   3,  -4, 1,  2.8,⑫⑦⑥, 5, 9,Ｇグルｰオン, 67,柴山雄, 1.7, 72,* 12, -14, 5, 18.6,⑤④④, 5, 3,Ｇラグナロク, 68,丹内祐, 1.2, 61,*  3,   5, 9, 38.5,④④④
 6, 6,Ｇインピッシュハｰト, 60,木幡初, 0.9, 57,*  3,  -5, 8, 26.4,①①①, 6,12,Ｊキクノシャンティ, 52,柴山雄, 1.4, 58,   0,   1,10, 54.0,⑪⑪⑪, 6, 4,Ｈトミケンプライム, 67,丸田恭, 1.8, 72,  10,  -8, 7, 23.1,⑩⑨⑨, 6, 4,Ｋホクセツポイント, 61,小野次, 1.6, 61,  -2,  13,13,229.4,⑨⑧⑦
