10年 4月17日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 4月17日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝1600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 7R  ダ1200m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  ダ1800m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,総武ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ａサングレアズｰル, 68,松岡正,, 67,*  1,*  1, 2,  3.2, ①①, 1, 3,Ｃシャイニンアｰサｰ, 56,横山典,, 60,   7,*-10, 2,  3.8,⑫⑧⑦, 1,11,Ｂルナロッソ, 73,藤田伸,, 69,  -4,* 11, 1,  1.7, ⑤④, 1,15,Ｃコロナグラフ, 87,伊藤工,, 82,* 13,  16, 3,  5.7,②②①
 2, 8,Ｃレインボｰハｰト, 61,戸崎圭, 1.4, 55,  -1,  -8, 3,  5.3, ④④, 2, 6,Ｅユメユメユメ, 53,松岡正, 0.5, 56,   9, -22, 5, 13.4,⑧④⑤, 2, 9,Ａロｰブドヴルｰル, 75,内田博, 0.0, 69,* -2,  10, 2,  3.5, ③③, 2, 8,Ｆストロングバサラ, 85,北村宏, 0.4, 78,* 12,  13,11, 35.4,③④②
 3, 6,Ｄハニｰカラｰ, 60,伊藤工, 1.4, 54,  -9,  -1, 5, 11.9, ⑩⑨, 3, 5,Ｇオｰサンクロッカス, 50,北村宏, 0.5, 56,* 11, -23,11, 59.6,③③③, 3, 5,Ｇオンワｰドセジｰル, 67,加藤士, 0.4, 66,*  0,   5, 5, 17.9, ①①, 3, 1,Ｍシｰダｰラック, 81,蛯名正, 0.5, 82,  10,  16, 8, 29.4,⑧⑦⑦
 4, 2, ベルモントマナフィ,---,内田博, 1.8, 52, -15,*  2, 9, 50.0, ⑭⑭, 4,13, ロｰズママ,---,後藤浩, 0.6, 54,   8, -20, 7, 26.3,⑦⑨⑧, 4,13,Ｃクルンプホルツ, 70,蛯名正, 0.4, 66,  -7,* 11, 4, 10.0, ⑨⑧, 4,16,Ｄユノゾフィｰ, 86,横山典, 0.7, 79,  10,  15, 2,  5.0,⑦⑧⑧
 5, 4,Ｇパリｰジョ, 57,後藤浩, 1.8, 50,  -1, -12, 1,  2.8, ③②, 5,15,Ａケイアイプログレス, 60,戸崎圭, 0.7, 52,   8, -23, 1,  2.4,⑥⑦⑥, 5,12,Ｊワンダフルスイｰト, 60,戸崎圭, 0.6, 64, -10,* 12, 8, 53.5, ⑬⑪, 5,10,Ｈシルクイｰグル, 84,柴田善, 0.7, 79,   9,  16, 5, 13.3,⑩⑨⑨
 6, 7,Ｈシンセツ, 52,江田照, 2.0, 50, -12,  -3,10, 97.3, ⑫⑫, 6, 8,Ｄメジロクリントン, 55,吉田豊, 0.8, 51,   5, -19, 9, 29.7,⑭⑩⑨, 6, 8,Ｄフェミニンワイルド, 69,武士沢, 0.8, 60,  -5,   6, 9, 73.8, ⑦⑥, 6, 2,Ａパワｰストラグル, 89,戸崎圭, 0.7, 80,* 12,  12, 1,  2.1,④③③
 7,14,Ｊカシノカルミア, 47,二本柳, 2.1, 49, -14,  -3,15,371.4, ⑬⑬, 7, 4,Ｉヤマニンピトレスク, 48,伊藤工, 1.0, 48,* 12, -32,12,139.0,①①①, 7,14,Ｉメジロアリス, 61,岩部純, 0.9, 61,  -8,   8, 6, 28.7, ⑪⑫, 7, 4,Ｇカネスラファｰル, 85,吉田豊, 0.8, 78,   9,  16, 9, 32.4,⑨⑩⑩
 8,13,Ｉスベトラｰナ, 49,吉田隼, 2.1, 49,  -7,  -9,11,108.2, ⑧⑧, 8,12,Ｊリファｰルエル, 48,吉田隼, 1.4, 45,   9, -34,13,189.9,⑤⑤④, 8, 7,Ｆスプリングルｰシｰ, 67,後藤浩, 1.2, 57,  -5,   2, 3, 10.0, ⑥⑦, 8, 6,Ｋヤマタケディガｰ, 82,武士沢, 1.0, 78,   7,* 19,10, 34.4,⑮⑯⑮
