10年 6月19日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 6月19日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 4R  芝1000m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ函館,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｄデルマプロティナ, 58,竹之下,, 58,   4,  -4, 7, 18.7,⑤③⑥, 1,11, ルリニガナ,---,藤岡佑,, 70,*-10,*  7, 2,  4.0, ②②, 1,12,Ｅトミケントラスト, 69,勝浦正,, 68,   3,*  7, 9, 34.3, ⑥⑤, 1, 4,Ａタイキジャガｰ, 80,丸山元,, 69,*  8,   7, 1,  1.8,②②①
 2, 3,Ａメイショウボヌス, 65,武幸四, 0.0, 64,   3,* -2, 4,  7.2,⑦⑥⑤, 2, 2, ゼフィランサス,---,藤田伸, 0.2, 67,* -8,*  4, 1,  1.7, ①①, 2,11,Ａサスティナブル, 84,丸山元, 0.0, 70,* 10,   3, 1,  1.7, ②②, 2, 9,Ｃアイソトｰプ, 78,安藤勝, 0.2, 67,*  7,   7, 4,  9.7,⑤④②
 3, 5,Ｅポロメリア, 56,藤田伸, 0.3, 57,   3,* -3, 6, 12.5,⑬⑧⑦, 3, 4, コスモマスク,---,丹内祐, 0.9, 55, -14,  -2, 6, 30.3, ③③, 3, 8,Ｂメイショウエルピス, 73,藤岡佑, 0.5, 66,* 11,  -2, 4,  9.7, ①①, 3,11,Ｅブラックルｰラｰ, 73,秋山真, 0.2, 69,   6,*  9, 5, 13.2,⑦⑥⑤
 4, 8,Ｂサントワマミｰ, 63,木幡初, 0.3, 54,   4,  -6, 5,  8.6,⑥⑤④, 4, 9, ディアガヤルド,---,四位洋, 1.2, 50, -14,  -6, 3,  6.8, ⑤④, 4, 5,Ｉイｰサンヘモス, 67,大野拓, 0.6, 61,   0,   5, 5, 13.1, ⑦⑦, 4, 8,Ｈウィアｰザスタｰ, 68,吉田隼, 0.5, 68,   6,   6, 6, 25.2,④⑤③
 5,11, タマモアイ,---,古川吉, 0.9, 51,*  5, -13,11, 55.8,③④③, 5, 6, スタｰトセンス,---,勝浦正, 1.5, 45, -18,  -7, 5, 19.0, ⑥⑥, 5, 4,Ｆフライトマイル, 68,古川吉, 0.8, 61,   8,  -3, 8, 26.5, ④④, 5,12,Ｆシンボリプロキオン, 72,大野拓, 1.0, 60,   5,   4,12,224.6,⑧⑦⑥
 6, 7,Ｈアロマセラピスト, 54,荻野琢, 1.1, 54,   3,  -8,10, 34.5,⑧⑨⑧, 6, 3, ミュｰオン,---,西村太, 1.7, 41, -14, -12, 4, 12.1, ④⑤, 6, 9,Ｋプリンシプルレディ, 62,西村太, 0.9, 59,  -6,*  6,11, 49.8, ⑪⑪, 6, 1,Ｇシンメトリｰアｰト, 68,丸田恭, 1.1, 64,   3,*  8,10, 90.5,⑩⑩⑩
 7, 1,Ｌエブリシング, 43,池添謙, 1.6, 45,*  6, -21, 3,  6.9,②②②, 7, 7, ハｰドボイルド,---,吉田隼, 2.1, 37, -33,  -6, 8, 46.8, ⑧⑦, 7, 1,Ｈニシノミｰチャン, 67,荻野琢, 0.9, 59,  -8,*  7, 3,  8.1, ⑩⑩, 7,10,Ｋキングスグリｰム, 64,木幡初, 1.2, 60,   3,   5,11,195.3,⑥⑨⑨
 8,10,Ｇロングエンプレス, 54,小林徹, 1.7, 50,   1,  -9,12, 76.8,⑫⑬⑫, 8,10, スリｰスプリント,---,丸山元, 2.2, 35, -29, -10, 7, 36.6, ⑦⑧, 8, 2,Ｇグレイスサンセット, 68,柴山雄, 1.0, 57,  -4,   3, 7, 24.9, ⑨⑧, 8, 5,Ｂレッドジｰル, 80,池添謙, 1.5, 57,*  7,  -4, 3,  5.9,③③④
