10年 9月11日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 9月11日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 7R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  芝1800m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｺｽﾓｽ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｃウッドシップ, 51,丸山元,, 58,*  0,* -2, 3,  4.3, ②②, 1, 6,Ｉミッキｰミステリｰ, 47,四位洋,, 68,*  3,*  5, 2,  3.3,①①①, 1,11,Ｅピュアマリｰン, 71,芹沢純,, 64,  -1,*  9, 4, 14.3, ⑤④, 1, 3,Ｂマイネルギブソン, 54,丹内祐,, 71,*-19,  17, 5,  6.0,①①①
 2, 1,Ｅロトドレッサｰ, 50,吉田隼, 0.3, 56,*  1,  -5, 5,  9.5, ①①, 2, 2,Ａガラパ, 69,藤田伸, 1.5, 59,   2,  -5, 1,  1.7,④③③, 2,10,Ｄピサライコネン, 72,藤田伸, 0.0, 66,*  0,   8, 1,  2.5, ③③, 2,10,Ａロビンフット, 65,勝浦正, 0.1, 67, -22,  20, 1,  2.7,④③②
 3, 5,Ｄランギット, 51,藤田伸, 0.7, 51,*  0,  -8, 1,  3.4, ③③, 3, 4,Ｃスマｰトクロｰザｰ, 59,上村洋, 1.5, 62,   0,  -2, 4,  9.2,⑤⑤④, 3, 7,Ｈキュｰバンエイト, 63,五十嵐, 0.1, 64,  -2,*  9, 8, 31.6, ⑥⑥, 3, 4,Ｃギリギリヒｰロｰ, 53,武幸四, 0.2, 72, -25,* 28, 4,  5.7,⑩⑩⑦
 3, 2,Ａタマモトリトン, 52,勝浦正, 0.7, 50,  -2,  -6, 2,  3.5, ⑤⑤, 4, 1,Ｆプロジェクトブルｰ, 55,柴山雄, 1.6, 56,   0,  -4, 8, 84.6,③④⑤, 4, 4,Ｉガクニホシ, 61,三浦皇, 0.1, 63,  -4,* 10,11, 88.6, ⑧⑦, 4,11,Ｅマｰベラスカイザｰ, 46,古川吉, 0.6, 64, -23,  16, 2,  5.2,⑤⑤④
 5, 6,Ｂリキアイギムレット, 52,中舘英, 0.9, 48,  -1,  -8, 4,  4.4, ④④, 5, 7,Ｅルアｰルビアサ, 56,丹内祐, 1.8, 57,*  2,  -9, 7, 54.8,②②②, 5, 5,Ｋチェリｰソウマ, 52,西村太, 0.4, 61,*  1,   3, 6, 24.4, ①①, 5, 2, エルヘイロｰ,---,小国博, 0.6, 63, -23,  17, 6, 13.5,⑥⑦⑥
 6, 4,Ｆケンタッキｰロｰド, 36,黛弘人, 1.0, 44, -10,  -4, 7, 30.2, ⑦⑦, 6, 5,Ｄリヴァプｰルシチｰ, 57,丸田恭, 2.6, 51,  -1, -10, 3,  8.7,⑥⑦⑦, 6, 8,Ｃルナロッソ, 72,勝浦正, 0.5, 59,*  0,   3, 3,  4.8, ②②, 6, 6, ギョクレイ,---,吉田稔, 0.8, 62, -26,  19,10,108.5,⑨⑨⑧
 7, 7,Ｈサラノブランシュ, 27,丸田恭, 1.5, 38, -13,  -7, 6, 27.7, ⑨⑧, 7, 9,Ｂニシノヤッコ, 59,三浦皇, 2.7, 51,  -2,  -9, 5, 14.4,⑨⑧⑧, 7, 2,Ｇサクラモサ, 67,吉田隼, 0.6, 58, -10,*  9,10, 64.9, ⑪⑪, 7, 9,Ｄヴェイロン, 48,藤田伸, 2.1, 43, -24,  -3, 3,  5.4,⑦⑧⑪
 8, 8,Ｉメイショウモンシロ, 23,武幸四, 1.5, 42,  -6, -12, 8, 41.1, ⑥⑥, 8, 3,Ｈホッコｰファルコン, 52,武英智, 3.4, 46,  -1, -17, 6, 36.1,⑧⑥⑥, 8, 9,Ｌケイエスシンアカリ, 49,丸山元, 1.0, 54,  -3,   0, 7, 26.3, ⑦⑧, 8, 8, ムｰダ,---,桑村真, 2.1, 47, -27,   5,11,185.5,⑪⑪⑩
