10年12月 5日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年12月 5日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■ 4R  芝2880m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  ダ1200m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｱｸｱﾗｲﾝｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ａパシオンルｰジュ, 69,内田博,, 67,*  3,*  1, 1,  1.9, ①①, 1, 8, シンボリプロキオン,,五十嵐,,,,, 2,  5.1,⑤③②, 1, 1,Ｂトウショウロジック, 81,内田博,, 83,*  3,* 20, 3,  5.9,①①①, 1,11,Ａサリエル, 87,石橋脩,, 80,   0,* 19, 3,  5.8, ⑭⑭
 2,15,Ｂアポロノカンザシ, 61,北村宏, 0.3, 63,*  1,*  0, 2,  3.0, ③③, 2,12, トップシノワｰズ,,石神深,196.7,,,, 1,  1.9,②②①, 2, 9,Ｄキッズアプロｰズ, 79,田中勝, 0.0, 84,*  2,* 22, 1,  2.1,④④③, 2,13,Ｄブライトアイザック, 84,江田照, 0.0, 80,   4,* 16, 4,  6.9, ⑨⑧
 3, 1,Ｈハロｰタマ, 45,小野寺, 0.6, 59,  -5,*  3, 9, 71.5, ⑥⑥, 3, 6, クンダリｰニ,,西谷誠,197.3,,,, 5, 12.3,⑧⑧⑤, 3,14,Ｅスギノブレイド, 78,横山典, 0.6, 78,   1,  18, 2,  5.5,⑥⑤⑤, 3, 4,Ｌトｰセンクロス, 78,クラス, 0.2, 78,   4,  14, 5, 12.4, ⑦⑦
 4, 9,Ｆロザｰジュ, 46,柴田善, 1.8, 45, -11,  -3, 5, 19.9, ⑪⑨, 4,10, トウショウヴォイス,,高野和,197.3,,,, 8, 45.5,⑨⑨⑦, 4,10,Ａガンズオブナバロン, 81,北村宏, 1.1, 75,   1,  15, 5, 13.5,⑦⑥⑥, 4,12,Ｂガンドッグ, 86,蛯名正, 0.3, 77,*  8,  10, 1,  3.2, ②②
 5,13,Ｍケイアイカミノコエ, 29,伊藤工, 1.8, 46, -13,  -1,12,214.3, ⑭⑭, 5,14, スタｰルｰセント,,大江原,197.9,,,, 7, 15.2,③⑤⑥, 5,15,Ｃポワンカレ, 80,柴田善, 1.1, 74,   1,  14, 4,  8.1,⑧⑦⑦, 5,16,Ｋケイアイダイオウ, 79,伊藤工, 0.4, 76,   5,  10, 7, 15.4, ⑤⑥
 6,12,Ｋメジロミョウホウ, 40,石橋脩, 1.9, 49,*  1, -14, 8, 65.7, ②②, 6, 4, ゴｰカイフォンテン,,横山義,198.2,,,, 4,  9.4,④④③, 6,11,Ｇチャンピオンハｰレ, 77,蛯名正, 1.1, 77,   1,  16, 7, 17.0,⑨⑩⑩, 6,14,Ｍエイシンパンサｰ, 77,内田博, 0.6, 75,   6,   9, 6, 15.1, ④⑤
 7, 4,Ｄプリティｰマッハ, 51,村田一, 2.0, 45, -13,  -1, 4, 14.2, ⑫⑪, 7,13, マルブツジャンボ,,北沢伸,198.4,,,, 3,  8.8,①①④, 7, 8,Ｉクラレットジャグ, 75,村田一, 1.2, 75,*  2,  12, 9, 38.5,②③②, 7, 5,Ｇノｰリプライ, 82,横山典, 0.7, 73,   5,   9, 8, 24.6, ⑥③
 8, 2,Ｊエフテｰサイレン, 40,三浦皇, 2.7, 38, -13,  -9,10,144.3, ⑬⑬, 8, 2, プロスペクタス,,池崎祐,198.8,,,,11,102.5,⑩⑩⑩, 8, 3,Ｋリキサンヒｰロｰ, 71,江田照, 1.4, 74,   1,  13,10, 73.3,⑪⑧⑧, 8, 2,Ｅフサイチコウキ, 84,柴田善, 0.8, 72,*  8,   5, 9, 28.1, ①①
 9, 5,Ｉイッキカセイ, 43,小林淳, 2.7, 40,  -9, -12,13,241.0, ⑨⑧, 9, 7, カカロット,,柴田大,199.6,,,, 6, 12.4,⑦⑥⑧, 9, 6,Ｌトｰタルシｰオｰ, 71,三浦皇, 1.5, 76,  -2,  18,11, 99.0,⑬⑬⑬, 9, 6,Ｉシルクアルボｰレ, 80,田中勝, 0.9, 72,  -6,* 17,14,153.5, ⑯⑯
10,11,Ｃリンガスゲｰト, 56,蛯名正, 2.7, 41,  -3, -17, 3,  7.2, ⑤⑤,10,11, サｰストンムｰン,,柴田未,199.8,,,,13,171.5,⑪⑪⑪,10, 5,Ｊダイワバｰガンディ, 73,武士沢, 1.6, 71,   0,  14,13,128.3,⑫⑫⑫,10, 3,Ｃハイエモｰション, 86,後藤浩, 0.9, 71,   6,   6, 2,  3.8, ③④
11, 6,Ｅバトルペルレ, 47,後藤浩, 3.4, 33,  -3, -24, 7, 29.9, ④④,11, 9, ブルｰデイズ,,浜野谷,200.1,,,,10,101.7,⑥⑦⑨,11, 2,Ｈハリマノワタリドリ, 76,松岡正, 1.6, 72,   2,  10, 8, 29.1,③②④,11,15,Ｆゴｰルドアグリ, 83,大庭和, 1.1, 69,   4,   6,10, 34.7, ⑩⑨
12,10,Ｇセイユアドリｰム, 45,大庭和, 4.2, 25, -11, -23, 6, 25.3, ⑩⑫,12, 3, エルアルト,,江田勇,202.5,,,,12,138.0,⑫⑫⑫,12,12,Ｍリキサンキャロル, 66,小野寺, 1.6, 75,  -3,  19,16,496.9,⑮⑮⑭,12, 9,Ｈジェイケイボストン, 81,平野優, 1.3, 68,   2,   6,12,109.4, ⑬⑫
13, 8,Ｏスカイポンポｰソ, -1,菅原隆, 4.3, 24, -18, -18,14,408.0, ⑮⑮,13, 1, トミケンクロワｰル,,穂苅寿,204.7,,,, 9, 61.1,⑭⑬⑬,13,13,Ｎニシノキュアノス, 66,石橋脩, 2.0, 69,   0,   8,14,129.9,⑩⑪⑪,13, 7,Ｊサラトガ, 79,郷原洋, 1.4, 67,   2,   5,15,157.9, ⑫⑬
14, 3,Ｌマスアンテロｰプ, 32,クラス, 5.8, 14,  -5, -41,11,173.5, ⑦⑦,14, 5, レスピエｰグル,,草野太,205.3,,,,14,181.2,⑬⑭⑭,14, 4,Ｆトレノユｰボウ, 77,後藤浩, 2.1, 67,   0,   7, 6, 15.9,⑤⑨⑨,14, 1,Ｎタイセイハニｰ, 75,小林淳, 1.6, 66,   2,   3,11, 76.0, ⑪⑩
15,14,Ｎシノハイジ, 13,江田照, 6.2, 10,  -6, -45,15,576.4, ⑧⑩,,,,,,,,,,,,,15, 7,Ｏトｰセンマリｰン, 61,伊藤工, 3.2, 62,  -3,   4,12,112.1,⑭⑯⑯,15,10,Ｐフロｰライゼ, 63,武士沢, 2.6, 55,   3,  -7,13,150.1, ⑧⑪
,,,,,,,,,,,,,,,,,,,,,,,,16,16,Ｐアンハｰトキング, 60,中谷雄, 5.5, 46,  -3, -15,15,428.9,⑯⑭⑮,16, 8,Ｏヒシハイグレｰド, 69,武英智, 2.8, 54,  -1,  -5,16,291.3, ⑮⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:稍重(指数:-5),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:稍重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:稍重(指数:-5),,,,,,,,,,,
単勝:190円 複勝:07=110円 15=120円 01=810円 枠連:200円,,,,,,,,,,,,単勝:510円 複勝:08=150円 12=120円 06=280円 枠連:290円,,,,,,,,,,,,単勝:590円 複勝:01=160円 09=120円 14=160円 枠連:400円,,,,,,,,,,,,単勝:580円 複勝:11=210円 13=230円 04=380円 枠連:490円,,,,,,,,,,,
"馬連:220円 ワイド:07-15=150円 01-07=1,400円 01-15=1,850円",,,,,,,,,,,,馬連:410円 ワイド:08-12=190円 06-08=540円 06-12=420円,,,,,,,,,,,,馬連:620円 ワイド:01-09=270円 01-14=480円 09-14=280円,,,,,,,,,,,,"馬連:2,170円 ワイド:11-13=840円 04-11=1,360円 04-13=1,400円",,,,,,,,,,,
"馬単:430円 3連複:3,620円 3連単:11,210円",,,,,,,,,,,,"馬単:1,150円 3連複:1,190円 3連単:5,370円",,,,,,,,,,,,"馬単:1,600円 3連複:1,160円 3連単:6,210円",,,,,,,,,,,,"馬単:4,130円 3連複:9,700円 3連単:45,700円",,,,,,,,,,,
■ 2R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 5R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝2500m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■11R  芝1600m 3歳上ｵｰﾌﾟﾝ(牝) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,ﾀｰｺｲｽﾞｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ａニｰロ, 62,松岡正,, 59,* -2,* -1, 1,  2.8,③③②, 1, 3, ミヤビファルネｰゼ,---,蛯名正,, 59, -18,*  8, 2,  4.6,③③③, 1,10,Ｅコスモエンペラｰ, 78,松岡正,, 88,*  2,* 18, 1,  2.8,②②①, 1, 5,Ｃカウアイレｰン, 87,横山典,, 94,  -8,* 35, 3,  5.1,④②④
 2, 2,Ｃケイジｰウィンザｰ, 54,岩部純, 0.3, 59,  -2,* -1,10, 65.7,④④③, 2, 7, ロジベアハｰト,---,後藤浩, 0.1, 55,*-16,   2, 3,  6.9,①①①, 2, 5,Ｆサトノトップガン, 73,北村宏, 0.2, 88,   0,* 20, 6, 18.1,③④⑥, 2, 2,Ｈアグネスワルツ, 80,柴田善, 0.2, 90,* -6,  27, 2,  3.8,①①①
 3, 1,Ｊライジングエｰス, 46,三浦皇, 0.5, 56,* -1,  -6, 6, 11.8,①①①, 3,11, レオマジェスティ,---,内田博, 0.3, 58, -19,   7, 1,  3.6,⑥⑥⑧, 3, 3,Ｂウォｰクラウン, 81,蛯名正, 0.3, 86,   0,* 18, 3,  5.1,⑥⑥③, 3, 4,Ｂアンシェルブルｰ, 88,内田博, 0.4, 90,* -7,  27, 4,  6.9,②③②
 4, 8,Ｂトｰアクリスタル, 59,江田照, 0.9, 54,  -2,  -7, 2,  5.1,⑦⑤④, 4, 1, ポタｰジュクレｰル,---,北村宏, 0.4, 58, -22,* 11, 4,  7.2,④⑩⑦, 4, 2,Ｃキャプテンキッド, 80,クラス, 0.3, 86,   0,* 18, 4,  6.2,④⑤②, 4,13,Ｊプリンセスメモリｰ, 76,北村宏, 0.5, 95, -14,* 39, 9, 39.4,⑬⑫⑫
 5,13,Ｆマイネルリｰプ, 49,クラス, 1.2, 53,  -4,  -6, 4,  7.7,⑩⑪⑧, 5,12, マイネルブレス,---,三浦皇, 0.4, 55, -18,   2,12, 67.6,⑫④⑤, 5, 7,Ｇフランドルシチｰ, 73,内田博, 0.7, 84,  -1,  15, 7, 20.0,⑧⑧⑤, 5, 3,Ｆマイティｰスルｰ, 82,江田照, 0.5, 91, -10,  31, 7, 16.6,⑨⑨⑧
 6,12,Ｋフジハヤブサ, 44,鈴来直, 1.4, 51,  -3,  -9,11, 74.4,⑧⑧⑤, 6, 4, コｰドロン,---,松岡正, 0.6, 52,*-17,  -2, 9, 21.4,②②②, 6, 4,Ａトウショウデザｰト, 85,柴田善, 0.8, 84,  -2,* 18, 2,  4.2,⑨⑨⑩, 6, 8,Ｋステラリｰド, 73,小林淳, 0.9, 83, -10,  25,12,225.5,⑥⑤⑤
 7, 5,Ｉミラクルレインボｰ, 47,田中勝, 1.6, 51,  -6,  -6, 7, 14.3,⑫⑫⑩, 7, 2, ロｰドクリスタル,---,大庭和, 0.7, 51, -18,   0,13, 73.6,⑤⑤④, 7, 6,Ｊステイマックス, 67,伊藤工, 1.0, 81,  -1,  13,10,156.6,⑦⑦⑧, 7,11,Ａエｰシンリタｰンズ, 90,後藤浩, 0.9, 83, -10,  25, 1,  3.3,⑤⑥⑥
 8,15,Ｎテイエムバカラ, 38,石橋脩, 2.8, 43,  -7, -14,12,115.9,⑯⑯⑮, 8, 5, シェイドトゥウイン,---,伊藤工, 0.9, 52, -22,   5, 6,  9.9,⑧⑪⑪, 8, 9,Ｈオペラオｰカン, 72,三浦皇, 1.0, 82,  -2,  16, 8, 23.1,⑩⑩⑨, 8,10,Ｉギンザボナンザ, 78,石橋脩, 1.0, 83, -10,  23, 5,  9.8,⑦⑦⑦
 9,16,Ｏストレｰト, 27,郷原洋, 2.8, 42,  -7, -14,15,228.2,⑭⑮⑭, 9,13, グランデアトレ,---,武英智, 1.1, 46, -19,  -5,10, 31.0,⑪⑧⑥, 9, 1,Ｄリヴィエラブルｰ, 80,田中勝, 1.1, 76,   0,   6, 5,  7.3,⑤③⑦, 9,12,Ｇマジックビクトリア, 81,中谷雄, 1.0, 82, -10,  23,11,111.1,⑪⑧⑨
10, 3,Ｄコスモキズナ, 51,内田博, 3.3, 39,  -5, -22, 8, 22.3,⑨⑨⑨,10,10, トｰセンヒカリ,---,柴田善, 1.1, 48, -21,   0, 7, 10.9,⑩⑨⑩,10, 8,Ｉデルマリゲル, 69,村田一, 1.8, 75,  -3,  10, 9,155.5,⑪⑪⑪,10, 9,Ｄソｰマジック, 87,蛯名正, 1.0, 80,  -9,  20, 6, 11.6,③④③
11,10,Ｇジョンブルクリス, 49,小林淳, 3.7, 37,  -3, -29, 3,  6.1,⑤⑥⑦,11, 8, コスモロロ,---,中谷雄, 1.4, 41, -18, -10,11, 43.0,⑦⑦⑨,11,11,Ｋホｰカｰシｰホｰク, 62,菅原隆, 2.2, 62,*  2, -12,11,190.2,①①④,11, 1,Ｅロッソトウショウ, 87,武英智, 1.1, 83, -14,  29,10, 63.7,⑧⑪⑩
12, 7,Ｐケイアイアレス, 24,蛯名正, 3.8, 36,  -6, -24, 9, 30.1,⑮⑭⑬,12, 9, トウカイパイオニア,---,横山典, 2.4, 30, -22, -16, 8, 18.6,⑨⑫⑫,,,,,,,,,,,,,12, 7,Ｌラナンキュラス, 70,三浦皇, 1.8, 73, -13,  16, 8, 22.6,⑩⑩⑪
13, 6,Ｈセイルアゲン, 48,村田一, 4.6, 32,  -5, -31,14,163.9,⑬⑬⑪,13, 6, ヘッドマスタｰ,---,田中勝, 2.7, 27, -22, -21, 5,  9.3,⑬⑬⑬,,,,,,,,,,,,,13, 6,Ｍトｰセンウィッチ, 63,伊藤工, 2.4, 66, -14,  12,13,393.0,⑫⑬⑬
14, 9,Ｅエドノリｰジェント, 49,的場勇, 5.4, 30,  -5, -40,16,239.7,⑪⑩⑯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,14,Ｍシャインパｰミット, 39,柴田善, 6.2, 22,  -3, -50, 5,  8.7,⑥⑦⑫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16, 4,Ｌトップモｰスト, 40,中谷雄, 6.8, 22,* -1, -57,13,129.1,②②⑥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:稍重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:86 ﾚｰｽﾍﾟｰｽ指数:-17 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:-1),,,,,,,,,,,
"単勝:280円 複勝:11=160円 02=1,390円 01=350円 枠連:1,530円",,,,,,,,,,,,"単勝:460円 複勝:03=170円 07=210円 11=150円 枠連:1,140円",,,,,,,,,,,,"単勝:280円 複勝:10=140円 05=470円 03=160円 枠連:2,310円",,,,,,,,,,,,単勝:510円 複勝:05=170円 02=160円 04=220円 枠連:640円,,,,,,,,,,,
"馬連:12,830円 ワイド:02-11=2,960円 01-11=690円 01-02=7,720円",,,,,,,,,,,,"馬連:1,880円 ワイド:03-07=680円 03-11=370円 07-11=450円",,,,,,,,,,,,"馬連:2,930円 ワイド:05-10=1,010円 03-10=340円 03-05=1,470円",,,,,,,,,,,,"馬連:1,140円 ワイド:02-05=520円 04-05=700円 02-04=600円",,,,,,,,,,,
"馬単:18,770円 3連複:38,890円 3連単:230,910円",,,,,,,,,,,,"馬単:3,310円 3連複:2,080円 3連単:12,530円",,,,,,,,,,,,"馬単:3,600円 3連複:3,790円 3連単:22,600円",,,,,,,,,,,,"馬単:2,600円 3連複:2,450円 3連単:14,740円",,,,,,,,,,,
■ 3R  芝2000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 6R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 9R  芝1200m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■12R  芝1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,ｸﾘｽﾏｽﾛｰｽﾞｽﾃｰｸｽ,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ａゴｰルドラム, 63,横山典,, 54,   0,*  0, 1,  3.5,⑧⑨⑨, 1, 2, マイネルラピド,---,蛯名正,, 63,  -8,*  7, 1,  2.4, ⑤④, 1, 2,Ｂラテアｰト, 68,松岡正,, 75,*  0,   8, 2,  3.4, ①①, 1, 7,Ａセイウンジャガｰズ, 85,柴田善,, 83,   7,* 13, 1,  2.9,⑬⑨⑧
 2, 4,Ｃマイネルバリュｰ, 60,クラス, 0.1, 54,*  2,  -6, 6,  9.6,⑤⑤⑤, 2, 8, ミシックトウショウ,---,江田照, 0.2, 62,* -4,   2, 5, 10.6, ①①, 2, 9,Ｇファｰマクリｰム, 59,三浦皇, 0.3, 75, -16,* 20, 6, 22.2, ⑨⑧, 2, 2,Ｈディオｰサ, 74,松岡正, 0.0, 82,  13,   3, 2,  5.5,⑦⑤⑥
 3, 1,Ｂマイネルシュライ, 62,松岡正, 0.2, 52,*  3, -12, 4,  5.8,①①①, 3,11, ハロｰバニヤン,---,松岡正, 1.1, 54,  -6,  -4, 4,  6.1, ③③, 3, 7,Ｃマルタカシクレノン, 64,蛯名正, 0.3, 70,  -5,   8, 1,  2.8, ④④, 3, 4,Ｉカピタｰノ, 74,蛯名正, 0.1, 80,   9,   7, 5, 10.8,⑧⑦⑦
 4, 8,Ｅコスモスイｰトテン, 56,中谷雄, 0.4, 51,*  1,  -9,12, 78.3,⑫⑧⑧, 4, 7, バトルデｰオ,---,田中勝, 1.4, 52,* -4,  -7, 8, 39.7, ②②, 4, 4,Ｄマイネルマサムネ, 63,中谷雄, 0.4, 71,  -8,  11, 7, 29.7, ⑥⑤, 4, 3,Ｂウォンビｰロング, 84,横山典, 0.2, 78,  12,   2, 4,  7.9,④⑥⑤
 5,16,Ｆストｰンステｰジ, 54,北村宏, 0.4, 51,*  1, -10, 2,  4.9,⑦⑦⑥, 5, 4, ジパングパワｰ,---,横山典, 1.6, 48, -11,  -4, 2,  3.8, ⑥⑥, 5, 3,Ｆジョｰアラマｰト, 59,内田博, 0.5, 69,* -2,   3, 4,  7.4, ②②, 5,14,Ｍマイネプリンセス, 72,三浦皇, 0.3, 79,   8,   4, 3,  5.6,⑥⑧⑨
 6, 3,Ｉショウナンランド, 52,後藤浩, 0.5, 48,*  3, -15, 5,  7.8,②②②, 6,10, デンエン,---,伊藤工, 2.5, 41, -22,  -2, 9, 51.4, ⑩⑩, 6, 5,Ｅウルトラファイン, 61,江田照, 0.5, 68,  -7,   8, 5, 12.4, ⑤⑥, 6,11,Ｄカゼノグッドボｰイ, 81,村田一, 0.3, 80,   8,   9, 9, 39.7,⑨⑩⑪
 7,11,Ｈマリｰズタイム, 53,田中勝, 0.5, 52,  -1,* -4,13, 87.6,⑮⑬⑬, 7, 6, オオマサリ,---,武士沢, 2.6, 39, -18,  -6,10,167.1, ⑧⑧, 7, 1,Ｈフレンドミｰ, 51,武士沢, 1.1, 60,  -4,  -2, 9,109.3, ③③, 7, 6,Ｇハイタッチクイｰン, 76,伊藤工, 0.3, 77,* 16,  -7, 6, 13.4,①③③
 8, 5,Ｐエメラルタｰボ, 38,的場勇, 0.6, 48,*  1, -12,11, 74.7,⑥⑥⑦, 8, 5, シャインストｰン,---,北村宏, 3.0, 36, -26,  -1, 7, 21.3, ⑪⑪, 8, 8,Ａルリニガナ, 70,後藤浩, 1.5, 55,  -9,  -4, 3,  3.4, ⑦⑦, 8, 8,Ｏメスナｰ, 71,中谷雄, 0.4, 79,   0,* 19,14, 89.2,⑯⑯⑯
 9,12,Ｍメジロクロユリ, 41,柴田善, 0.8, 47,   0, -12, 7, 22.4,⑩⑫⑫, 9, 3, プレゾン,---,クラス, 3.4, 34, -13, -17, 6, 20.8, ⑦⑦, 9, 6,Ｉカトルズタッチ, 44,柴田善, 1.8, 51, -12,  -4, 8, 62.1, ⑧⑨, 9, 1,Ｃクリｰルトルネｰド, 82,田中勝, 0.5, 77,   3,* 12, 7, 14.0,⑮⑬⑫
10, 6,Ｒゲイルオブウインド, 28,武士沢, 1.1, 45,  -1, -12,17,397.8,⑪⑭⑭,10, 1, ヤマタケブリンク,---,後藤浩, 3.4, 32,  -9, -22, 3,  5.8, ④⑤,,,,,,,,,,,,,10,12,Ｆマルタｰズオリジン, 76,内田博, 0.5, 77,   7,   4,12, 59.6,⑩⑪⑩
11,18,Ｑナイスアランデル, 36,石橋脩, 1.1, 48,  -4,  -6,16,307.0,⑰⑯⑮,11, 9, マントラ,---,小林淳, 3.4, 33, -22,  -9,11,189.1, ⑨⑨,,,,,,,,,,,,,11,10,Ｐノｰフォｰクパイン, 68,クラス, 0.7, 75,   4,   8,15,115.5,⑭⑭⑬
12,17,Ｋアドマイヤアキｰダ, 47,内田博, 1.1, 46,   0, -16, 9, 40.5,⑬⑪⑪,,,,,,,,,,,,,,,,,,,,,,,,,12, 5,Ｋオルレアンノオトメ, 73,武士沢, 0.8, 71,* 16, -13,10, 41.7,⑤④④
