10年 5月22日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 5月22日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 7R  芝1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  芝2400m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,早苗賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ｆマイネフェリックス, 57,丹内祐,, 60,* -2,*  0, 8, 23.5,④③③, 1,13,Ｂジェットヴォイス, 66,丸山元,, 63,*  8,* -4, 2,  4.1,⑤③④, 1, 8,Ａゲｰムコンセプト, 73,丸田恭,, 72,*-13,  15, 1,  2.5, ②②, 1,10,Ｄジャングルハヤテ, 66,西田雄,, 77,   2,* 15, 8, 16.4,⑤④④
 2,14,Ｂライラックパンチ, 64,丸山元, 0.3, 56,*  0,  -6, 2,  3.8,①①①, 2, 1,Ｃメイキングドリｰム, 63,北村友, 0.1, 65,*  9,  -7, 3,  5.0,①①①, 2, 9,Ｂシンセサイザｰ, 70,丸山元, 0.1, 75, -17,* 21, 2,  4.2, ⑫⑨, 2,12,Ｆコスモラピュタ, 64,大野拓, 0.1, 74,*  5,   5, 4,  7.2,①①①
 3,12,Ａカンマビｰド, 65,的場勇, 0.8, 55,  -2,  -4, 1,  2.8,⑧⑤④, 3, 7,Ａラッキｰバニラ, 69,吉田隼, 0.1, 65,*  8,* -6, 1,  2.1,②②②, 3, 1,Ｄバックハウス, 68,松山弘, 0.2, 74, -17,* 21, 3,  4.4, ⑩⑩, 3,15,Ａカネトシパサｰジュ, 70,吉田隼, 0.1, 77,   2,* 16, 1,  4.2,⑬⑧⑥
 4, 8,Ｃマイネスペラｰレ, 59,大野拓, 1.1, 51,  -3,  -6, 6, 18.1,⑮⑦⑤, 4, 3,Ｅテラノステルス, 59,松田大, 0.9, 63,   3,* -2, 9, 68.1,⑭⑫⑪, 4,10,Ｃシルクペガサス, 68,田中克, 0.7, 66, -15,   9, 7, 19.1, ⑦⑥, 4,13,Ｊロックンロｰル, 59,野元昭, 0.1, 74,*  5,   8, 3,  5.3,②②②
 5, 1,Ｈトップバゴチャン, 53,松山弘, 1.3, 51,  -3,  -8, 7, 19.1,③⑥⑦, 5,15,Ｊテンシノネオ, 57,的場勇, 1.3, 55,   7, -14, 6, 24.9,⑧④③, 5,15,Ｅマイネルアウストロ, 64,丹内祐, 0.9, 66, -18,  13, 4, 11.0, ⑬⑭, 5,14,Ｉバトルイグアス, 60,丸山元, 0.8, 72,   0,  12, 5,  8.6,⑫⑫⑪
 6, 5,Ｄキュルミナン, 58,中舘英, 1.3, 52,  -6,* -3, 4,  6.5,⑩⑪⑪, 6,14,Ｉタｰジマハル, 57,水口優, 1.4, 55,   3,  -8, 7, 37.0,⑨⑪⑬, 6, 7,Ｇミシュランシチｰ, 61,船曳文, 1.2, 59, -17,   5, 9, 41.5, ⑪⑫, 6,11,Ｎオｰスミカイエン, 54,太宰啓, 0.9, 70,  -1,  12,11, 55.0,⑮⑬⑫
 7, 4,Ｅママズディッシュ, 58,吉田隼, 1.3, 54,  -4,  -5, 3,  4.9,⑥⑧⑧, 7, 8,Ｇランドゴｰカイ, 58,古川吉, 1.7, 54,   7, -15, 8, 55.5,⑥⑥⑤, 7,16,Ｊロッソネロ, 59,田中博, 1.2, 61, -17,   6, 5, 15.4, ⑨⑪, 7, 7,Ｌバンダムロｰゼ, 58,木幡初, 1.0, 67,   2,   1,14,173.0,⑪⑤⑤
 8, 7,Ｋイップク, 47,丸田恭, 1.5, 50,*  0, -15,10, 45.5,⑫②②, 8,12,Ｄジェネラルバイオ, 59,丸田恭, 1.8, 54,   5, -12,10, 69.0,⑩⑩⑨, 8, 2,Ｉゴｰルデンハッチ, 60,平野優, 1.4, 54,*-14,  -3, 6, 15.8, ④④, 8, 2,Ｋトｰセンウィン, 58,渡辺薫, 1.0, 68,   1,   5, 9, 21.2,⑩⑨⑨
