10年 7月25日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 7月25日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝2850m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  芝1400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■10R  ダ1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,麒麟山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ａライステラス, 56,内田博,, 67,*  2,*  5, 1,  1.7, ②④, 1, 7, シデンカイ,,草野太,,,,, 7, 15.7,⑧⑦⑥, 1, 6,Ｃコスモピアチュｰレ, 60,中谷雄,, 70,  -2,*  6, 4, 15.6, ⑤③, 1, 4,Ｄオウロプレット, 81,蛯名正,, 77,* 12,   4, 3,  5.3,②②②
 2, 3,Ｄニシノステディｰ, 46,吉田豊, 0.2, 64,*  5,*  0, 2,  6.1, ①①, 2, 4, クリノラブゴｰルド,,柴田未,188.3,,,, 9, 59.7,⑩⑥⑦, 2,17,Ｅショウナンスマイル, 58,内田博, 0.0, 71,  -2,*  7, 2,  3.6, ⑥⑤, 2, 5,Ｋグラスブラスト, 63,石橋脩, 0.0, 78,   9,* 11, 8, 28.4,⑩⑧⑦
 3, 6,Ｉデルマドゥルガｰ, 39,中谷雄, 0.8, 55,  -1,  -3, 7, 16.0, ⑤⑤, 3, 6, コアグリｰン,,金子光,188.5,,,, 1,  2.1,⑦④⑤, 3, 7,Ａマックスドリｰム, 72,松岡正, 0.1, 68,  -5,*  7, 1,  2.2, ⑪⑨, 3, 3,Ｅウインベルセルク, 80,吉田豊, 0.2, 73,  10,   5, 2,  4.4,④④④
 4, 4,Ｈメイショウエデン, 43,小島太, 1.3, 51,*  3, -11, 8, 25.7, ③②, 4,11, リバルドボｰイ,,浜野谷,188.6,,,, 4, 12.1,①①①, 4, 4,Ｆリズミカルステップ, 57,石橋脩, 0.2, 68,*  0,   0, 6, 17.2, ①①, 4, 8,Ｃブレイクチャンス, 82,内田博, 0.4, 73,  11,   2, 1,  2.1,③③③
 5, 7,Ｆレナキックス, 45,水口優, 1.4, 45,  -7,  -4,10, 35.9, ⑪⑨, 5, 9, ニシノアララギ,,大庭和,188.7,,,, 2,  4.7,⑪⑩⑩, 5, 5,Ｊニｰニョデルシエロ, 54,蛯名正, 0.2, 68,  -9,* 12, 5, 15.7, ⑭⑬, 5, 7,Ｂドリｰムリバイバル, 82,中谷雄, 0.4, 76,   6,* 13, 6, 16.1,⑪⑪⑨
 6, 2,Ｃアランルｰス, 50,西田雄, 1.6, 44,  -2, -12, 5, 13.7, ⑦⑦, 6, 2, スズマｰシャル,,横山義,188.8,,,,10, 93.2,⑥⑤④, 6, 9,Ｄニシノドバルダｰン, 58,江田照, 0.5, 64,  -4,   1, 7, 17.9, ⑦⑦, 6, 9,Ｈグラマトフィラム, 73,江田照, 1.2, 68,  11,  -3, 9, 64.4,⑤⑤⑤
 7,10,Ｊコスモラングデン, 39,津村明, 1.7, 43,  -1, -15,11, 47.5, ⑥⑥, 7,13, ハツカリ,,高野和,189.0,,,, 3,  6.0,⑤③③, 7,11,Ｉシンビオシス, 54,大庭和, 0.5, 63,*  0,  -4,12, 73.7, ②②, 7, 1,Ｇクリストフォルス, 77,松岡正, 2.1, 62,   6,  -3, 5, 11.6,⑨⑨⑩
 8,12,Ｋマイネルスフィア, 34,松岡正, 1.7, 41, -11,  -4,12, 53.4, ⑭⑭, 8, 3, ヨイチセレブ,,石神深,189.6,,,,14,207.2,④⑨⑨, 8,15,Ｂプルミエアムｰル, 64,武士沢, 0.5, 64,  -5,   3, 8, 19.9, ⑩⑧, 8, 6,Ｉヒシウィンザｰ, 73,郷原洋, 2.3, 62,   9,  -8,11,211.0,⑦⑦⑧
