10年 6月26日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 6月26日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝1400m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  ダ1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,安芸ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
13,16,Ｇチョウラッキｰ, 55,川須栄, 4.6, 42,   6, -38,11, 69.3,⑥⑥⑦,13, 5, タフ,---,ウィリ, 2.3, 37, -18, -13, 6, 18.1, ⑬⑬,,,,,,,,,,,,,13, 2,Ｉトｰセンクロス, 80,北村友, 2.0, 68,  -1,   3, 6, 20.4, ⑪⑬
14,13,Ｋサチノフェイス, 47,田中健, 6.4, 36,   6, -53,14, 89.1,①④⑨,14,10, ボストンリョウマ,---,太宰啓, 3.1, 28, -23, -17,13,150.5, ⑭⑭,,,,,,,,,,,,,14,12,Ｆピｰチドラフト, 84,赤木高, 3.0, 58,*  7, -14,11, 50.9, ②①
15, 4,Ｌトワオンワｰド, 46,鷹野宏, 6.6, 32,   0, -43,16,338.9,⑮⑯⑮,,,,,,,,,,,,,,,,,,,,,,,,,15, 1,Ｐリッカバクシンオ, 57,安藤光, 9.2,  6,*  8, -69,15,182.6, ①④
16, 5,Ｎブレイズアイ, 39,川島信, 7.2, 28,  -1, -47,10, 53.5,③⑭⑯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:-13 馬場:不良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:重(指数:5),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-17 馬場:重(指数:5),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:不良(指数:-4),,,,,,,,,,,
"単勝:540円 複勝:06=240円 03=130円 11=1,230円 枠連:820円",,,,,,,,,,,,単勝:180円 複勝:02=110円 04=220円 08=470円 枠連:690円,,,,,,,,,,,,"単勝:430円 複勝:08=280円 01=290円 05=1,150円 枠連:0円",,,,,,,,,,,,"単勝:350円 複勝:14=140円 15=200円 03=1,010円 枠連:670円",,,,,,,,,,,
"馬連:940円 ワイド:03-06=460円 06-11=7,550円 03-11=2,830円",,,,,,,,,,,,"馬連:890円 ワイド:02-04=450円 02-08=920円 04-08=2,240円",,,,,,,,,,,,"馬連:990円 ワイド:01-08=280円 05-08=1,040円 01-05=1,070円",,,,,,,,,,,,"馬連:660円 ワイド:14-15=360円 03-14=2,260円 03-15=3,680円",,,,,,,,,,,
"馬単:1,980円 3連複:19,490円 3連単:71,430円",,,,,,,,,,,,"馬単:1,240円 3連複:4,640円 3連単:12,090円",,,,,,,,,,,,"馬単:1,700円 3連複:6,140円 3連単:23,390円",,,,,,,,,,,,"馬単:1,400円 3連複:13,040円 3連単:37,250円",,,,,,,,,,,
