10年 8月15日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 8月15日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝1200m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,ﾃﾚﾋﾞ西日本賞北九州記念 ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｈタガノロックオン, 32,小牧太,, 54,  -2,*  3, 3,  7.6, ③③, 1, 3, オｰスミマイカ,---,福永祐,, 57,  -5,* -4, 1,  1.6, ③③, 1,12,Ｅモｰレツ, 61,国分恭,, 66,*  2,  -3, 5, 13.4,①①①, 1, 4,Ｐメリッサ, 77,福永祐,, 85,  10,* 16, 5, 13.4, ⑬⑩
 2, 9,Ｃアスカノバッハ, 44,川島信, 0.4, 51,* -1,  -1, 2,  4.4, ②②, 2, 6, アルバ,---,和田竜, 0.2, 54,  -6,* -7, 4,  9.2, ④④, 2,11,Ａメイショウオスパｰ, 69,岩崎祐, 0.8, 69,  -9,* 13, 2,  5.5,⑩⑧⑧, 2,18,Ｂスカイノダン, 88,国分恭, 0.1, 87,  17,   8, 3,  8.1, ⑦⑤
 3, 1,Ａヒュｰストニア, 55,福永祐, 0.9, 46,  -5,  -3, 1,  1.5, ④④, 3,10, マキハタファントム,---,小牧太, 0.6, 49,* -2, -16, 2,  4.9, ①①, 3, 6,Ｇデンコウアルセウス, 59,浜中俊, 0.9, 68,  -9,  11, 4,  9.3,⑧⑦⑦, 3, 6,Ｍサンダルフォン, 79,酒井学, 0.2, 84,  13,  11, 6, 14.0, ⑧⑧
 4, 3,Ｂヒデノオｰカン, 51,渡辺薫, 1.0, 43, -19,*  5, 5, 21.9, ⑩⑨, 4, 4, カリスマサンスカイ,---,高倉稜, 0.9, 45,* -3, -19, 3,  6.2, ②②, 4, 3,Ｂテラノステルス, 66,松田大, 1.0, 64,  -6,   5, 7, 22.0,③③③, 4,17,Ｋストリｰトスタイル, 79,北村友, 0.3, 80,   4,* 19,11, 25.7, ⑰⑮
 5, 5,Ｉシゲルコモン, 22,飯田祐, 1.0, 45,  -4,  -5, 9,142.9, ⑤⑤, 5, 1, サカジロゴｰルド,---,野元昭, 1.3, 38,  -8, -19, 5, 19.5, ⑤⑤, 5,15,Ｄテイエムブユウデン, 64,和田竜, 1.2, 65,  -9,   8, 3,  8.5,⑨⑨⑨, 5, 8,Ａデグラｰティア, 88,和田竜, 0.3, 86,* 20,   3, 1,  2.9, ③③
 6, 6,Ｄシゲルカンサヤク, 41,高倉稜, 1.6, 38,  -5,  -9, 6, 49.4, ⑥⑥, 6, 5, ミッキｰソング,---,赤木高, 1.7, 32, -23, -10, 6, 37.0, ⑦⑥, 6,13,Ｃシャイニｰブラック, 65,藤岡康, 1.3, 61,  -7,   2, 1,  2.0,⑤⑤④, 6,13,Ｑショウナンカザン, 75,幸英明, 0.3, 86,  19,   5,14, 33.3, ④④
 7, 8,Ｅマルサンライナｰ, 41,幸英明, 1.8, 37,* -1, -14, 4, 12.2, ①①, 7, 9, チｰフミッチｰ,---,松田大, 1.9, 30, -22, -14, 9,112.3, ⑥⑦, 7, 9,Ｊヤマカツセイリュウ, 56,熊沢重, 1.3, 62,  -8,   3, 9, 40.9,⑦④⑥, 7,10,Ｅレディルｰジュ, 83,鮫島良, 0.6, 79,  13,   6, 4, 11.5, ⑨⑨
 8, 4,Ｇロッキｰラクｰン, 33,国分恭, 2.5, 30,  -8, -15, 7, 51.5, ⑧⑧, 8, 8, シゲルマドギワゾク,---,北村友, 2.6, 23, -23, -21, 7, 44.3, ⑧⑧, 8, 5,Ｆオｰスミショウサン, 60,幸英明, 1.5, 62, -10,   7, 8, 22.3,⑪⑪⑩, 8, 3,Ｏアンバｰジャック, 77,川島信, 0.7, 73,   1,* 16,17,124.8, ⑱⑰
 9, 7,Ｆマウシャｰレ, 40,熊沢重, 2.9, 28,  -5, -21, 8, 65.7, ⑦⑦, 9, 2, ダイゴテンリュウ,---,太宰啓, 2.8, 20, -25, -23, 8, 60.5, ⑨⑨, 9,14,Ｌランドゴｰカイ, 53,渡辺薫, 1.5, 60,  -7,   0,14,125.0,⑥⑥⑤, 9,15,Ｆコスモベル, 83,小牧太, 0.8, 76,  13,   3, 7, 19.3, ⑩⑬
