10年 2月20日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 2月20日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1300m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝3000m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1600m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝2000m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｱﾒｼﾞｽﾄｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｆダテノスイミｰ, 57,藤田伸,, 63,* -1,* -1, 2,  3.3, ④③, 1, 4, タカラボス,,大庭和,,,,, 1,  2.2,⑥⑤②, 1,13,Ａバルｰン, 77,丸田恭,, 71,  -1,* 11, 3,  5.5, ⑬⑬, 1, 4,Ｅシャインモｰメント, 83,田中勝,, 82,  10,   5, 5,  8.8,③③③
 2, 3,Ｂアラヴォｰトル, 60,勝浦正, 0.1, 61,*  0,  -4, 3,  6.6, ①①, 2, 2, ジャストルｰラｰ,,穂苅寿,201.9,,,, 4,  8.1,⑦⑥⑤, 2,15,Ｍビレッジペガサス, 61,蛯名正, 0.0, 71,   0,* 10, 7, 16.5, ⑫⑪, 2, 9,Ｇセタガヤフラッグ, 79,藤田伸, 0.3, 82,   7,   8, 7, 28.2,⑦⑦⑥
 3, 2,Ａノボシャンパｰニュ, 62,大庭和, 0.1, 58,  -3,* -1, 4,  7.3, ②④, 3, 1, ドゥｰエン,,南井大,202.9,,,, 5, 11.8,⑪⑨⑨, 3, 8,Ｌガンドッグ, 63,吉田隼, 0.2, 70,   3,   4, 2,  5.0, ⑤⑤, 3, 6,Ｈスペシャルフロｰト, 76,草野太, 0.3, 78,* 11,  -4, 9, 39.3,①①①
 4, 8,Ｄシングンデパｰチャ, 57,柴田善, 0.4, 58,  -4,* -2, 5, 11.7, ⑨⑦, 4, 8, タイキボナパルト,,草野太,202.9,,,, 9, 64.9,⑨⑧⑧, 4,12,Ｇカリバｰン, 67,田中勝, 0.2, 68,   1,   7, 1,  4.1, ⑪⑨, 3, 3,Ｂスノｰクラッシャｰ, 85,松岡正, 0.3, 84,   6,* 11, 1,  3.0,⑧⑧⑧
 5, 4,Ｊケイアイドリｰム, 51,田辺裕, 0.5, 58,  -2,  -4, 6, 17.7, ⑤⑤, 5, 6, ケイズパステル,,五十嵐,206.3,,,, 6, 25.9,③⑦⑦, 5, 4,Ｈフェバリットアワｰ, 66,大野拓, 0.4, 65,   3,   2,10, 47.0, ④④, 5, 7,Ｄリコリス, 84,蛯名正, 0.5, 78,   7,   2, 3,  4.3,⑤⑤⑤
 6,12,Ｌカツヨプリンセス, 50,武士沢, 0.5, 57,  -6,*  0,16,274.3, ⑩⑪, 6, 3, フェスティバルイヴ,,高野和,206.4,,,, 2,  4.2,④①①, 6, 7,Ｃギャザｰロｰジズ, 76,柴山雄, 0.6, 65,   3,   1, 5,  6.9, ⑥⑥, 6, 8,Ａベルベットロｰド, 88,デムｰ, 0.6, 80,   1,* 15, 2,  3.8,⑩⑩⑩
 7, 6,Ｃピンクデｰジｰ, 59,柴山雄, 0.6, 55,* -1,  -8, 8, 38.5, ③②, 7,12, プラテアｰド,,横山義,207.2,,,, 3,  5.4,②②③, 7, 5,Ｋキサキタ, 63,松岡正, 1.2, 60,*  4,  -7, 9, 37.3, ②②, 7, 1,Ｉチョウサンデイ, 73,中舘英, 0.7, 76,* 11,  -8, 6, 21.4,②②②
 8,10,Ｅカミダノミ, 57,デムｰ, 1.0, 53,  -3,  -8, 1,  2.7, ⑥⑥, 8, 7, エンセｰ,,平沢健,207.2,,,,10, 68.2,⑫⑪⑪, 8, 9,Ｏガッツボｰイ, 58,小林淳, 1.3, 61,   0,  -1,14,198.9, ⑩⑩, 8, 2,Ｆコスモピロリ, 81,石橋脩, 0.9, 74,   9,  -8, 8, 28.3,④④④
