10年 7月31日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 7月31日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(九) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-29,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-14,,,,,■10R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,高千穂特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12, 6, テイエムタマゲタ,---,安藤光, 2.2, 28, -32,* -5, 9, 64.3, ⑱⑯,12,14, オｰミリバティｰ,---,北村友, 2.1, 39, -16, -13,13,106.4, ⑫⑪,12, 9, エリモヴィクトリｰ,---,川田将, 1.3, 43,  -9,  -7, 6, 15.5, ⑬⑬,12, 9,Ｌセイカジｰベック, 65,太宰啓, 3.0, 46,*  8, -34,12,166.0,①②⑫
13, 2,Ｍテイエムヤチャボｰ, 10,太宰啓, 2.4, 25, -21, -18,10,123.5, ⑪⑬,13,15, ビコｰブラボｰ,---,鷹野宏, 2.3, 35, -35,*  3,15,327.9, ⑮⑮,13, 4,Ｆキョウワサムライ, 49,国分恭, 1.3, 43, -21,*  5,12, 76.0, ⑮⑮,,,,,,,,,,,,
14, 5,Ｇラストエンペラｰ, 29,浜中俊, 2.5, 25, -26, -14,12,135.9, ⑮⑮,14, 4, ミヤマキリシマ,---,幸英明, 2.4, 34,  -6, -26,12, 94.2, ④④,14, 7,Ｈナンゴクトップガン, 46,鮫島良, 1.8, 36, -14,  -8,14,103.4, ⑭⑭,,,,,,,,,,,,
15,14,Ｌカシノラム, 11,国分恭, 2.5, 24, -18, -22,15,224.1, ⑨⑩,15,13, イズミシリウス,---,太宰啓, 3.2, 24, -25, -18,14,206.6, ⑬⑭,15,14, ワンダｰトウショウ,---,赤木高, 2.5, 26,*  7, -38, 5, 14.7, ①①,,,,,,,,,,,,
16, 1,Ｎダンツグリｰ,  4,北村友, 2.7, 21, -28, -15,11,130.7, ⑰⑰,,,,,,,,,,,,,16, 5,Ｎシゲルノブナガ,-14,北村友, 2.7, 25, -24, -10,18,255.5, ⑰⑰,,,,,,,,,,,,
17,16,Ｊレリア, 18,熊沢重, 3.7, 10,* -7, -48,14,186.7, ③③,,,,,,,,,,,,,17,17, エプソムイチロｰ,---,石橋守, 2.7, 24, -29,  -5,15,128.6, ⑱⑱,,,,,,,,,,,,
18, 8,Ｈカシノアクセル, 28,川須栄, 6.0,-23, -25, -61, 8, 55.6, ⑭⑱,,,,,,,,,,,,,18,13,Ｍシンシンキエイ, 20,小牧太, 3.3, 17, -20, -22,13, 96.2, ⑯⑯,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-2),,,,,,,,,,,
単勝:120円 複勝:17=110円 13=230円 12=510円 枠連:500円,,,,,,,,,,,,単勝:220円 複勝:07=130円 02=200円 05=670円 枠連:570円,,,,,,,,,,,,単勝:610円 複勝:11=180円 02=150円 16=410円 枠連:610円,,,,,,,,,,,,"単勝:1,250円 複勝:01=340円 04=920円 10=240円 枠連:13,750円",,,,,,,,,,,
"馬連:720円 ワイド:13-17=340円 12-17=440円 12-13=2,160円",,,,,,,,,,,,"馬連:780円 ワイド:02-07=380円 05-07=1,220円 02-05=1,840円",,,,,,,,,,,,"馬連:660円 ワイド:02-11=290円 11-16=1,040円 02-16=1,000円",,,,,,,,,,,,"馬連:16,940円 ワイド:01-04=3,770円 01-10=1,210円 04-10=2,560円",,,,,,,,,,,
"馬単:750円 3連複:3,580円 3連単:8,960円",,,,,,,,,,,,"馬単:1,200円 3連複:5,370円 3連単:17,680円",,,,,,,,,,,,"馬単:1,630円 3連複:3,000円 3連単:14,500円",,,,,,,,,,,,"馬単:29,990円 3連複:32,510円 3連単:284,520円",,,,,,,,,,,
■ 2R  芝2000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 5R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:14,,,,,■ 8R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■11R  芝1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青島特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
