10年 1月16日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 1月16日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  ダ1200m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1800m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,初富士ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｂマルタシュンプウ, 65,江田照,, 67,* 10,* -4, 1,  3.6, ①①, 1,10, アグネススペクトル,---,柴田善,, 56,  -8,*  5, 2,  5.2, ⑪⑧, 1,12,Ａキッズアプロｰズ, 83,田中勝,, 76,*  4,* 15, 1,  1.5,②②②, 1, 6,Ｇモエレビクトリｰ, 83,的場勇,, 83,* 14,   4, 3,  5.0,①①①
 2,12,Ａハッピｰカオル, 66,北村宏, 0.0, 67,* 10,* -3, 4,  6.1, ③③, 2, 2, ペリグｰ,---,江田照, 0.8, 52,   2, -12,12, 77.9, ⑤⑤, 2, 8,Ｅメイショウパルマ, 75,柴山雄, 0.1, 75,*  4,* 15, 4, 11.9,⑨④③, 2, 2,Ｅアドバンスヘイロｰ, 83,クラス, 0.2, 83,  13,   4, 5,  6.9,②④③
 3,10,Ｄニシノフェミニン, 61,蛯名正, 0.4, 64,   8,* -5, 2,  4.1, ⑥⑤, 3,14, ヒルノリンベル,---,丹内祐, 1.0, 48,  -7,  -6, 6, 21.7, ⑩⑩, 3, 9,Ｂクｰルフォｰマ, 78,北村宏, 1.1, 66,*  5,   5, 3,  7.7,①①①, 3,13,Ｋスズジュピタｰ, 80,松岡正, 0.2, 86,  10,* 10, 4,  6.5,⑩⑨⑨
 4,13,Ｃワンモアジョｰ, 61,田辺裕, 0.6, 62,   8,  -6, 3,  5.4, ⑤④, 4, 4, レッドスピネル,---,柴山雄, 1.2, 47, -24,*  8,11, 64.3, ⑮⑭, 4,16,Ｐアクロスザボｰド, 49,小野次, 1.3, 69,*  4,   5, 8, 57.4,④③④, 4, 1,Ｈカレイジャスミン, 81,木幡初, 0.3, 82,  11,*  7, 9, 35.5,⑦⑧⑧
 5, 6,Ｉシリウスリジル, 49,勝浦正, 1.4, 55,* 10, -16,10, 22.2, ②②, 5, 3, タｰンオブザフット,---,北村宏, 1.3, 43, -13,  -2, 4,  7.6, ⑫⑫, 5, 2,Ｇクリノマックス, 72,クラス, 1.6, 67,   1,   8, 6, 29.6,⑧⑨⑦, 5,14,Ｂコロンバスサｰクル, 84,田中勝, 0.4, 81,  13,   3, 2,  3.9,⑥⑤⑦
 6,11,Ｈブルｰムｰンピサ, 50,横山典, 1.8, 48,   2, -12, 5, 10.5, ⑫⑨, 6,12, センチュリｰボｰイ,---,蛯名正, 1.4, 49,   6, -20, 3,  7.2, ④④, 6,13,Ｉショウナンアゲイン, 70,柴田善, 1.7, 66,   2,   5, 7, 36.7,⑥⑦⑧, 6,11,Ｉケイアイドウソジン, 81,戸崎圭, 0.5, 80,* 14,  -2, 1,  3.9,④③④
 7, 2,Ｆエンダｰズシャドウ, 55,田中勝, 1.8, 49,   2, -12, 8, 19.7, ⑪⑩, 7,11, ユニラテラリズム,---,後藤浩, 1.5, 52,* 14, -29, 8, 30.8, ②②, 7, 4,Ｈゴｰルデンラダｰ, 71,西田雄, 1.8, 67,   1,   7,10,147.7,⑩⑫⑪, 7, 3,Ｎショウナンライジン, 74,中舘英, 0.7, 80,  10,   4,10, 39.4,⑫⑩⑩
 8,16,Ｅシングンデパｰチャ, 56,柴田善, 1.9, 49,   6, -16, 6, 18.0, ⑧⑦, 8, 6, ゴｰルデンスタｰ,---,千葉直, 1.5, 50,   8, -22, 7, 26.5, ③③, 8, 7,Ｄヴァルドルフ, 75,蛯名正, 1.8, 66,   3,   3, 2,  6.5,⑤⑥⑥, 8,10,Ａドリｰムトレジャｰ, 85,武士沢, 0.8, 75,   8,   4,12, 48.0,⑪⑫⑫
