10年11月14日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年11月14日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 7R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,小峰城特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｋロｰゼウィｰク, 60,松山弘,, 76,*  6,   6, 4,  8.2,①①①, 1,12,Ｄメイショウタカチホ, 65,西村太,, 75,*  1,* 16, 6, 11.1, ①①, 1, 9,Ｃトウショウアトム, 74,中谷雄,, 75,* -9,* 25, 1,  2.3,①①①, 1, 3,Ｆトｰセンオｰパス, 73,丸田恭,, 82,*  6,* 14, 3,  5.0,②②②
 2,14,Ｅドビュッシｰ, 69,石橋脩, 0.4, 72,   3,   7, 5,  9.7,⑦⑥⑤, 2, 4,Ｂスノｰライダｰ, 69,中谷雄, 0.7, 68,  -6,* 14, 7, 18.2, ⑦⑥, 2,10,Ｋプロテクトジアｰス, 66,上村洋, 1.1, 68,*-10,  17, 8, 30.5,②②②, 2, 1,Ｂゴｰゲッタｰ, 76,石橋脩, 0.4, 78,   3,  12, 4,  6.8,④④④
 3,15,Ｃマｰブルアロｰ, 72,丸山元, 0.4, 72,   3,*  8, 1,  2.3,⑨⑦⑥, 3, 9,Ｆイｰサンヘモス, 64,赤木高, 1.1, 65,*  2,   5, 4,  8.1, ③③, 3, 3,Ｍエビデンス, 54,丸田恭, 1.3, 65, -11,  18,10, 32.2,⑤⑤⑦, 3,11,Ｌラガｰゴｰルデン, 65,渡辺薫, 0.5, 83,   2,* 20,13,113.0,⑫⑪⑪
 3, 3,Ｆレッドライオン, 69,丹内祐, 0.4, 71,   4,   5, 3,  7.8,④⑤②, 4, 1,Ｉスナｰクヒロイン, 59,太宰啓, 1.1, 63,  -2,   8, 2,  4.2, ④④, 4, 5,Ｄセレスブレイク, 71,中舘英, 1.4, 66, -11,  19, 7, 18.0,⑫⑩⑤, 4, 5,Ｋマイネルガヴロシュ, 66,丹内祐, 0.8, 75,   2,  10,11, 61.2,⑦⑦⑦
 5, 6,Ｈマイティｰクラウン, 66,小野寺, 1.1, 69,  -2,* 11, 9, 45.3,⑮⑭⑬, 5,10,Ｅオｰミレイライン, 65,渡辺薫, 1.2, 63,  -2,   6, 5, 10.0, ⑥⑤, 5,11,Ａヴァルナ, 76,小野寺, 1.4, 67, -13,* 22, 5, 11.3,⑮⑭⑩, 5, 4,Ａフラッパｰウィング, 78,中舘英, 0.9, 73,*  4,   3, 1,  3.0,③③③
 6, 2,Ｇシュヴァイツァｰ, 68,西田雄, 1.1, 67,*  5,  -2, 8, 18.9,⑥④③, 6, 6,Ａジェラルドエビス, 71,丸山元, 1.3, 62,*  1,   4, 1,  2.7, ②②, 6,15,Ｂコスモナダル, 75,丹内祐, 1.4, 65, -10,  17, 4,  7.3,⑥⑥⑧, 6, 7,Ｇリバｰインバウンド, 72,西田雄, 0.9, 73,   2,  10,10, 58.2,⑨⑧⑩
 7,12,Ａクリノテンペスタ, 74,上村洋, 1.9, 63,   3,  -5, 7, 13.1,⑭⑨⑦, 7, 7,Ｃフレイヤ, 68,小島太, 1.3, 61,  -5,   7, 3,  6.4, ⑧⑧, 7, 2,Ｅサンワｰドハｰレｰ, 71,丸山元, 1.5, 66, -11,  18, 3,  6.9,⑦⑦⑥, 7,13,Ｄタニノネグロｰニ, 74,丸山元, 1.0, 71,   2,   9, 6, 10.0,⑧⑨⑥
 8, 4,Ｂテｰオｰマグナム, 73,中舘英, 2.0, 60,*  5, -10, 6, 11.3,②②④, 8, 3,Ｇレグルスハｰト, 64,武英智, 1.6, 57, -16,* 12,11,222.3, ⑪⑪, 8,12,Ｏニシキホマレ, 45,平野優, 1.8, 61,*-10,  12,11, 42.6,④③④, 8,10,Ｅウエスタンディオ, 73,的場勇, 1.0, 73,  -1,* 14, 5, 10.0,⑭⑬⑬
 9, 8,Ｄクｰルフォｰマ, 72,丸田恭, 2.6, 55,   1,  -7, 2,  5.5,⑫⑪⑨, 9, 8,Ｈデンコウラッキｰ, 63,村田一, 1.8, 55, -10,   7, 8, 21.0, ⑨⑨, 9,14,Ｊエイシンワｰルド, 66,西村太, 1.9, 63, -13,  17,13,133.4,⑬⑫⑬, 9,12,Ｉコスモマクスウェル, 71,中谷雄, 1.0, 71,   3,   4, 8, 29.4,⑥⑤⑤
10,13,Ｍスｰサンキャプテン, 57,太宰啓, 2.8, 53,   0,  -8,12,103.3,⑬⑬⑪,10, 5,Ｋノアスピリタス, 56,大野拓, 1.9, 55,  -2,   0,10, 57.8, ⑤⑦,10, 6,Ｇラウリシルヴァ, 69,松山弘, 1.9, 65, -12,  16, 9, 30.7,⑨⑪⑪,10,14,Ｃアドマイヤタイシ, 74,上村洋, 1.0, 74,   0,  11, 2,  4.8,⑪⑫⑫
11, 7,Ｏエイトスタｰ, 51,村田一, 3.4, 50,   1, -15,15,252.9,⑤⑩⑫,11,11,Ｌクリノモンブラン, 49,水口優, 2.0, 53, -13,   6,12,479.6, ⑩⑩,11, 4,Ｆシルクペガサス, 69,国分優, 2.0, 61, -11,  13, 6, 15.2,⑧⑧⑨,11, 9,Ｈミスベルツリｰ, 71,小林淳, 1.1, 72,   0,  10, 9, 45.2,⑩⑩⑨
12,10,Ｉフジマサボｰイ, 64,国分優, 3.4, 51,   1, -13,13,119.7,⑩⑫⑭,12, 2,Ｊルナドリｰム, 56,松山弘, 2.8, 46, -19,   3, 9, 21.2, ⑫⑫,12, 7,Ｈキタサンエンペラｰ, 68,的場勇, 2.2, 65, -13,  16,12, 98.7,⑩⑬⑭,12, 2,Ｍカワキタコマンド, 63,太宰啓, 1.2, 68,*  7,  -6,12, 80.8,①①①
13, 9,Ｎティｰガｰ, 55,平野優, 3.4, 51,   3, -17,10, 68.9,⑧⑧⑩,,,,,,,,,,,,,13,13,Ｎレッドアロｰライン, 51,小林慎, 2.3, 59, -11,  11,14,166.1,⑪⑨⑫,13, 6,Ｊユｰピロンユｰ, 68,村田一, 1.5, 66,   3,  -1, 7, 22.5,⑤⑥⑧
14, 5,Ｌメイショウゼウス, 57,大野拓, 4.3, 43,*  5, -28,11,102.2,③③⑧,,,,,,,,,,,,,14, 1,Ｉジンダリｰ, 66,石橋脩, 3.0, 54, -11,   3, 2,  5.5,③④③,14, 8,Ｎメジロマシュｰズ, 54,赤木高, 2.3, 59,  -4,   1,14,170.7,⑬⑭⑭
,,,,,,,,,,,,,,,,,,,,,,,,15, 8,Ｌホウザンドラゴン, 57,西田雄, 3.7, 51, -15,   5,15,330.2,⑭⑮⑮,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-20 ﾚｰｽｱｶﾞﾘ指数:+15 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-1),,,,,,,,,,,
