10年11月28日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年11月28日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  芝3170m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  ダ1800m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,北國新聞杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ａショウナンタスク, 66,幸英明,, 55,  -1,*  2, 1,  1.7, ③③, 1, 3, トウカイポリシｰ,,北沢伸,,,,, 2,  4.9,③①①, 1,16,Ｂジャズピアノ, 79,佐藤哲,, 81,* -3,* 20, 1,  1.8, ②②, 1, 5,Ｄネオファンタジア, 81,岩田康,, 86,*  3,* 20, 1,  2.3,①①①
 2, 2,Ｅクランチタイム, 49,北村友, 0.1, 54,*  1,  -1, 2,  5.2, ①①, 2, 6, エルジャンクション,,林満明,214.5,,,, 8, 23.7,②②②, 2, 9,Ｅトウカイレジｰナ, 73,古川吉, 0.2, 78,* -2,  17, 5, 10.9, ①①, 2, 2,Ｋメメビｰナス, 77,佐藤哲, 0.6, 84,   0,* 23, 5, 13.0,⑩⑨⑥
 3, 8,Ｆエｰシンボダイジュ, 49,中舘英, 0.3, 52,* -1,  -1, 8, 33.9, ②②, 3, 2, プライドイズハｰト,,五十嵐,215.3,,,, 6, 17.8,⑩⑧④, 3,15,Ａトウショウデザイア, 81,高倉稜, 0.4, 77,* -4,  18, 4,  9.4, ④③, 3, 7,Ｌワイルドウルフ, 75,ウィリ, 0.8, 80,*  3,  16, 2,  4.1,②③⑤
 4,12,Ｂエｰシンラッシング, 58,和田竜, 0.4, 52,  -3,   1, 4, 11.9, ⑥⑥, 4, 5, マックスチャンプ,,高田潤,215.9,,,, 1,  2.2,⑥⑨⑦, 4,13,Ｇシゲルケンシン, 71,小牧太, 0.7, 74,  -6,  18, 8, 26.7, ⑨⑦, 4, 3,Ｂリバプｰルサウンド, 83,幸英明, 0.9, 80,   2,  17, 4,  7.5,③⑤④
 5, 7,Ｋメイショウモンシロ, 39,武幸四, 0.7, 50,  -5,   0,11,111.8, ⑦⑦, 5, 4, マｰベラスパレｰド,,岩崎祐,215.9,,,, 5,  9.5,⑦⑥⑥, 5, 8,Ｋオｰミレイライン, 66,幸英明, 1.0, 72,  -5,  13,12, 99.9, ⑤⑤, 5, 6,Ｊバトルブリンディス, 78,吉田稔, 1.1, 80,  -1,* 22,10, 49.1,⑫⑫⑪
 6,13,Ｃトウケイカガヤキ, 55,飯田祐, 0.8, 48,  -1,  -4, 7, 31.3, ⑤④, 6, 9, メイショウチョイス,,黒岩悠,216.1,,,, 3,  5.6,⑨⑤⑤, 6,14,Ｄマジックアロｰ, 74,岩田康, 1.2, 72,  -8,  16, 6, 11.4, ⑪⑩, 6,12,Ｇキャトルマン, 80,浜中俊, 1.3, 78,   0,  16, 8, 27.0,⑧⑧⑨
 7, 9,Ｄジョウショｰコトミ, 54,岩田康, 0.8, 49,  -1,  -4, 3,  7.0, ④⑤, 7,11, シｰアクロス,,植野貴,216.2,,,, 4,  9.0,⑤③③, 7,11,Ｌザッハトルテ, 65,浜中俊, 1.3, 72,  -7,  15,10, 80.8, ⑩⑨, 7, 4,Ｆロｰレルレヴァｰタ, 80,川須栄, 1.4, 80,  -1,  18, 9, 31.6,⑦⑪⑫
 8, 1,Ｈワンダｰゴヴェルノ, 43,秋山真, 1.1, 46, -12,*  4, 9, 67.0, ⑬⑫, 8, 8, ファンドリリｰダｰ,,南井大,216.8,,,,11, 87.3,⑧⑩⑧, 8, 6,Ｉウィアｰザスタｰ, 67,川須栄, 1.4, 72, -11,* 19,11, 88.1, ⑯⑯, 8,11,Ｈフェイドレスシｰン, 79,松山弘, 1.5, 78,   0,  15,11, 88.9,⑪⑩⑧
