10年 1月23日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 1月23日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  ダ1000m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 7R  芝1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,なずな賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ａシルクタｰンベリｰ, 62,松田大,, 69,* -4,*  9, 1,  1.4,③③②, 1, 1,Ａトウカイポプリ, 74,上村洋,, 65,   2,   4, 2,  3.6, ④④, 1, 1,Ａマイネルアトレ, 80,丹内祐,, 81,   9,*  5, 2,  3.7,⑥⑤⑤, 1, 3,Ｊレオプライム, 54,鮫島良,, 68,   0,*  1, 3,  6.2, ⑨⑩
 2, 4,Ｎパミｰナ, 39,北村友, 0.6, 62,* -3,*  3,10, 35.9,①①①, 2,15,Ｄグレンチェック, 72,松田大, 0.0, 66,*  6,   1, 4,  6.2, ③③, 2, 7,Ｂトレジャｰハント, 80,宮崎北, 0.1, 79,   8,*  5, 3,  5.0,⑤⑦④, 2,14,Ｄスイｰトエスケｰプ, 63,古川吉, 0.4, 64,   3,  -7, 1,  2.4, ⑧⑧
 3,13,Ｌテンシノアスタｰ, 45,国分恭, 0.6, 62,* -4,*  4, 2, 11.1,⑥④③, 3,16,Ｅサクラナスカ, 72,田中博, 0.0, 65,   4,   3, 5,  8.5, ⑤⑤, 3, 3,Ｅシルクドルフィン, 67,田中博, 0.3, 78,   8,*  3, 7, 19.7,⑩⑧⑧, 3, 7,Ｆサマｰコｰド, 60,松田大, 0.4, 62,  -5,*  1, 7, 15.1, ⑫⑫
 4, 2,Ｇトレノジャイアント, 54,小野寺, 1.9, 52,  -6,  -3,12, 59.1,⑧⑧⑩, 4, 6,Ｂイグナイトカフェ, 73,小島太, 0.1, 62,  -1,   4, 3,  5.8, ⑥⑦, 4,11,Ｈエンブリオ, 64,丸田恭, 0.6, 73,   5,*  4, 4,  5.4,⑪⑫⑩, 4, 6,Ｂインタレスティング, 64,酒井学, 0.5, 59,  -4,* -1,10, 39.6, ⑪⑨
 5, 3,Ｆメイショウシェリｰ, 55,高橋亮, 2.0, 53,  -5,  -4, 3, 12.3,⑪⑨⑦, 5, 4,Ｌスプリングアウェク, 58,国分恭, 0.4, 59,  -4,   3, 6, 12.2, ⑨⑧, 5,10,Ｌサンアイブライト, 61,小野寺, 1.2, 69,   3,  -1,15,186.9,⑬⑯⑭, 5, 8, ニュｰブラウン,---,吉田稔, 0.6, 59,   0,  -7,13, 98.6, ⑩⑭
 6, 8,Ｈケイアイブル, 53,丸山元, 2.0, 51,  -5,  -7,11, 58.0,⑦⑦⑥, 6,14,Ｃメジロシｰゴｰ, 72,丸山元, 0.4, 58,  -6,   5, 1,  3.4, ⑪⑭, 6,14,Ｊメイショウシｰマ, 63,中村将, 1.2, 68,   7,  -7,14,157.4,⑫⑩⑫, 6,12,Ａジョディｰズライン, 67,石橋脩, 0.7, 63,*  9, -17, 2,  5.4, ②②
 7,15,Ｅタマモチャｰム, 56,赤木高, 2.0, 52,  -6,  -5, 5, 18.2,⑫⑩⑧, 7, 9,Ｈリッショウユｰザｰ, 61,石橋脩, 0.5, 60,  -8,*  7,10, 70.8, ⑭⑪, 7,12, ヤマノベガ,---,北村浩, 1.3, 65,* 10, -18,13,122.8,①②②, 7, 5,Ｅトｰコｰブロンコ, 62,藤岡康, 0.7, 57,  -8,*  0, 8, 19.5, ⑭⑬
 8, 6,Ｂゲットアヘッド, 59,太宰啓, 2.4, 51,  -8,  -5, 4, 15.5,⑭⑪⑪, 8, 5,Ｋアムネリス, 59,西田雄, 0.5, 60,*  6,  -4,11, 91.3, ①①, 8,15,Ｄマイネルアウストロ, 70,池崎祐, 1.4, 64,* 12, -22, 9, 39.0,④①①, 8,13,Ｋヤマカツマヤリス, 50,太宰啓, 0.8, 59,   5, -14, 9, 35.5, ⑦⑥
