10年 6月27日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 6月27日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1150m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝2750m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  芝2600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  ダ1150m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鶴ヶ城特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｂリンドブルム, 63,吉田豊,, 53,  -8,*  7, 2,  5.5, ⑪⑨, 1, 2, モエレエキスパｰト,,浜野谷,,,,, 2,  3.2,②②②, 1, 2,Ｃメジロビュｰレン, 60,小野寺,, 72,* 10,*  5, 6, 14.0,①①①, 1,11,Ｉクリスタルボｰイ, 74,内田博,, 82,*  8,  13, 4,  7.6, ①①
 2,14,Ｋオヘソノタカラモノ, 46,内田博, 0.0, 58,*  4,  -3, 3,  8.2, ①①, 2,14, ハクサン,,石神深,180.7,,,, 3,  5.4,④③③, 2, 1,Ａオペラオｰカン, 69,田中勝, 0.1, 73,*  8,*  9, 1,  2.4,③⑤②, 2,13,Ｐカホマックス, 69,中舘英, 0.1, 81,*  7,  13, 6, 13.3, ②②
 3, 4,Ｍレｰクサイドカフェ, 44,戸崎圭, 0.1, 57,   2,  -1, 9, 43.9, ④②, 3, 8, コアグリｰン,,金子光,181.0,,,, 1,  2.7,⑤⑤④, 3,12,Ｆコウギョウロブロイ, 59,中舘英, 0.6, 68,*  8,   0, 3,  7.3,⑧④③, 3,12,Ｅブライトアイザック, 78,江田照, 0.3, 79,   4,  14, 3,  7.1, ④④
 4, 6,Ｇサンパチェンス, 52,江田照, 0.8, 50,   1,  -6, 8, 33.5, ⑤⑤, 4, 3, オンワｰドシェルタ,,穂苅寿,182.5,,,, 7, 25.5,⑩⑥⑥, 4, 5,Ｄグラスアタック, 60,伊藤工, 0.8, 66,   7,*  3, 5,  9.6,⑦⑦⑥, 4, 5,Ｃサウンドアクシス, 80,戸崎圭, 0.6, 77,  -5,* 19, 1,  2.4, ⑩⑪
 5, 3,Ｉサイモンドルチェ, 49,嘉藤貴, 1.1, 46,  -1,  -8, 7, 32.7, ⑥⑥, 5, 4, ディアマイホｰス,,江田勇,183.0,,,,14,102.8,⑦⑧⑦, 5,11,Ｉブリリアントレッド, 55,町田直, 1.2, 62,   6,  -3,12, 82.5,⑮⑧④, 5, 3,Ｇメイショウワカツキ, 76,藤岡康, 0.7, 75,   3,  10,12, 65.8, ③③
 6,16,Ｄネオエピック, 55,北村宏, 1.1, 48,*  3, -10, 5, 27.0, ③④, 6,13, ダイイチミラクル,,柴田大,183.4,,,, 6, 24.8,③④⑤, 6,16,Ｊサｰクルステｰジ, 54,嘉藤貴, 1.4, 61,   7,  -5,11, 52.2,⑨⑥⑦, 6, 6,Ｆスイｰトエスケｰプ, 77,松岡正, 1.0, 72,   1,  10, 2,  6.1, ⑤⑤
 7, 1,Ｅカシノカルミア, 55,二本柳, 1.3, 44,  -5,  -6,10, 53.0, ⑧⑧, 7, 6, フナベンケイ,,山本康,183.4,,,,12, 95.7,⑪⑩⑩, 7, 9,Ｈメジロチェスタｰ, 56,村田一, 1.4, 63,   6,   0, 7, 17.9,⑪⑩⑨, 7, 1,Ｄユウキアックン, 80,梶晃啓, 1.1, 71,  -7,  15,10, 35.9, ⑪⑩
 8,13,Ａマｰシュハリアｰ, 65,松岡正, 1.4, 43,  -1, -10, 1,  1.5, ⑦⑦, 8, 5, タマモシンボル,,林満明,183.6,,,, 5, 18.1,⑥⑦⑧, 8, 6,Ｅマルブツダンスイン, 60,内田博, 1.9, 58,   4,  -2, 4,  8.0,⑩⑭⑬, 8, 8,Ａダイワプリベｰル, 85,北村宏, 1.2, 69,  -7,  15, 7, 14.7, ⑬⑫
