10年 7月 4日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 7月 4日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ函館,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｃトｰセンキャッスル, 60,横山典,, 62,*  2,  -2, 4,  4.5, ①①, 1,10, タイセイファントム,---,吉田隼,, 59, -10,   2, 1,  1.6, ③③, 1,12,Ｃユメノキラメキ, 73,丸山元,, 70,*  8,   4, 2,  4.0,①①①, 1, 9,Ａテルミｰホワイ, 83,小林徹,, 76,*  4,*  9, 1,  3.5,②②①
 2, 9,Ｅラブシェｰマ, 57,芹沢純, 0.6, 57,*  2,  -7, 6, 13.9, ②②, 2, 8, スズカホｰプ,---,安藤勝, 0.0, 59, -13,*  4, 2,  6.8, ⑤④, 2, 6,Ｂファイブスタｰ, 74,安藤勝, 0.1, 71,   3,* 14, 3,  4.8,⑩⑧⑥, 2,11,Ｅアイソトｰプ, 74,安藤勝, 0.3, 72,   3,   8, 3,  4.0,③③③
 3, 4,Ｄキョウエイバリュｰ, 59,木幡初, 0.8, 54,  -2,  -6, 5, 12.9, ③③, 3, 2, ビｰビｰマキシマス,---,古川吉, 0.3, 56, -13,   1, 5, 11.2, ④⑥, 3, 8,Ｄトウカイレジｰナ, 73,古川吉, 0.5, 68,*  6,   4, 4,  9.0,⑤③③, 3, 8,Ｄマイネルアベニｰル, 75,大野拓, 0.4, 71,   3,* 10, 6, 12.6,⑥⑥⑥
 4, 5,Ｉアイキャン, 47,荻野琢, 0.9, 53, -19,*  4,10,146.5, ⑨⑨, 4, 6, ショウナンアリビオ,---,池添謙, 0.3, 55, -16,*  3, 4, 11.0, ⑨⑦, 4, 3,Ｇロｰザレｰヌ, 64,藤岡佑, 0.8, 68,   4,   7, 5, 11.4,⑥⑦⑦, 4, 5,Ｆエスジｰストリｰム, 71,西村太, 0.6, 72,   1,* 10, 9, 42.3,⑦⑧⑦
 5, 8,Ｊリネンダイドウ, 45,丸田恭, 0.9, 54,  -3,  -6, 8, 34.7, ④④, 5, 5, クリスタルロック,---,大野拓, 0.7, 51, -16,   0, 3, 10.0, ⑦⑤, 5, 7,Ｉデルマプロティナ, 62,竹之下, 1.2, 64,   2,   5, 8, 37.4,⑧⑨⑨, 5,12,Ｂラヴィンライフ, 76,横山典, 0.6, 70,   3,   7, 2,  3.5,⑤④⑤
 6, 6,Ｆケイアイアシュラ, 54,大野拓, 0.9, 50, -22,*  5, 2,  4.1, ⑩⑩, 6, 9, テイエムシャトウ,---,小野次, 0.9, 47,* -9, -11, 7, 19.6, ②②, 6, 9,Ｅシｰブルｰ, 72,吉田隼, 1.3, 64,   4,   0, 6, 17.6,③⑤④, 6, 4,Ｉアポロヴァンドｰム, 67,古川吉, 1.1, 68,   2,   4, 4,  6.9,④⑤④
 7,10,Ａジャングルジャガｰ, 61,藤岡佑, 1.0, 52,  -3,  -7, 3,  4.2, ⑤⑤, 7, 1, ボビｰバロｰズ,---,勝浦正, 1.1, 45, -25,   2, 8, 27.6, ⑩⑩, 7,10,Ｈタマモチャｰム, 63,柴山雄, 1.6, 58,   5,  -4, 9, 77.7,④④⑤, 7, 7,Ｃフルボディｰ, 75,藤田伸, 1.4, 68,   1,   4, 5, 10.9,⑫⑩⑧
 8, 2,Ｈチェリッシュ, 51,柴山雄, 1.1, 48, -19,   2,11,146.8, ⑧⑧, 8, 7, ベニバナクラウン,---,柴山雄, 1.2, 44, -14, -10, 6, 16.8, ⑥⑧, 8,13,Ｋラブソネット, 58,長谷川, 1.8, 57,*  6,  -8, 7, 33.1,②②②, 8, 2,Ｇホｰプダイナスティ, 69,勝浦正, 1.7, 64,  -1,   4, 7, 37.9,⑬⑫⑪
