10年 7月25日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 7月25日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  ダ1000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  ダ1700m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,KBC杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
13, 2,Ｑサンマルフラワｰ, 41,浜中俊, 1.4, 42, -12,  -5,13, 59.9, ⑰⑯,,,,,,,,,,,,,,,,,,,,,,,,,13,12,Ｅポｰトラヴ, 87,幸英明, 1.7, 70,   1,  11,12, 32.1,⑫⑪⑪
14, 4,Ｍアインファルケ, 44,鷹野宏, 1.4, 42, -10,  -7, 9, 30.8, ⑮⑰,,,,,,,,,,,,,,,,,,,,,,,,,14, 6,Ｋニュｰイチトク, 83,佐藤哲, 1.8, 70,   4,   6, 4,  8.1,④④⑤
15,14,Ｐスズカパルサｰ, 43,川田将, 1.6, 42,  -1, -18,14, 78.0, ⑧⑩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,17,Ｒポンドガｰル, 41,福永祐, 1.7, 42,   0, -19,10, 31.8, ⑩⑪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,15,Ｆメイショウマナ, 52,国分恭, 2.2, 33,  -9, -18,16,114.3, ⑯⑮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,16,Ｄプラチナソング, 54,松山弘, 2.4, 31,  -1, -29, 5, 10.9, ⑨⑬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-13 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:-13 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-2),,,,,,,,,,,
"単勝:12,620円 複勝:01=2,490円 11=150円 03=350円 枠連:3,810円",,,,,,,,,,,,"単勝:1,470円 複勝:03=310円 09=200円 07=140円 枠連:1,950円",,,,,,,,,,,,単勝:390円 複勝:07=120円 08=120円 09=130円 枠連:290円,,,,,,,,,,,,"単勝:730円 複勝:11=290円 03=380円 14=490円 枠連:1,150円",,,,,,,,,,,
"馬連:25,940円 ワイド:01-11=7,890円 01-03=17,140円 03-11=920円",,,,,,,,,,,,"馬連:3,750円 ワイド:03-09=910円 03-07=630円 07-09=370円",,,,,,,,,,,,馬連:490円 ワイド:07-08=190円 07-09=250円 08-09=230円,,,,,,,,,,,,"馬連:4,320円 ワイド:03-11=1,600円 11-14=2,090円 03-14=2,690円",,,,,,,,,,,
"馬単:79,270円 3連複:79,540円 3連単:794,410円",,,,,,,,,,,,"馬単:9,410円 3連複:2,870円 3連単:31,100円",,,,,,,,,,,,"馬単:1,010円 3連複:500円 3連単:2,750円",,,,,,,,,,,,"馬単:7,930円 3連複:27,470円 3連単:160,970円",,,,,,,,,,,
■ 2R  ダ1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 5R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■11R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,有明特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
