10年10月17日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年10月17日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1300m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 4R  芝2000m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,白秋ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｋティアップゼウス, 31,北村友,, 59,* -4,* -2, 5, 32.7, ②②, 1, 2, レインボｰシュｰズ,---,田中勝,, 59, -28,* 17, 5,  7.2,⑦⑤④, 1,13,Ｈセイウンジャガｰズ, 72,北村宏,, 80,  -4,* 20, 6, 14.3, ⑱⑯, 1, 8,Ｆエｰブダッチマン, 78,吉田隼,, 87,  13,   6, 6, 12.2, ⑥⑥
 2,13,Ｃグリｰンファイヤｰ, 44,伊藤工, 0.1, 56,  -6,* -1, 4, 17.4, ④⑥, 2, 4, ネグレスコ,---,石橋脩, 0.2, 57, -30,* 16, 1,  3.5,④⑥⑤, 2, 9,Ｎウエスタンディオ, 65,石橋脩, 0.2, 77,   2,  10, 9, 20.7, ⑧⑧, 2,17,Ｃデリキットピｰス, 82,田中勝, 0.3, 83,  11,   5, 2,  4.8, ⑨⑧
 3, 2,Ａパシオンルｰジュ, 70,丸山元, 0.2, 57,* -2,  -5, 1,  1.2, ①①, 3,10, ミエノキセキ,---,勝浦正, 0.3, 55, -30,* 15, 2,  3.5,⑤⑧⑩, 3,17,Ｑマシラ, 64,江田照, 0.4, 74,   3,   4,15, 90.7, ⑤⑥, 3, 5,Ｌユキノハボタン, 76,古川吉, 0.3, 84,  12,   3,10, 37.1, ⑦⑦
 4, 3,Ｊヘイセイレジェンド, 32,柴山雄, 1.0, 50, -12,* -2,10,132.7, ⑪⑫, 4, 7, ゴｰルドラム,---,古川吉, 0.4, 51, -29,   8, 4,  6.7,③③③, 4, 7,Ｇソルプリマベラ, 72,国分優, 0.4, 74,   3,   4, 8, 17.5, ⑥⑤, 4,10,Ｑレオパステル, 68,村田一, 0.4, 82,   7,*  9,15, 80.9, ⑩⑫
 5,12,Ｄマイネルパルフェ, 43,津村明, 1.2, 48,  -8,  -7, 3, 12.3, ⑩⑨, 5, 1, ケミカルチェンジ,---,丸山元, 0.5, 53, -31,  14, 3,  4.6,⑨⑨⑧, 5, 8,Ｉスパラｰト, 72,宮崎北, 0.5, 73,* 11,  -6, 4,  7.7, ①①, 5, 4,Ｈシセイカグヤ, 78,丸田恭, 0.5, 78,   3,* 12, 4,  8.7, ⑯⑯
 6,15,Ｆジパングファｰスト, 39,武士沢, 1.3, 47, -10,  -6,14,207.1, ⑫⑪, 6, 3, マイネルリシェス,---,津村明, 0.7, 46,*-27,   2, 7, 19.4,②②②, 6, 1,Ｋクロフォｰド, 67,田中勝, 0.5, 74,  -5,* 14, 2,  4.9, ⑰⑮, 6, 3,Ｅボｰダレスワｰルド, 80,江田照, 0.5, 82,  16,  -5, 3,  7.2, ④⑤
 7, 4,Ｂネセサリｰ, 51,田辺裕, 2.1, 41,  -5, -18, 2, 11.8, ⑦⑤, 7, 5, メジロミョウジン,---,小野次, 1.3, 41, -32,   2, 9, 46.5,⑩⑩⑨, 7,14,Ｆマックスバロｰズ, 73,藤岡康, 0.6, 73,  -5,* 14, 1,  3.7, ⑯⑰, 7, 6,Ｇダイワルビア, 78,武士沢, 0.5, 79,   7,   7,13, 69.9, ⑫⑪
 8, 8,Ｏアミフジエンブレム, 23,黛弘人, 2.3, 41, -19,  -4, 8, 71.2, ⑭⑭, 8, 6, クｰルジャガｰ,---,中舘英, 1.5, 34,*-27, -11, 6, 17.8,①①①, 8,15,Ｅボンジュｰルメロン, 73,吉田隼, 0.6, 71,*  7,  -2,10, 21.0, ③③, 8,15,Ｏインプレスウィナｰ, 73,木幡初, 0.6, 80,  10,   3,11, 37.5, ⑧⑨
 9,10,Ｐスリｰスプリント, 19,石橋脩, 2.3, 41, -20,  -3,16,232.1, ⑯⑯, 9, 8, イｰストエンド,---,宮崎北, 1.8, 33, -30,  -8, 8, 43.0,⑧⑦⑥, 9,11,Ａクレバｰサンデｰ, 81,国分恭, 0.6, 71,*  7,  -3, 3,  5.7, ②②, 9, 2,Ｄゴｰルドアグリ, 82,勝浦正, 0.6, 80,  16,  -6, 8, 21.9, ⑤④
10, 9,Ｈミヤビエスプレッソ, 35,江田照, 2.4, 40, -14, -10, 9,114.4, ⑬⑬,10, 9, ビュｰスペシャル,---,吉田隼, 2.0, 33, -31,  -6,11,134.0,⑪⑪⑪,10,10,Ｃオペラセリア, 75,柴山雄, 0.8, 70,  -2,   7,13, 57.7, ⑪⑫,10,16,Ｉツクバホクトオｰ, 77,津村明, 0.6, 79,   8,   5, 9, 31.2, ⑪⑩
11,11,Ｅニシノゼｰレ, 41,岩部純, 2.6, 38,  -8, -19, 6, 44.1, ⑧⑩,11,11, バシリクス,---,丸田恭, 2.3, 24, -29, -16,10, 47.7,⑥④⑦,11, 5,Ｏダイワバｰガンディ, 65,丸田恭, 0.9, 68,   0,   2,14, 73.3, ⑫⑨,11, 7,Ｋゲットブラック, 77,鮫島良, 0.7, 76,   3,* 11,14, 74.3, ⑰⑰
12, 5,Ｇテイエムマｰテル, 38,水口優, 3.6, 28,  -8, -30,13,178.1, ⑤⑦,,,,,,,,,,,,,12, 3,Ｐワイドロｰタス, 64,勝浦正, 0.9, 69,   0,   5,16, 92.6, ⑩⑪,12,12,Ｂワルキュｰレ, 86,田辺裕, 0.8, 74,   5,   6, 7, 21.6, ⑭⑬
13,14,Ｎチグサ, 23,丸田恭, 3.8, 28, -19, -17,15,218.6, ⑮⑮,,,,,,,,,,,,,13, 4,Ｍマイネルナタリス, 65,津村明, 0.9, 69,   2,   1,11, 30.7, ⑦⑦,13, 9,Ａソｰマジック, 87,北村宏, 1.2, 74,* 18, -17, 1,  2.6, ②②
14,16,Ｉカシマホクト, 33,郷原洋, 4.1, 24,* -4, -38,12,158.4, ⑥④,,,,,,,,,,,,,14, 2,Ｌマスタｰオブゲｰム, 66,木幡初, 1.0, 67,   4,  -5,12, 41.4, ④④,14,11,Ｍオリオンスタｰズ, 76,丸山元, 1.2, 74,* 18, -17,12, 48.5, ③③
15, 1,Ｍティンバｰレイク, 25,平野優, 4.5, 21,  -9, -36, 7, 45.5, ⑨⑧,,,,,,,,,,,,,15,18,Ｂロｰドカイザｰ, 79,伊藤工, 1.3, 63,  -1,  -2, 5, 13.1, ⑨⑩,15, 1,Ｊマイネルプライゼン, 77,石橋脩, 1.2, 75,* 18, -18, 5, 11.3, ①①
16, 7,Ｌメイビｰサムタイム, 26,柴田大, 5.5, 14,* -4, -50,11,153.8, ③③,,,,,,,,,,,,,16,12,Ｊベストフェット, 68,田辺裕, 1.7, 58,  -2,  -5,18,150.4, ⑬⑬,16,14,Ｐクリｰルバレット, 73,黛弘人, 1.3, 70,   6,  -1,16,265.6, ⑬⑭
,,,,,,,,,,,,,,,,,,,,,,,,17,16,Ｄサイキョウアサカゼ, 73,北村友, 1.8, 60,  -1,  -5, 7, 17.1, ⑭⑭,17,13,Ｎヒシハイグレｰド, 74,西田雄, 1.9, 62,   4,  -8,17,340.9, ⑮⑮
,,,,,,,,,,,,,,,,,,,,,,,,18, 6,Ｒティアップノブレス, 64,丸山元, 1.8, 58,  -9,   2,17,128.7, ⑮⑱,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-16 ﾚｰｽｱｶﾞﾘ指数:+14 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-1),,,,,,,,,,,
"単勝:3,270円 複勝:06=390円 13=230円 02=110円 枠連:10,190円",,,,,,,,,,,,"単勝:720円 複勝:02=170円 04=120円 10=150円 枠連:1,170円",,,,,,,,,,,,"単勝:1,430円 複勝:13=480円 09=510円 17=2,500円 枠連:2,120円",,,,,,,,,,,,"単勝:1,220円 複勝:08=350円 17=230円 05=810円 枠連:2,030円",,,,,,,,,,,
"馬連:12,220円 ワイド:06-13=1,650円 02-06=520円 02-13=350円",,,,,,,,,,,,"馬連:1,080円 ワイド:02-04=370円 02-10=490円 04-10=270円",,,,,,,,,,,,"馬連:15,070円 ワイド:09-13=3,990円 13-17=15,980円 09-17=18,780円",,,,,,,,,,,,"馬連:2,830円 ワイド:08-17=1,210円 05-08=3,680円 05-17=2,890円",,,,,,,,,,,
"馬単:32,050円 3連複:3,030円 3連単:73,750円",,,,,,,,,,,,"馬単:2,500円 3連複:1,200円 3連単:8,640円",,,,,,,,,,,,"馬単:35,040円 3連複:342,050円 3連単:2,979,040円",,,,,,,,,,,,"馬単:6,770円 3連複:28,190円 3連単:114,820円",,,,,,,,,,,
■ 2R  芝1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 5R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 8R  ダ1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■11R  芝1800m 3歳上ｵｰﾌﾟﾝ(牝) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,府中牝馬ｽﾃｰｸｽ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ａアドマイヤバｰラム, 58,北村宏,, 61,*  2,*-11, 1,  1.5,④③③, 1,13,Ａレッドヴァンクｰル, 73,北村宏,, 78,*  8,*  7, 1,  1.5, ④③, 1,11,Ａラルｰチェ, 83,藤岡康,, 80,   5,* 17, 4,  5.9, ⑨⑧, 1,13,Ａテイエムオｰロラ, 90,国分恭,, 91,*  8,  12, 4,  6.6,①①①
 2,12,Ｃラストブライト, 50,木幡初, 0.7, 57,  -3,* -8,12, 71.0,⑯⑮⑮, 2, 7,Ｏエンダｰズシャドウ, 57,田中勝, 0.6, 72,   1,* 11,12, 68.1, ⑭⑭, 2, 3,Ｂアイノレグルス, 82,勝浦正, 0.2, 79,   3,* 18, 3,  4.7, ⑩⑩, 2, 2,Ｅセラフィックロンプ, 87,宮崎北, 0.1, 92,   5,  16,14, 61.7,②②④
