10年12月26日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年12月26日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■ 4R  芝1600m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2000m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■10R  芝2500m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,ﾎｰﾌﾟﾌﾙｽﾃｰｸｽ,,,,,,,,,,,,有馬記念 ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12, 8,Ｋリネントワイニング, 39,ベリｰ, 3.2, 39, -18,  -6,13,179.5, ⑮⑮,12,10, ミネルヴァクィｰン,---,津村明, 1.9, 30, -40,   1, 6, 23.2,⑬⑫⑫,,,,,,,,,,,,,12, 8,Ｉメイショウベルｰガ, 95,蛯名正, 1.2, 90,   8,  17, 9, 38.4,⑫⑫⑫
13, 5,Ｎエスパドン, 26,吉田隼, 3.2, 46,  -8,  -9, 8, 54.5, ⑪⑫,13, 4, グッドランスタｰ,---,勝浦正, 1.9, 30, -41,   3,10, 97.3,⑪⑬⑬,,,,,,,,,,,,,13,12,Ｈドリｰムジャｰニｰ, 97,池添謙, 1.2, 93,   8,  22, 4, 12.1,⑬⑬⑭
14,11,Ｍフォｰジドアストロ, 34,郷原洋, 3.3, 39, -15,  -9,16,297.7, ⑬⑭,14,14, フォレストリｰダｰ,---,池添謙, 1.9, 25,*-34,  -9,12,168.6,⑧④④,,,,,,,,,,,,,14,15,Ｎレッドディザイア, 89,四位洋, 1.4, 94,   4,* 29,11, 47.2,⑮⑮⑮
15,15,Ｆタカラバクシンオｰ, 50,後藤浩, 4.0, 32,  -2, -26, 4,  6.8, ⑦⑧,15, 7, レイメイ,---,吉田隼, 2.7, 19, -39, -10,11,125.5,⑫⑪⑪,,,,,,,,,,,,,15,16,Ｍジャミｰル, 89,福永祐, 1.4, 90,   9,  16,15, 91.8,⑩⑪⑪
16, 2,Ｐクリスドリｰム, -8,江田照, 4.2, 29, -28,  -5,14,247.2, ⑯⑯,16,15, タンクトップドｰタ,---,中谷雄, 7.1,-34, -54, -48,16,466.4,⑭⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-20 ﾚｰｽｱｶﾞﾘ指数:+14 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:67 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:96 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:1),,,,,,,,,,,
単勝:290円 複勝:16=130円 07=160円 13=300円 枠連:440円,,,,,,,,,,,,単勝:190円 複勝:05=120円 08=190円 02=650円 枠連:590円,,,,,,,,,,,,"単勝:810円 複勝:07=260円 05=190円 01=230円 枠連:2,470円",,,,,,,,,,,,"単勝:840円 複勝:01=200円 07=110円 11=1,260円 枠連:480円",,,,,,,,,,,
馬連:590円 ワイド:07-16=270円 13-16=630円 07-13=880円,,,,,,,,,,,,"馬連:580円 ワイド:05-08=320円 02-05=1,190円 02-08=2,160円",,,,,,,,,,,,"馬連:2,360円 ワイド:05-07=590円 01-07=720円 01-05=510円",,,,,,,,,,,,"馬連:550円 ワイド:01-07=270円 01-11=5,680円 07-11=2,430円",,,,,,,,,,,
