10年 7月31日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 7月31日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 4R  芝2850m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝2200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  ダ1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,苗場特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｅコスモイｰチタイム, 41,柴田大,, 51,  -2,* -8, 8, 36.6, ⑤⑤, 1, 3, アイズオブゾロ,,穂苅寿,,,,, 2,  3.0,⑥④④, 1, 8,Ｆヤマニンアｰシｰ, 61,田辺裕,, 66,  10,  -9, 8, 28.9,⑨⑥⑤, 1, 2,Ｄアｰリｰアメリカン, 82,松岡正,, 78,* 14,   2, 3,  6.1, ②②
 2, 7,Ｊコスモロングロｰド, 35,津村明, 0.0, 48,  -3,* -9, 7, 24.7, ⑥⑥, 2,10, ハリｰアップ,,金子光,192.3,,,, 6, 21.0,④⑤⑤, 2,16,Ｂマイネルダウザｰ, 67,伊藤工, 0.0, 66,   8,* -8, 6, 13.9,⑩⑦⑧, 2, 9,Ｇファンドリカップ, 78,村田一, 0.1, 75,   6,   8, 5,  9.3, ⑨⑧
 3, 2,Ｄコスモオウガイ, 42,石橋脩, 0.1, 49,  -2, -12, 4,  6.8, ④③, 3, 8, ワンモアスエルテ,,石神深,192.3,,,, 5, 17.1,①①①, 3, 3,Ｍマイネルウインザｰ, 53,津村明, 0.1, 65,  10, -14, 7, 20.8,⑧⑤⑥, 3,13,Ｉトｰセンベルファム, 75,伊藤工, 0.1, 72,  -3,* 17, 7, 19.8, ⑮⑮
 4, 1,Ｂクイｰンエステル, 49,中舘英, 0.3, 48,  -1, -13, 1,  3.2, ③④, 4, 2, ワイルドシャウト,,山本康,192.6,,,, 4,  8.3,②②②, 4, 9,Ｎコスモマハトマ, 49,中谷雄, 0.1, 66,   7,* -5,15,214.8,⑯⑪⑩, 4, 3,Ｌブライアントパｰク, 73,北村宏, 0.2, 75,  10,   4,11, 57.4, ⑥⑥
 5, 9,Ｌブルボンノキセキ, 24,田辺裕, 0.4, 49,*  3, -18,10,106.7, ①①, 5, 7, クリｰバレン,,柴田大,192.6,,,, 3,  4.2,③③③, 5, 5,Ｃシルクダイドウ, 65,蛯名正, 0.2, 66,* 12, -16, 4,  6.6,⑤③④, 5, 4,Ｋエｰシンドゥベタｰ, 73,内田博, 0.2, 76,  12,   2, 9, 26.0, ③③
 6, 4,Ｆコスモビｰトイット, 40,伊藤工, 0.5, 41, -13,* -4, 6, 15.4, ⑫⑪, 6, 6, シンボリプロキオン,,蓑島靖,193.7,,,, 7, 49.4,⑤⑥⑥, 6, 6,Ｄニュｰコネクション, 65,内田博, 0.4, 64,* 11, -21, 2,  4.7,②②②, 6,12,Ｅパｰフェクトケン, 78,吉田豊, 0.3, 71,   2,* 10, 8, 23.7, ⑫⑫
 7, 5,Ａサツマノホシ, 56,内田博, 0.6, 42,  -9,* -9, 3,  4.8, ⑩⑩, 7, 9, ネヴァリバティ,,五十嵐,195.3,,,, 1,  2.4,⑦⑦⑦, 7,10,Ｋサンデｰチョウサン, 56,村田一, 0.5, 63,   6,* -7,14,120.7,⑭⑫⑫, 7, 1,Ｃマイティｰストｰム, 86,蛯名正, 0.4, 76,* 15,  -4, 2,  4.1, ①①
 8, 6,Ｈスピｰドサクラ, 38,田中博, 1.6, 36,  -3, -23,12,119.0, ⑦⑦, 8, 5, スプリングマリア,,大江原,196.9,,,, 9, 85.6,⑧⑧⑧, 8,15,Ｈドリｰムプロメテル, 58,柴田善, 0.6, 60,   7, -13, 3,  4.7,⑬⑩⑪, 8,11,Ｈタマニュｰホｰプ, 77,津村明, 0.5, 71,   4,   6, 6, 19.8, ⑪⑩
