10年 9月26日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 9月26日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝2400m 3 歳ｵｰﾌﾟﾝ(国) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,神戸新聞杯 ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
13, 8,Ｉレディダイヤ, 39,高倉稜, 1.8, 40, -18, -12,10, 89.7, ⑨⑪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,12,Ｏタトゥｰン, 21,藤岡康, 2.1, 36, -21, -13,12,231.1, ⑭⑬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15, 9,Ｎカシノババロア, 26,大下智, 2.1, 37, -25,  -9,15,390.8, ⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-34 ﾚｰｽｱｶﾞﾘ指数:+17 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:83 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:-2),,,,,,,,,,,
単勝:220円 複勝:01=120円 03=120円 10=170円 枠連:340円,,,,,,,,,,,,単勝:960円 複勝:07=180円 10=110円 03=140円 枠連:640円,,,,,,,,,,,,"単勝:2,300円 複勝:03=440円 09=290円 11=410円 枠連:2,930円",,,,,,,,,,,,単勝:300円 複勝:03=120円 05=110円 01=220円 枠連:230円,,,,,,,,,,,
馬連:340円 ワイド:01-03=170円 01-10=360円 03-10=430円,,,,,,,,,,,,馬連:720円 ワイド:07-10=290円 03-07=450円 03-10=190円,,,,,,,,,,,,"馬連:6,840円 ワイド:03-09=1,330円 03-11=2,930円 09-11=1,670円",,,,,,,,,,,,馬連:240円 ワイド:03-05=140円 01-03=470円 01-05=340円,,,,,,,,,,,
"馬単:630円 3連複:1,040円 3連単:3,540円",,,,,,,,,,,,"馬単:2,370円 3連複:830円 3連単:7,890円",,,,,,,,,,,,"馬単:13,350円 3連複:22,790円 3連単:157,650円",,,,,,,,,,,,"馬単:560円 3連複:770円 3連単:2,570円",,,,,,,,,,,
■ 2R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 5R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 8R  芝1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■11R  ダ1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,西脇特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｊトップシャイン, 33,福永祐,, 65, -11,* 14, 3,  6.1, ⑧⑧, 1,15,Ｄティアモブリｰオ, 63,北村友,, 72,*  3,* 13, 2,  4.5,①①①, 1, 8,Ｃサンデｰミュｰズ, 76,武豊  ,, 83,  -3,* 18, 2,  3.7, ⑧⑧, 1,12,Ａサンライズモｰル, 83,川田将,, 83,*  6,  14, 1,  1.8,①②②
