10年10月31日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年10月31日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝1600m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,紅葉ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12,10,Ｉビレッジタイム, 46,柴山雄, 4.5, 34, -15, -15,13,166.7, ⑭⑬,12, 8, プリンセスフィオナ,---,佐藤哲, 1.4, 40, -41,  11,12,112.5, ⑮⑭,12,11,Ｎフラココ, 53,伊藤工, 1.4, 57,  -5,  -6,14,251.4,③④④,12, 8,Ｎクリムゾンベガ, 73,松岡正, 1.5, 73,   6,   0,14,129.0, ⑪⑪
13, 1,Ｄグレイドケイ, 52,蛯名正, 4.9, 30, -13, -22, 2,  4.1, ⑩⑫,13, 9, ナイスアランデル,---,吉田豊, 1.4, 39, -40,   8,13,113.8, ⑪⑫,13, 8,Ｌコラデピｰノ, 58,大庭和, 3.2, 41, -10, -19,13,143.0,⑬⑬⑩,13,14,Ｃキタノリュｰオｰ, 85,北村宏, 1.6, 71,   6,  -3, 2,  6.3, ⑧⑩
14,12,Ｎアプロｰチライト, 34,福永祐, 5.0, 30, -10, -26,11,121.1, ⑪⑨,14,17, コスモリアル,---,津村明, 1.4, 35, -36,   0,18,232.2, ⑩⑥,14,14,Ｍショウナンサヴァン, 58,福永祐, 3.6, 37, -11, -22,12,138.9,⑫⑫⑭,14,15,Ｏブｰケフレグランス, 72,福永祐, 1.8, 68,* 12, -16,12, 71.1, ③②
15, 5,Ｐデルマカｰリｰ, 28,藤岡佑, 5.3, 28, -11, -27,15,216.9, ⑨⑪,15,13, ブライトネスブルｰ,---,伊藤工, 1.9, 33, -41,   3,16,168.6, ⑫⑬,,,,,,,,,,,,,,,,,,,,,,,,
16,13,Ｍリズムボｰイ, 37,田中博,11.3,-19, -30, -56,16,217.6, ⑯⑯,16,18, スマイルカナチャン,---,武士沢, 2.2, 34, -45,   7,14,131.5, ⑱⑱,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17,12, エステｰロｰズ,---,小牧太, 2.4, 26, -43,  -3,15,140.6, ⑭⑮,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18, 1, ケイオｰステップ,---,柴山雄, 2.6, 26, -45,   0, 9, 50.6, ⑰⑰,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-21 ﾚｰｽｱｶﾞﾘ指数:+15 馬場:重(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:稍重(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:稍重(指数:2),,,,,,,,,,,
"単勝:2,210円 複勝:04=770円 03=700円 09=220円 枠連:28,270円",,,,,,,,,,,,"単勝:1,860円 複勝:10=340円 16=210円 05=340円 枠連:4,690円",,,,,,,,,,,,"単勝:890円 複勝:04=240円 02=330円 06=160円 枠連:1,740円",,,,,,,,,,,,単勝:270円 複勝:12=150円 02=290円 09=230円 枠連:590円,,,,,,,,,,,
"馬連:25,340円 ワイド:03-04=5,620円 04-09=2,080円 03-09=2,000円",,,,,,,,,,,,"馬連:6,040円 ワイド:10-16=1,180円 05-10=1,610円 10-14=12,820円",,,,,,,,,,,,"馬連:4,740円 ワイド:02-04=1,250円 04-06=570円 02-06=1,030円",,,,,,,,,,,,"馬連:1,890円 ワイド:02-12=790円 09-12=580円 02-09=1,060円",,,,,,,,,,,
"馬単:42,360円 3連複:35,000円 3連単:263,940円",,,,,,,,,,,,"馬単:13,610円 3連複:10,890円 3連単:78,920円",,,,,,,,,,,,"馬単:10,090円 3連複:5,520円 3連単:49,240円",,,,,,,,,,,,"馬単:2,680円 3連複:4,100円 3連単:19,920円",,,,,,,,,,,
■ 2R  芝1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 5R  ダ1600m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 8R  芝1400m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-9,,,,,■11R  芝2000m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,くるみ賞,,,,,,,,,,,,天皇賞(秋) ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
