10年 7月24日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 7月24日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝1200m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,北九州短距離ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12,10,Ｌコウトクリュウ, 23,酒井学, 2.5, 23, -23, -13,11,111.4, ⑬⑬,12, 9, シゲルカンリカン,---,渡辺薫, 3.0,  8, -27, -33,11,157.8, ⑩⑩,12, 1,Ｅサダムマンテン, 72,浜中俊, 2.0, 53,   5,  -6, 4,  6.9,⑩⑨⑪,12,18,Ｂテｰオｰギャング, 81,佐藤哲, 1.5, 66,* 11,  -9, 9, 32.4, ①①
13, 4,Ｊフェアギャンブラｰ, 30,国分恭, 3.9,  6,  -6, -37, 5, 10.0, ⑩⑩,13, 5, ジョｰルｰチェ,---,藤岡康, 3.3,  7, -64,* -2, 9, 36.9, ⑮⑮,13, 8,Ｆミリアム, 71,ホワイ, 3.0, 46,   6, -15, 5,  7.9,④⑥⑩,13,12,Ｒセレスダイナミック, 56,松田大, 1.8, 63, -11,   9,17,414.6, ⑯⑯
,,,,,,,,,,,,14, 2, カシノケｰプ,---,鈴来直, 3.5, -1, -42, -25,14,245.8, ⑫⑫,,,,,,,,,,,,,14,11,Ｆドリｰムフォワｰド, 77,川島信, 1.8, 64,   0,  -2, 6, 16.6, ⑧⑨
,,,,,,,,,,,,15,13, フェスタワｰルド,---,太宰啓, 3.6,  1, -59, -11,10,134.2, ⑭⑭,,,,,,,,,,,,,15, 9,Ｑイナズマアマリリス, 66,金折知, 2.2, 58,   0,  -7,12, 94.6, ⑦⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,17,Ｊラッキｰバニヤン, 76,岩田康, 2.2, 58,   0,  -7, 5, 15.7, ⑨⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17, 7,Ｍナンゴクプラネット, 72,中村将, 2.3, 56, -12,   3,16,164.1, ⑮⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-5),,,,,,,,,,,
"単勝:1,190円 複勝:02=360円 09=150円 01=740円 枠連:1,390円",,,,,,,,,,,,"単勝:300円 複勝:07=150円 12=510円 04=530円 枠連:2,840円",,,,,,,,,,,,"単勝:7,800円 複勝:03=1,360円 07=370円 09=220円 枠連:21,210円",,,,,,,,,,,,単勝:480円 複勝:03=160円 04=110円 05=400円 枠連:470円,,,,,,,,,,,
"馬連:2,520円 ワイド:02-09=1,110円 01-02=2,690円 01-09=2,110円",,,,,,,,,,,,"馬連:3,260円 ワイド:07-12=1,060円 04-07=870円 04-12=3,120円",,,,,,,,,,,,"馬連:43,890円 ワイド:03-07=10,080円 03-09=4,160円 07-09=820円",,,,,,,,,,,,"馬連:480円 ワイド:03-04=220円 03-05=1,390円 04-05=750円",,,,,,,,,,,
"馬単:6,140円 3連複:18,300円 3連単:110,020円",,,,,,,,,,,,"馬単:4,640円 3連複:11,950円 3連単:50,160円",,,,,,,,,,,,"馬単:108,910円 3連複:61,840円 3連単:731,680円",,,,,,,,,,,,"馬単:1,120円 3連複:2,750円 3連単:12,780円",,,,,,,,,,,
■ 2R  芝2600m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 5R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 8R  芝3390m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■11R  ダ1700m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,小倉ｻﾏｰｼﾞｬﾝﾌﾟ,,,,,,,,,,,,天草特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ａシルクランスロット, 71,川田将,, 81,  -4,* 28, 1,  4.1,⑨⑨⑦, 1, 8,Ｆキュルミナン, 61,藤岡康,, 65,*  0,   1, 6, 17.2,③③③, 1, 4, ランヘランバ,,五十嵐,,,,, 2,  3.6,④②②, 1,14,Ｂミッキｰバラｰド, 83,ホワイ,, 79,   0,* 22, 1,  2.6,⑤⑥②
 2,10,Ｃメイショウオスパｰ, 67,岩崎祐, 0.1, 75,  -3,* 20, 8, 12.7,⑩⑤④, 2, 2,Ｂサクセスシェｰバｰ, 68,飯田祐, 0.2, 64,  -7,* 11, 3,  7.2,⑯⑯⑪, 2, 9, バトルブレｰヴ,,西谷誠,220.0,,,, 3,  4.5,⑤③③, 2, 3,Ｌレッドサｰパス, 75,小牧太, 0.4, 76,  -2,* 21, 4,  8.2,⑪⑨⑧
 3, 5,Ｌリバｰワンダｰ, 26,藤岡康, 0.8, 71,  -4,  16,11, 92.6,⑤⑦⑧, 3, 7,Ａエｰシンポルックス, 70,小牧太, 0.4, 60,   0,   0, 2,  4.4,⑮⑥⑤, 3, 8, コウエイトライ,,小坂忠,221.4,,,, 1,  3.5,①①①, 3,15,Ｄコウユｰヒｰロｰ, 80,国分恭, 0.4, 77,*  1,  17, 9, 39.5,⑫③⑤
 4, 4,Ｈメジロチェスタｰ, 62,高橋智, 1.1, 69,  -5,  15, 9, 18.3,⑫⑪⑥, 4,13,Ｃマジンプロスパｰ, 64,川田将, 0.5, 62,*  0,  -2, 1,  1.8,⑤④④, 4, 1, トウカイポリシｰ,,北沢伸,221.9,,,, 4,  6.7,⑩⑥⑥, 4,13,Ｅメガロスバンダム, 79,佐藤哲, 0.8, 75,  -2,  18, 2,  4.4,⑦⑧⑦
 5, 2,Ｆテラノステルス, 64,松田大, 1.3, 63,* -1,   0,10, 25.7,④②②, 5, 4,Ｇレジェンドヒｰロｰ, 60,幸英明, 0.7, 61,  -2,   1, 8, 64.3,⑫⑪⑩, 5, 7, ハッピｰヘイロｰ,,高田潤,222.3,,,, 8, 26.1,③⑤④, 5, 9,Ｍアキノフライ, 75,川須栄, 0.9, 73,*  1,  14,13, 55.0,②④④
 6, 6,Ｉクラサヴィカ, 48,福永祐, 1.5, 59,* -2,  -5, 7, 11.1,①①①, 6, 6,Ｅメイショウキルタｰ, 62,北村友, 1.2, 56,*  1, -10, 5, 11.5,②②②, 6, 5, スプリングカエサル,,白浜雄,222.4,,,, 7, 20.8,⑧④⑤, 6, 4,Ｇビヨンドマックス, 79,北村友, 1.0, 74,  -2,  17, 5, 11.7,⑥⑩⑩
 7,11,Ｇモｰレツ, 62,国分恭, 1.7, 58,* -2,  -6, 4,  6.9,⑦③③, 7, 1,Ｄディｰプハント, 62,岩田康, 1.3, 57,  -1,  -7, 4, 10.2,⑬⑨⑦, 7,14, パルティアシチｰ,,岩崎祐,222.6,,,, 6, 17.4,⑨⑧⑦, 7,10,Ｈトップオブザロック, 78,太宰啓, 1.0, 73,  -3,  20, 7, 33.1,⑩⑬⑬
 8, 8,Ｄトライアンフウィル, 67,浜中俊, 1.7, 59,  -3,  -3, 5,  7.8,⑧⑥⑨, 8,15,Ｉレマン, 55,鮫島良, 1.7, 55,  -1,  -9,15,416.2,⑨⑧⑥, 8, 2, ゴルデンシュライン,,高野容,223.2,,,,11, 67.5,⑭⑪⑩, 8,16,Ｉファルネｰゼ, 78,浜中俊, 1.0, 74,  -2,  19, 6, 16.7,⑨⑫⑪
 9,12,Ｂカネトシジェラｰチ, 69,太宰啓, 1.8, 57,  -3,  -5, 3,  5.6,②④⑤, 9, 5,Ｎメイショウメドｰラ, 47,川須栄, 1.9, 51,  -2, -10,11,100.7,⑥⑩⑨, 9,11, マッキｰガリウム,,佐久間,224.0,,,,13, 96.7,⑪⑨⑧, 9, 1,Ａナムラフュｰチャｰ, 84,藤岡康, 1.2, 71,*  2,  10, 3,  5.3,⑬①①
10, 3,Ｅスリｰピｰクス, 64,川島信, 1.9, 59,  -4,  -1, 2,  5.2,⑪⑧⑩,10, 3,Ｋスｰサンハリケｰン, 53,国分恭, 2.0, 51,*  1, -17, 7, 36.9,①①①,10, 6, カブリオｰル,,今村康,226.8,,,,12, 90.4,②⑦⑨,10, 2,Ｊウォｰタｰダッシュ, 77,渡辺薫, 1.3, 71,   0,  12,11, 48.5,③⑦⑥
11, 1,Ｊテンシノウエルカム, 44,中村将, 2.4, 54,  -4,  -6,12,200.2,⑥⑩⑪,11,12,Ｌパリスブルｰ, 51,田中克, 2.2, 50,  -3, -10,12,247.2,⑪⑫⑬,11,10, ワンダｰルストラｰ,,林満明,226.8,,,,10, 35.1,⑥⑫⑫,11,11,Ｎビッグロｰズ, 72,高倉稜, 1.3, 70,   0,  11,14, 77.9,④⑤⑨
12, 7,Ｋミッキｰハｰベスト, 35,ホワイ,14.0,-61,  -7, ---, 6, 10.8,③⑫⑫,12,11,Ｈシｰセラピス, 59,大下智, 2.4, 47,  -1, -16,16,437.6,④⑦⑫,12, 3, ゴｰルデンカイザｰ,,南井大,227.8,,,,14,125.1,⑬⑩⑪,12, 6,Ｏスリｰサンビｰム, 66,松山弘, 1.3, 70,*  1,  10,12, 52.7,①②③
,,,,,,,,,,,,13, 9,Ｊフタタビ, 54,高田潤, 2.8, 45,  -4, -14,14,405.7,⑩⑬⑭,13,12, ドリｰムガｰルズ,,中村将,232.2,,,, 5, 14.3,⑫⑬⑬,13,12,Ｃキタノアラワシ, 81,岩田康, 1.4, 72,  -2,  15, 8, 33.7,⑧⑪⑫
,,,,,,,,,,,,14,10,Ｐシルバｰライニング, 36,田中健, 2.8, 48,  -5, -13,13,275.4,⑭⑭⑮,,,,,,,,,,,,,14, 8,Ｋメイショウラスタｰ, 76,石橋守, 1.4, 74,  -4,  19,16,310.4,⑮⑭⑭
,,,,,,,,,,,,15,14,Ｏアオラギ, 44,ホワイ, 2.8, 45,  -6, -12,10, 72.0,⑧⑮⑯,,,,,,,,,,,,,15, 7,Ｐアピｰル, 60,酒井学, 1.9, 70,  -5,  16,15,114.4,⑭⑮⑯
,,,,,,,,,,,,16,16,Ｍウォｰタｰリズム, 48,福永祐, 3.0, 42,   0, -23, 9, 66.1,⑦⑤⑧,,,,,,,,,,,,,16, 5,Ｆビｰドラスティック, 79,幸英明, 2.0, 68,  -5,  16,10, 41.9,⑯⑯⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-2),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:-2),,,,,,,,,,,
