10年10月 3日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年10月 3日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 4R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 7R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■10R  芝1200m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,すずらん賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｌウマテック, 27,西村太,, 51,  -1,* -8, 9, 45.1,⑩⑨⑨, 1, 3,Ｃフィｰルドチャペル, 74,秋山真,, 77,   1,* 12, 2,  4.5, ③③, 1,12,Ｂアポカリプス, 72,柴山雄,, 70,* -3,  18, 1,  1.8,④③③, 1,11,Ｃダブルオｰセブン, 69,服部茂,, 76,   1,   7, 4,  8.7, ⑥③
 2,10,Ｂエラット, 57,三浦皇, 0.1, 50,   0,*-11, 2,  4.7,⑦⑧④, 2,11,Ａエイコオミリオン, 77,中舘英, 0.0, 78,*  4,  11, 1,  3.1, ①①, 2, 7,Ｅモルフェキング, 68,武英智, 0.0, 71,* -2,  17,11, 87.6,②②②, 2, 6,Ｂスギノエンデバｰ, 70,秋山真, 0.2, 75,  -1,   8, 2,  4.2, ⑧⑥
 3, 7,Ｆアベマリア, 47,柴山雄, 0.6, 46,  -2,*-12,11, 63.3,⑪⑪⑤, 3,12,Ｆファｰストメジャｰ, 67,丸山元, 0.2, 76,*  4,   9, 7, 20.0, ②②, 3, 3,Ａイｰサンジャンパｰ, 73,吉田隼, 0.2, 72,  -5,* 21, 3,  6.7,⑧⑧⑦, 3, 4,Ｄルリニガナ, 68,丸山元, 0.4, 71,*  5,  -2, 1,  2.9, ①①
 4,13,Ａレッフェルン, 59,吉田隼, 0.7, 47,   1, -17, 1,  3.8,⑧⑦②, 4, 1,Ｄクｰルフォｰマ, 73,丸田恭, 0.3, 73,  -8,* 16, 3,  4.8, ⑧⑧, 4, 9,Ｄディアブラスト, 68,丸田恭, 0.3, 71,  -6,* 22, 2,  5.7,⑨⑨⑥, 4,12, カネマサコンコルド,---,宮崎光, 0.5, 70,  -5,   7, 7, 17.5, ⑨⑧
 5, 4,Ｈアンシャンタン, 41,丸山元, 0.7, 46,*  2, -19, 4,  6.2,④④⑧, 5, 5,Ｂキュｰバンエイト, 74,斉藤正, 0.4, 74,   0,  10, 4,  5.2, ④④, 5, 4,Ｈアビリティック, 59,黛弘人, 1.0, 65,  -3,  11,13,108.9,⑤⑤④, 5, 7,Ｈテイエムジョニクロ, 60,柴山雄, 0.5, 70,  -8,* 10, 8, 23.3, ⑩⑨
 6, 9,Ｋトｰセンタｰボ, 30,丸田恭, 1.0, 44,  -1, -17, 8, 35.9,⑨⑩⑩, 6, 8,Ｉダンジグマスタｰ, 65,桑村真, 0.6, 71,  -5,  12,11,117.6, ⑦⑦, 6,13,Ｇシルクデイブレイク, 62,丹内祐, 1.0, 65,  -4,  12, 4,  7.3,⑦⑦⑤, 6, 9, トｰセンインディ,---,山口竜, 0.9, 65, -19,* 16,12,115.1, ⑬⑬
 7, 6,Ｄタマモエスプレッソ, 54,中舘英, 1.1, 42,*  2, -23, 5,  6.4,③③①, 7, 6,Ｅリバｰサルブロｰ, 71,古川吉, 0.7, 71,   0,   7, 8, 25.0, ⑤⑤, 7, 6,Ｌメイショウユリシス, 56,武幸四, 1.1, 66,* -2,   7, 6, 15.3,①①①, 7,10, マｰベラスタイム,---,桑村真, 1.1, 62, -13,   7,11, 90.7, ⑫⑫
 8,11,Ｃライヴマジック, 55,武幸四, 1.4, 45,   1, -23, 7, 15.0,⑤⑥⑦, 8, 4,Ｇスコッツブラフ, 66,上村洋, 1.2, 66,  -5,   6, 6, 12.1, ⑥⑥, 8, 5,Ｃメイケイソフィア, 70,小林徹, 1.4, 65,  -7,  14,10, 77.1,⑫⑬⑩, 8,13,Ｇノｰブルディｰド, 61,三浦皇, 1.2, 62,*  5, -12, 6,  9.7, ③②
