10年 8月 7日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 8月 7日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 7R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,12,12,Ｆピエナスカイ, 54,古川吉, 2.8, 39,  -3, -17, 3,  4.0, ⑥⑥,12, 3,Ｊツクバフｰジン, 66,横山典, 4.6, 26, -11, -22, 4,  8.3, ⑩⑫,12, 8,Ｍチュｰリングマシン, 56,柴山雄, 3.7, 48,   6, -21,12, 96.9,③④⑦
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,11,Ｈアドバンスペリｰ, 70,丸田恭, 5.0, 42,   3, -26,10, 22.4,⑦⑩⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-2),,,,,,,,,,,
"単勝:130円 複勝:11=110円 04=340円 10=1,280円 枠連:710円",,,,,,,,,,,,"単勝:250円 複勝:03=120円 04=400円 01=310円 枠連:2,600円",,,,,,,,,,,,単勝:270円 複勝:01=130円 10=190円 06=210円 枠連:670円,,,,,,,,,,,,"単勝:2,150円 複勝:01=680円 02=130円 06=500円 枠連:2,460円",,,,,,,,,,,
"馬連:760円 ワイド:04-11=390円 10-11=1,230円 04-10=6,900円",,,,,,,,,,,,"馬連:2,460円 ワイド:03-04=850円 01-03=470円 01-04=2,950円",,,,,,,,,,,,"馬連:1,000円 ワイド:01-10=350円 01-06=410円 06-10=570円",,,,,,,,,,,,"馬連:2,500円 ワイド:01-02=1,050円 01-06=4,940円 02-06=890円",,,,,,,,,,,
"馬単:1,010円 3連複:10,590円 3連単:28,540円",,,,,,,,,,,,"馬単:3,860円 3連複:7,610円 3連単:35,910円",,,,,,,,,,,,"馬単:1,610円 3連複:2,010円 3連単:8,690円",,,,,,,,,,,,"馬単:7,050円 3連複:11,240円 3連単:76,720円",,,,,,,,,,,
■ 2R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 5R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 8R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■11R  芝1200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,湯浜特別,,,,,,,,,,,,立待岬特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａノｰブルディｰド, 58,池添謙,, 54,*-11,* 10, 1,  2.2, ①①, 1, 2,Ａマイネルウィット, 69,大野拓,, 65,   2,*  2, 2,  3.4,⑥⑤⑤, 1, 2,Ａレインボｰダリア, 77,藤田伸,, 80,   5,*  7, 1,  2.3,④③③, 1, 5,Ｋメジロアリス, 73,黛弘人,, 81,*  0,  13,12, 37.4, ③③
 2, 6,Ｃクリスタルロック, 48,藤岡佑, 0.5, 49, -14,*  8, 5, 11.0, ③③, 2, 5,Ｅヨイチクロｰン, 64,丸田恭, 0.4, 64,   1,*  1, 7, 23.9,⑪⑧⑥, 2, 6,Ｆキングスデライト, 69,吉田隼, 0.2, 76,*  6,   1, 6, 24.1,⑪②②, 2,15,Ａミスクリアモン, 80,藤田伸, 0.0, 80,*  3,   9, 3,  4.7, ①①
 3, 7,Ｄアブラカタブラ, 47,大野拓, 0.6, 46,*-14,   5, 2,  3.8, ②②, 3, 7,Ｄサクラボｰルド, 64,池添謙, 0.7, 62,*  4,  -5, 1,  3.3,⑤③③, 3, 3,Ｃマシュケナｰダ, 75,藤岡佑, 0.3, 77,   4,*  6, 3,  4.4,⑤⑦⑥, 3, 6,Ｌカホマックス, 73,池添謙, 0.0, 80,*  1,  11, 1,  4.1, ②②
 4, 4,Ｅナムラオｰシャン, 43,藤田伸, 0.8, 43, -16,   5, 3,  4.8, ⑤④, 4, 4,Ｃタｰジマハル, 65,柴山雄, 0.7, 60,   2,  -4, 5,  9.6,④④④, 4, 8,Ｄニシノフェリｰチェ, 72,柴山雄, 0.5, 76,   4,   3, 7, 26.8,⑧⑧⑦, 4, 4,Ｃエンシャントアｰツ, 77,竹之下, 0.3, 77, -10,  18,10, 35.3, ⑧⑨
