10年 9月20日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 9月20日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:17,,,,,■ 4R  芝1400m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  ダ1400m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｴﾆﾌｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,12, 7, テイエムフブキオｰ,---,太宰啓, 2.8, 33, -16, -19,11,163.6, ⑫⑫,12,16,Ｍシゲルヤリガタケ, 57,酒井学, 2.6, 54,   3,  -9,14,147.5, ⑬⑮,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,13,14,Ｇメイショウタカチホ, 66,高橋亮, 2.9, 49,   5, -17, 9, 51.5, ⑨⑫,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,14, 4,Ｐミスズアムｰル, 49,安藤光, 2.9, 47,  -4,  -7,15,152.7, ⑯⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15, 5,Ｊケイティマイヒメ, 64,太宰啓, 3.0, 48,   2, -14,16,185.9, ⑭⑬,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16,10,Ｎマルタカボｰイス, 54,石橋守, 5.3, 31,  11, -44,13,139.5, ④⑧,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-2),,,,,,,,,,,
単勝:270円 複勝:11=130円 03=170円 08=350円 枠連:650円,,,,,,,,,,,,単勝:580円 複勝:09=230円 03=190円 04=510円 枠連:600円,,,,,,,,,,,,"単勝:390円 複勝:13=160円 08=220円 06=1,190円 枠連:900円",,,,,,,,,,,,単勝:130円 複勝:10=110円 11=160円 08=150円 枠連:440円,,,,,,,,,,,
"馬連:640円 ワイド:03-11=330円 08-11=740円 03-08=1,110円",,,,,,,,,,,,"馬連:2,060円 ワイド:03-09=670円 04-09=1,820円 03-04=1,370円",,,,,,,,,,,,"馬連:1,350円 ワイド:08-13=510円 06-13=3,800円 06-08=5,050円",,,,,,,,,,,,馬連:460円 ワイド:10-11=200円 08-10=180円 08-11=480円,,,,,,,,,,,
"馬単:1,140円 3連複:2,660円 3連単:9,000円",,,,,,,,,,,,"馬単:4,380円 3連複:10,240円 3連単:59,870円",,,,,,,,,,,,"馬単:2,830円 3連複:25,050円 3連単:137,820円",,,,,,,,,,,,"馬単:550円 3連複:580円 3連単:1,630円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 5R  ダ1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 8R  芝3140m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■11R  芝2000m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,阪神ｼﾞｬﾝﾌﾟｽﾃｰｸｽ,,,,,,,,,,,,美作特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ｂビップピュアレディ, 71,幸英明,, 71,   6,*  0, 3,  5.4,⑧⑧②, 1, 3,Ｂワンダｰプリマ, 74,田村太,, 78,*  3,* 13, 4,  8.6,②②②, 1, 7, コウエイトライ,,小坂忠,,,,, 1,  1.9,①①①, 1, 8,Ｃデンコウオクトパス, 77,高倉稜,, 85,  -2,* 20, 4,  7.6,⑨⑨⑧
 2,12,Ｃサダムセシボン, 69,安藤勝, 0.1, 66,   5,  -1, 4,  7.4,⑤④④, 2,11,Ｋベリｰフ, 60,浜中俊, 0.7, 73,   1,  10, 6, 16.3,⑦⑥⑥, 2, 8, ドングラシアス,,高田潤,206.7,,,, 8, 30.3,④④④, 2, 6,Ａラインドリｰム, 81,和田竜, 0.0, 85,  -1,* 17, 1,  2.6,⑧⑥④
 3, 4,Ｈイノセントリｰサム, 58,川田将, 0.2, 68,   5,  -1, 7, 32.6,④⑤⑤, 3, 7,Ｃカスガ, 73,佐藤哲, 0.9, 74,   0,* 11, 5, 11.5,⑧⑨⑩, 3, 5, タマモサプライズ,,林満明,207.1,,,, 9, 30.8,②③③, 3, 9,Ｂスマｰトジェネシス, 77,武豊  , 0.2, 80,*  0,  13, 2,  2.7,⑤③③
