10年 7月 4日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 7月 4日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-10,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1600m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,米子ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12,15,Ｌメルシｰフリｰト, 38,赤木高, 2.0, 40, -12,  -6,13,130.3, ⑮⑮,12,11, ラバンビｰナ,---,川田将, 1.5, 34, -37,  -3, 8, 32.3, ⑪⑪,12,14,Ｌアゲシオ, 61,村田一, 1.7, 59,*  4, -11,15,162.1,②②②,12, 4,Ｑマルブツイｰスタｰ, 74,村田一, 1.0, 74,  14, -14,18,146.3, ⑭⑯
13, 2,Ｎメイショウニジイロ, 24,難波剛, 2.4, 37,  -5, -16,15,201.3, ⑪⑩,13, 9, スプリングディナン,---,太宰啓, 1.7, 32, -41,  -2,13,206.5, ⑬⑬,13,10,Ｎテイエムハエゲナ, 55,佐久間, 2.9, 53,   3, -18,14,138.5,⑤⑥⑧,13,18,Ｄダイシンプラン, 87,鮫島良, 1.1, 73,   8,* -6,12, 26.7, ⑱⑱
14,14,Ｇフラワｰストｰム, 51,岩田康, 2.4, 40,*  4, -23, 2,  5.8, ①①,,,,,,,,,,,,,14,15,Ｋディビデンド, 64,川須栄, 2.9, 52,   2, -19,10, 47.8,⑦④⑩,14,17,Ｋショウナンラノビア, 82,岩田康, 1.2, 72,  18, -25, 4,  9.8, ⑧⑪
15,11, アマノブラウニイｰ,---,高倉稜, 3.5, 26, -22, -10,11, 66.2, ⑯⑯,,,,,,,,,,,,,15, 7,Ｏマキハタスプｰン, 53,高井彰, 4.9, 42,  -9, -14,13,113.1,⑮⑮⑮,15, 9,Ｇマストビｰトゥルｰ, 84,松山弘, 1.4, 68,  22, -35,15, 67.7, ④⑤
16, 6,Ｏエｰシンマンタｰナ, 18,松山弘, 4.8, 15,  -2, -41, 9, 41.0, ⑤⑨,,,,,,,,,,,,,,,,,,,,,,,,,16, 3,Ｈオｰスミダイドウ, 84,浜中俊, 1.5, 67,  23, -39, 5, 10.2, ③③
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,10,Ｎグッドキララ, 77,川島信, 1.5, 67,  15, -25,14, 53.6, ⑫⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18, 7,Ｐダンツキッスイ, 75,石橋守, 4.1, 45,* 33, -95,16, 90.7, ①①
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:86 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-20 馬場:良(指数:-1),,,,,,,,,,,
"単勝:1,330円 複勝:09=330円 07=130円 04=150円 枠連:770円",,,,,,,,,,,,"単勝:2,230円 複勝:12=390円 07=110円 13=480円 枠連:680円",,,,,,,,,,,,"単勝:900円 複勝:13=250円 06=210円 01=1,880円 枠連:1,050円",,,,,,,,,,,,"単勝:1,470円 複勝:13=420円 14=170円 12=260円 枠連:1,560円",,,,,,,,,,,
"馬連:1,460円 ワイド:07-09=600円 04-09=970円 04-07=270円",,,,,,,,,,,,"馬連:1,260円 ワイド:07-12=660円 12-13=3,070円 07-13=830円",,,,,,,,,,,,"馬連:1,990円 ワイド:06-13=720円 01-13=7,300円 01-06=4,610円",,,,,,,,,,,,"馬連:2,700円 ワイド:13-14=1,020円 12-13=1,620円 12-14=550円",,,,,,,,,,,
