10年 4月10日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 4月10日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-8,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 7R  ダ1700m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1800m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ひめさゆり賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｃボｰドメンバｰ, 59,宮崎北,, 53,  -7,*  3, 3,  6.1, ⑦⑦, 1, 4,Ａボンジュｰルキセキ, 76,丸山元,, 61,*  4,*  6, 1,  1.6,①①①, 1, 7,Ａメイショウコレット, 73,田中健,, 64,*  2,*  4, 2,  3.8,④③④, 1,10,Ｄバイタルスタイル, 66,太宰啓,, 70,*  2,   2, 8, 26.3,①①①
 2,11,Ｂミクル, 63,丸山元, 0.0, 54,* -1,   0, 1,  1.7, ①①, 2, 8,Ｆワンダｰバライル, 57,野元昭, 0.8, 55,*  4,   1,10, 70.1,②②②, 2, 8,Ｄフレンチドｰル, 70,丸山元, 0.5, 60,   0,*  4, 1,  3.1,⑩⑩⑪, 2, 5,Ｆスマｰトジェネシス, 62,中舘英, 0.1, 71,*  0,*  5, 4,  9.8,⑤⑥④
 3, 3,Ｄネイチャｰゼウス, 57,西田雄, 0.5, 48,  -7,  -1, 5, 17.5, ⑥③, 3, 6,Ｅテイクザファントム, 57,田辺裕, 1.2, 53,*  3,  -1, 4, 13.4,④④③, 3, 2,Ｅアッシュアッパｰ, 68,的場勇, 0.5, 57,   2,   1, 8, 62.9,③②①, 3,13,Ｌサクラテンペスト, 58,田中博, 0.1, 71,*  0,*  5, 6, 15.6,⑦⑦⑧
 4, 7,Ｇフジスペシャル, 47,上村洋, 0.7, 48, -26,* 10, 7, 45.9, ⑩⑩, 4, 7, トウショウロジック,---,藤岡康, 1.3, 53,   0,   1, 5, 20.8,⑬⑧⑨, 4, 4,Ｍカインドオブブルｰ, 54,大野拓, 0.6, 56,   0,   1, 6, 33.4,⑤⑦③, 4, 3,Ａダイワアセット, 76,的場勇, 0.3, 67,  -1,*  5, 1,  2.1,⑪⑨⑩
 5,10,Ａメイショウヴァルナ, 66,太宰啓, 0.8, 47,  -4,  -5, 2,  3.7, ④④, 5,10,Ｃコｰドゼット, 58,吉田隼, 1.3, 53,   2,  -1, 2,  4.6,⑨⑥⑥, 5,11,Ｇシルキｰチュチュ, 64,小林淳, 0.9, 57,   0,   2,12,140.1,⑫⑫⑧, 5, 9,Ｃハシルヨミテテ, 71,吉田隼, 0.4, 67,  -1,   4, 5, 14.4,⑨⑧⑦
 6, 5,Ｋスズカスパイカｰ, 26,古川吉, 1.0, 43,  -4,  -8, 9, 69.7, ②②, 6,11,Ｊラビットラヴソング, 52,国分優, 1.4, 51,   2,  -2, 7, 45.8,⑥⑤④, 6, 6,Ｏスイｰトバイカル, 46,小野寺, 1.0, 56,  -2,*  3, 7, 61.6,⑬⑬⑩, 6, 7,Ｉマイネルレイン, 60,丹内祐, 0.4, 66,  -1,   2, 9, 36.8,⑥④⑥
 7,12,Ｅグランデメディコ, 51,小野寺, 1.0, 43,  -6,  -7, 6, 37.1, ⑤⑥, 7, 2,Ｈサンワｰドネオ, 54,勝浦正, 1.5, 52,  -1,*  4, 6, 21.0,⑩⑩⑦, 7,15,Ｋメジロホリデイ, 60,高橋智, 1.1, 56,  -2,   3,10, 84.8,⑭⑭⑫, 7, 6,Ｇヤマニンシャスｰル, 61,古川吉, 0.5, 71,  -4,*  8, 7, 22.0,⑭⑭⑫
 8, 1,Ｊフリｰクタップ, 28,草野太, 2.0, 33, -16,  -8,10, 86.2, ⑧⑧, 8, 3,Ｂマルタｰズタイム, 60,的場勇, 1.6, 49,   1,  -1,11, 89.2,⑦⑦⑧, 8, 1,Ｊヴィッテリア, 62,黛弘人, 1.1, 58,   2,  -1,14,227.5,⑪⑧⑨, 8, 8,Ｂクレバｰロッシｰ, 73,丸山元, 1.0, 60,*  0,  -8, 2,  4.4,④⑤③
 9, 4,Ｉシゲルマサムネ, 37,安藤光, 2.2, 28, -25,  -5,12,158.9, ⑨⑨, 9, 1,Ｄアテンボｰイ, 58,西田雄, 2.4, 47,  -3,  -1, 3,  8.7,⑮⑮⑭, 9,10,Ｈラヴソｰスウィｰト, 62,古川吉, 1.2, 54,*  2,  -6, 3,  5.0,⑥⑤⑤, 9, 1,Ｊネバｰクイン, 59,武英智, 1.4, 56,  -2,  -9,13,115.0,⑧⑪⑨
10, 8,Ｈキスオブロｰズ, 45,吉田隼, 2.3, 31,  -4, -19, 4, 16.2, ③⑤,10,15,Ｋタガノプロスペル, 51,田中健, 2.5, 47,  -2,  -3,13,307.7,⑧⑬⑫,10, 5,Ｌベルモントダイヤ, 55,菅原隆, 1.2, 52,*  3,  -8,13,165.0,①①②,10, 2,Ｎフジペガサス, 48,勝浦正, 1.6, 55,  -1, -14,14,207.8,③③⑤
11, 9, アニヴェルミラクル,---,菅原隆, 2.4, 27, -31,  -3,11,141.7, ⑪⑪,11,14,Ｉプロジェクトブルｰ, 54,平野優, 2.5, 45,  -2,  -3,12,137.1,⑪⑭⑬,11,12,Ｆモアスマイル, 68,吉田隼, 1.3, 54,   1,  -3, 4,  5.6,⑦⑨⑭,11,14,Ｅログ, 66,北村浩, 1.7, 53,  -1, -15, 3,  7.1,⑩⑩⑪
12, 2,Ｆコパノヒコサチ, 48,藤岡康, 4.0, 14, -50,  -4, 8, 57.6, ⑫⑫,12, 5, フレｰヴァリスト,---,田中博, 2.6, 44,   0,  -9, 8, 49.2,⑭⑨⑪,12,13,Ｂティフィン, 71,太宰啓, 1.4, 54,   2,  -6, 5,  5.9,⑨⑥⑥,12,11,Ｋヤマイチジャパン, 58,田嶋翔, 1.9, 51,  -4, -13,11, 79.5,⑫⑬⑭
,,,,,,,,,,,,13, 9,Ｍタｰンアラウンド, 30,田嶋翔, 2.8, 41,*  3, -15,14,343.8,③③⑤,13, 3,Ｉファルファラ, 62,勝浦正, 1.6, 52,  -1,  -3,11,101.5,⑧⑪⑦,13, 4,Ｈシルクコスモス, 61,上村洋, 2.1, 50,  -2, -19,10, 57.8,⑬⑫⑬
,,,,,,,,,,,,14,13,Ｌケイアイラプタｰ, 40,丹内祐, 3.4, 41,  -1,  -9,15,379.8,⑫⑪⑩,14,14,Ｎラヴミｰ, 48,荻野琢, 4.8, 32,*  3, -36, 9, 69.5,②④⑬,14,12,Ｍプリティガｰル, 57,芹沢純, 2.4, 45,*  0, -29,12, 90.5,②②②
,,,,,,,,,,,,15,12,Ｇコウガ, 55,小野寺, 4.6, 30,  -2, -21, 9, 62.7,⑤⑫⑮,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-2),,,,,,,,,,,
単勝:610円 複勝:06=190円 11=110円 03=280円 枠連:480円,,,,,,,,,,,,"単勝:160円 複勝:04=110円 08=530円 06=250円 枠連:2,570円",,,,,,,,,,,,単勝:380円 複勝:07=160円 08=150円 02=780円 枠連:650円,,,,,,,,,,,,"単勝:2,630円 複勝:10=740円 05=360円 13=520円 枠連:2,820円",,,,,,,,,,,
馬連:530円 ワイド:06-11=240円 03-06=780円 03-11=450円,,,,,,,,,,,,"馬連:2,440円 ワイド:04-08=640円 04-06=390円 06-08=2,110円",,,,,,,,,,,,"馬連:700円 ワイド:07-08=300円 02-07=1,580円 02-08=2,110円",,,,,,,,,,,,"馬連:11,950円 ワイド:05-10=2,660円 10-13=3,820円 05-13=1,950円",,,,,,,,,,,
"馬単:1,390円 3連複:2,070円 3連単:12,100円",,,,,,,,,,,,"馬単:3,420円 3連複:5,970円 3連単:24,150円",,,,,,,,,,,,"馬単:1,520円 3連複:6,720円 3連単:27,590円",,,,,,,,,,,,"馬単:26,500円 3連複:41,560円 3連単:333,250円",,,,,,,,,,,
■ 2R  芝1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 5R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 8R  芝2600m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■11R  芝1200m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,吾妻小富士賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａメイショウサバト, 65,田嶋翔,, 64,  -2,  -2, 2,  3.4, ⑤⑤, 1, 3,Ｂコスモラピュタ, 59,大野拓,, 69,*  3,*  1, 1,  1.8,①①①, 1, 9,Ａジョイザラス, 71,吉田隼,, 73,   6,*  0, 4,  7.0,⑮⑨⑦, 1, 2,Ａヒカルジョディｰ, 84,勝浦正,, 81,  -5,* 16, 3,  6.3, ⑨⑦
 2, 4,Ｃプリンシプルレディ, 57,吉田隼, 0.2, 62,  -7,   1, 3,  6.9, ⑥⑥, 2, 4,Ｏフェアリｰナカヤマ, 36,上村洋, 0.1, 69,  -1,*  9,11, 56.7,⑥⑤④, 2, 6,Ｄヒビケジンダイコ, 68,勝浦正, 0.2, 71,*  8,* -7, 1,  3.4,⑪⑤③, 2, 3,Ｂマルサンテクニカル, 79,藤岡康, 0.1, 79,  -7,* 17,13, 64.5, ⑫⑨
 3, 3,Ｇベルエｰル, 50,太宰啓, 0.4, 59, -13,*  3, 6, 12.0, ⑩⑦, 3,14,Ｅラガｰアンバｰ, 49,宮崎北, 0.6, 63,  -3,*  5, 6, 16.7,⑭⑩⑦, 3, 1,Ｇエイデンダンス, 66,田辺裕, 0.4, 67,*  8, -11, 6, 10.4,④②④, 3, 7,Ｊハリソンバロｰズ, 72,古川吉, 0.5, 74,  -2,   7, 6, 11.9, ⑤④
