10年11月20日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年11月20日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝2910m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1400m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宝ｹ池特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ａトｰホウジャパン, 61,太宰啓,, 63,  -8,* 12, 2,  3.6, ⑨⑦, 1, 6, デアモント,,小坂忠,,,,,13, 84.9,②②①, 1, 1,Ｋタガノロックオン, 55,川田将,, 71,  -1,   7,10,110.0, ⑨⑦, 1, 8,Ｅテイラｰバｰトン, 75,デムｰ,, 83,  -4,* 15, 1,  2.5, ⑧⑧
 2, 4,Ｃニイハオジュウクン, 59,柴原央, 0.0, 63,* -3,   6, 5,  9.6, ①①, 2, 1, ノワｰルシチｰ,,山本康,198.4,,,,10, 52.5,⑥⑥⑥, 2,13, シｰクレットベｰス,---,吉村智, 0.0, 74,   6,  -1,12,254.0, ⑤⑤, 2, 3,Ｋマイネルカリバｰン, 70,和田竜, 0.2, 81,  -3,  11, 3,  5.0, ⑦⑦
 3,10,Ｂスｰサングリｰン, 60,和田竜, 0.2, 62,* -5,   5, 3,  3.8, ②②, 3, 4, オｰプンセサミ,,中村将,198.6,,,, 2,  3.0,⑧⑦⑦, 3, 7,Ｆオウエイバスタｰ, 62,岩田康, 0.0, 70,  -6,* 14, 6, 15.3, ⑫⑫, 3,12,Ｆサワノパンサｰ, 74,福永祐, 0.3, 79,  -2,   8, 2,  4.1, ⑤⑤
 4, 9,Ｊシゲルトウドリ, 37,酒井学, 1.2, 54,  -7,   0, 4,  9.1, ⑥④, 4, 8, ヒシカツヒトリタビ,,林満明,198.7,,,,11, 56.6,③③④, 4, 9,Ｃゼフィランサス, 65,柴原央, 0.1, 70,  -1,   6, 3,  6.0, ⑪⑩, 4, 9,Ｉメイショウバレｰヌ, 73,藤岡佑, 0.3, 82,  -8,* 18,12,172.0, ⑬⑬
 5, 2,Ｅドリｰムボルト, 54,岩田康, 1.3, 53,  -6,  -3, 1,  3.1, ③③, 5, 2, キシリトｰル,,高野容,198.9,,,, 6, 19.9,⑤④③, 5, 5,Ａアルティシムス, 69,秋山真, 0.1, 70,  -2,   7, 1,  2.2, ⑩⑪, 5, 2,Ｊピｰスピｰス, 71,川田将, 0.3, 81,  -5,* 14, 8, 25.1, ⑩⑩
 6, 1,Ｆボｰルドキング, 48,北村友, 1.4, 52,  -8,   0, 9, 55.7, ⑦⑧, 6, 7, ピサロナイト,,金折知,199.1,,,,12, 66.3,⑦⑨⑨, 6,12,Ｇバラｰドソング, 62,高倉稜, 0.4, 67,   3,  -3, 8, 33.9, ⑧⑥, 6, 5,Ｇニシノモレッタ, 74,浜中俊, 0.6, 74,  -2,   4, 7, 18.6, ③④
 7,11,Ｇマギｰメイ, 46,野元昭, 1.5, 53, -10,   3,11,293.1, ⑩⑪, 7,10, メイショウブソン,,岩崎祐,199.1,,,, 3,  5.6,④⑤⑤, 7,10,Ｂサンライズポパイ, 65,松山弘, 0.5, 65,   0,  -2, 7, 21.6, ⑦⑨, 7, 4,Ａグッドルッキング, 77,太宰啓, 0.7, 74,  -3,   5, 5, 11.5, ⑥⑥
 8, 3,Ｈベンジャミン, 46,松山弘, 1.6, 51,  -7,  -5, 6, 11.7, ④⑤, 8, 5, セレスクラブ,,北沢伸,200.4,,,, 4, 10.5,⑨⑧⑧, 8,11,Ｉエｰシンヒットマン, 59,藤岡佑, 0.5, 68,*  8, -11, 9, 62.3, ③③, 8, 7,Ｃメイショウジェイ, 76,飯田祐, 0.7, 74,*  0,   2, 9, 31.8, ④③
