10年10月 2日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年10月 2日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1500m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  ダ1000m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 7R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  ダ1700m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｵｰﾛﾗ特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｌインダクティ, 37,田中勝,, 60,  -9,*  9, 9, 19.4,⑭⑭⑬, 1, 6,Ａサクラサクラサクラ, 75,宮崎北,, 68,* 10,   2, 2,  3.3, ②②, 1, 4,Ｅブルｰモｰリシャス, 71,上村洋,, 75,   3,*  5, 1,  3.0,③④②, 1, 9,Ａキティ, 86,荻野琢,, 89,* 17,* 11, 1,  2.9,②②①
 2, 9,Ｅタマモトリトン, 52,勝浦正, 0.1, 57,  -3,  -3, 3,  9.8,⑥⑥④, 2,12,Ｃサクラナスカ, 72,吉田隼, 0.1, 69,* 11,   1, 1,  3.1, ③③, 2, 2,Ｇザバトルユｰジロｰ, 70,小林徹, 0.1, 75,   0,* 11, 4,  7.8,⑫⑬⑨, 2, 6,Ｋハギノリベラ, 77,秋山真, 0.3, 85,* 16,   9, 7, 20.6,⑧④③
 3, 7,Ｄカルマｰト, 53,北村宏, 0.2, 56,  -4,  -4, 6, 13.3,⑨⑦⑥, 3, 5,Ｄショウナンタイリン, 72,池添謙, 0.2, 66,   6,   3, 4,  7.3, ⑥⑥, 3, 5,Ａゴｰルドサクセス, 79,藤田伸, 0.2, 71,*  5,  -2, 2,  3.3,①①①, 3,11,Ｈメダリアビｰト, 79,丸山元, 1.0, 82,* 17,   3, 6, 16.8,④③②
 4, 5,Ｋエｰシンイグアス, 39,中舘英, 0.3, 56,*  1, -13, 5, 11.5,③②②, 4, 2,Ｂワンズガｰホッド, 73,秋山真, 0.2, 66,   8,   2, 3,  6.6, ⑤④, 4,13,Ｍカワキタライジン, 60,大野拓, 0.3, 71,*  4,  -1,14,233.9,④③④, 4, 5,Ｄマッドマックス, 81,四位洋, 1.5, 77,  13,   5, 4,  7.4,⑦⑦⑦
 5, 4,Ｉレナソニック, 43,西村太, 0.5, 53,  -1, -11,10, 22.6,⑤④③, 5, 8,Ｇキタサンハナミチ, 66,西村太, 0.2, 63, -11,* 13,11, 47.1, ⑫⑪, 5, 9,Ｆウインディｰリング, 71,吉田隼, 0.5, 68,   1,   1, 9, 38.3,⑧⑧⑦, 5,13,Ｌスノｰマジック, 75,宮崎北, 1.6, 77,  11,   7,12, 63.0,⑨⑨⑧
 6,10,Ｂアフィントン, 54,吉田隼, 0.5, 53,  -5,  -6, 4, 10.5,⑪⑧⑧, 6,10,Ｋデステニｰアロｰ, 58,竹之下, 0.3, 64,  -5,* 10,12,206.0, ⑩⑩, 6, 3,Ｄニシノフェリｰチェ, 72,柴山雄, 0.6, 68,   1,   1,12, 91.7,⑨⑩⑪, 6, 7,Ｊアストレｰション, 77,三浦皇, 1.7, 76,  16,   0, 8, 21.0,③⑤⑥
 7, 1,Ｈボンベイダック, 47,藤田伸, 0.5, 53,  -4,  -9, 1,  2.2,④⑤⑦, 6, 9,Ｉトゥインクルスノｰ, 64,丸山元, 0.3, 64,  -1,   6, 7, 20.4, ⑨⑧, 7,12,Ｈベイルリ, 70,勝浦正, 0.7, 67,  -2,   3,11, 76.6,⑭⑭⑭, 7, 8,Ｇロｰンウルフ, 79,丹内祐, 1.9, 77,   8,* 11, 9, 21.0,⑫⑫⑪
 8,14,Ｊミステリアスガｰル, 40,池添謙, 0.5, 53,*  3, -18,11, 62.2,①①①, 8, 4,Ｌサクラサライ, 53,古川吉, 0.7, 60,   0,   3, 9, 36.1, ⑧⑦, 8, 8,Ｂブラックバニヤン, 75,北村宏, 0.7, 67,  -1,   0, 6, 12.7,⑬⑪⑫, 8,10,Ｂラヴィンライフ, 84,北村宏, 1.9, 73,  16,  -2, 3,  5.7,⑥⑥④
