10年 6月13日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 6月13日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝2910m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  芝1200m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC賞 ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｂスマｰトアｰサイト, 65,岩田康,, 66,   0,*  3, 1,  1.5, ⑤④, 1,10, ファンドリリｰダｰ,,出津孝,,,,, 6, 10.4,③②①, 1,11,Ａスエズ, 79,幸英明,, 72,   3,*  5, 1,  2.0,⑨⑧⑥, 1, 6,Ａヘッドライナｰ, 87,幸英明,, 85,*  9,   2, 4,  8.7, ①①
 2,14,Ｃトｰホウカツトップ, 64,幸英明, 0.7, 59,  -1,  -2, 3,  7.7, ⑦⑦, 2, 3, アナザｰスタｰ,,小坂忠,198.2,,,, 3,  4.9,①①②, 2, 9,Ｂアグネスアンカｰ, 78,的場勇, 0.0, 72,   2,*  7, 4,  9.9,⑬⑫⑩, 2,15,Ｒダッシャｰゴｰゴｰ, 71,古川吉, 0.1, 84,   0,*  9, 7, 13.7, ⑪⑩
 3,11,Ｈゴッドマジック, 51,浜中俊, 1.0, 58,*  3, -10,11,180.6, ②②, 3, 5, アドマイヤサンサン,,北沢伸,198.3,,,, 8, 23.4,⑥⑤⑥, 3,10,Ｅウインザマキ, 74,高倉稜, 0.2, 70,*  5,   1,10, 27.5,⑤⑤⑦, 3, 8,Ｄワンカラット, 86,藤岡佑, 0.2, 82,   2,   5, 3,  6.6, ⑨⑧
 4, 5,Ｄアｰスワｰク, 64,藤岡佑, 1.0, 56,  -2,  -5, 4, 14.6, ⑨⑥, 4, 7, トップフリｰダム,,白浜雄,198.5,,,, 2,  4.4,⑪⑧⑦, 4, 2,Ｃマイネルプエルト, 75,木幡初, 0.2, 68,*  5,   1, 9, 21.4,④④③, 4,16,Ｉメリッサ, 84,池添謙, 0.4, 79,   4,   2,12, 35.1, ⑧⑥
 5, 8,Ａビジュアルショック, 69,池添謙, 1.0, 56,   0,  -6, 2,  6.1, ⑥⑧, 5, 2, モリノミヤコ,,植野貴,198.9,,,, 4,  6.4,⑨④③, 5, 4,Ｋピサノプリヴェ, 67,池添謙, 0.4, 67,*  6,  -3,11, 27.7,②②②, 5,13,Ｐエｰシンビｰセルズ, 79,藤岡康, 0.5, 77,  -4,*  8,13, 38.8, ⑭⑬
 6, 3,Ｋナムラクレヴァ, 41,国分恭, 1.1, 57,   0,  -6, 8, 39.1, ⑧⑨, 6,11, マルブツハッピｰ,,西谷誠,199.0,,,, 1,  3.6,⑩⑥⑤, 6, 5,Ｉジｰガｰトップ, 73,秋山真, 0.5, 68,   3,   1, 3,  9.9,⑪⑨⑧, 6, 9,Ｂシンボリグラン, 86,岩田康, 0.7, 74,  -3,   4, 1,  4.9, ⑫⑫
 7, 2,Ｇトウケイウッドマン, 53,赤木高, 1.1, 55,  -8,*  4,10,120.9, ⑬⑫, 7, 8, カシノヨウスケ,,高野容,199.2,,,, 5,  8.7,②③④, 7,15,Ｊラウリシルヴァ, 69,藤岡佑, 0.5, 70,   1,*  5,12, 42.7,⑮⑮⑭, 7,12,Ｋアポロフェニックス, 83,秋山真, 0.7, 74,   4,  -2,10, 16.7, ④⑤
 8,16,Ｉアルバマキシマ, 49,藤岡康, 1.2, 57,*  3, -11, 6, 21.9, ③③, 8,12, エルジャンクション,,仲田雅,199.9,,,, 9, 23.5,④⑦⑧, 8, 6,Ｄミッキｰリヒト, 74,国分恭, 0.5, 69,   3,   1, 5, 11.3,⑦⑦⑨, 8,10,Ｃスズカコｰズウェイ, 86,浜中俊, 0.7, 75,  -6,*  8, 8, 14.0, ⑰⑰
