10年12月19日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年12月19日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 4R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 7R  ダ1800m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  ダ1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,仲冬ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ａミシックトウショウ, 66,江田照,, 75,* 13,* -4, 1,  2.1, ①①, 1, 7,Ｆアヤナミ, 53,デムｰ,, 59,  -5,*  7, 7, 45.5,⑯⑩⑦, 1,10,Ｂラヴィアンクレｰル, 76,津村明,, 67,*  0,   9, 4,  7.6,④③③, 1, 9,Ａクリスタルボｰイ, 89,内田博,, 83,* 12,  15, 1,  2.6, ①①
 2,12,Ｂヘラルドリｰ, 61,内田博, 1.5, 61,* 12, -16, 2,  3.8, ②②, 2,11,Ａディｰエスコンドル, 70,三浦皇, 0.4, 58,* -4,*  2, 1,  2.2,②②②, 2,13,Ａイｰグルカザン, 76,ベリｰ, 0.0, 68,*  0,*  9, 7, 16.7,⑥⑦⑥, 2,16,Ｄブライトアイザック, 84,江田照, 0.3, 79,   9,  15, 3,  4.5, ⑥⑥
 3,16,Ｆヴィゴラスブレイン, 54,小野寺, 1.7, 57,*  9, -16, 8, 50.7, ③④, 3, 2,Ｎビｰビｰアックス, 37,松岡正, 0.7, 56,  -5,   1, 2,  3.1,⑤⑤③, 3, 4,Ｇタナトス, 65,デムｰ, 0.0, 67,  -1,* 11, 5, 13.3,⑪⑩⑧, 3, 8,Ｎドスライス, 77,柴田善, 0.3, 78,   8,* 15, 5, 19.4, ⑦⑦
 4, 1,Ｅバトルデｰオ, 54,田中勝, 1.7, 56,   3,  -9, 7, 28.5, ⑤⑦, 4, 5,Ｃミスタｰロックマン, 55,スミヨ, 1.0, 51,  -4,  -1, 3,  4.3,⑥⑥④, 4,14,Ｋエルヘイロｰ, 63,内田博, 0.2, 68,  -2,* 10, 6, 14.5,⑩⑪⑩, 4,11,Ｅリリｰハｰバｰ, 82,柴山雄, 0.3, 79,   7,* 16,10, 54.5, ⑫⑨
 5, 6,Ｋサラノブランシュ, 41,津村明, 1.9, 51,   2, -11,12,185.5, ⑧⑥, 5,16,Ｐアイティテイオｰ, 36,水野貴, 1.1, 54,  -6,   1,12,191.4,⑬⑭⑫, 5, 8,Ｌコスモリゾルヴ, 61,松岡正, 0.3, 65,*  1,   5, 2,  6.1,②②②, 5, 4,Ｃハッピｰダイアリｰ, 84,横山典, 0.5, 77,* 12,  10, 2,  3.2, ②②
 6, 9,Ｉドリｰムクレド, 49,吉田豊, 1.9, 50,  -1,* -8, 4,  6.9, ⑫⑬, 6,13,Ｇコスモバロン, 52,柴田大, 1.3, 51,* -4,  -5, 9, 87.7,⑨⑧⑨, 6, 3,Ｎラブミｰニキｰタ, 54,蛯名正, 0.7, 64,  -3,   8,11, 61.1,⑫⑬⑫, 6, 7,Ｈケイアイダイオウ, 81,伊藤工, 0.7, 76,   6,  14, 4,  9.6, ⑩⑪
 7,15,Ｊファヴェラシック, 41,柴田大, 2.2, 49,   0, -11, 9, 89.4, ⑪⑫, 7,10,Ｅマイネルパラダイム, 53,津村明, 1.4, 53,  -3,  -3,11,112.4,⑪⑨⑧, 7, 6, ジド,---,田辺裕, 0.7, 64,  -3,   8,14,309.3,⑬⑫⑪, 7,10,Ｋゴｰルドエンデバｰ, 80,田中勝, 0.7, 76,   7,  13, 6, 22.4, ⑪⑧
 8,13,Ｌトミケンアグｰド, 40,水野貴, 2.2, 51,   6, -16,14,193.5, ④③, 8, 1,Ｉホノカアボｰイ, 45,吉田隼, 1.6, 52,  -7,  -1,13,220.0,⑩⑮⑬, 8, 2,Ｅケイアイヘルメス, 71,吉田豊, 0.8, 60,*  0,   3, 3,  6.2,③⑥⑤, 8, 1,Ｊティアップハｰレｰ, 81,北村宏, 0.9, 74,  10,   9, 8, 33.3, ④③
