10年10月23日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年10月23日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝2400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,南武特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ａトルバドゥｰル, 73,柴田善,, 61,  -8,*  8, 1,  1.5, ⑪⑩, 1, 6, ミレニアルドリｰム,---,三浦皇,, 73, -18,* 20, 2,  3.6,③⑤⑤, 1, 7,Ｊラッキｰバニラ, 71,内田博,, 80,*  1,  18, 8, 17.4,④④④, 1, 4,Ｅタッチミｰノット, 82,三浦皇,,100,  -3,* 34, 2,  4.7,⑤⑥⑥
 2, 7,Ｃロジッツェル, 59,三浦皇, 0.3, 60,  -8,*  6, 3,  9.1, ⑧⑧, 2, 7, トｰセンマルス,---,吉田豊, 0.3, 66, -16,  13, 4, 12.2,⑩③③, 2, 3,Ｂハシルヨミテテ, 80,蛯名正, 0.0, 77,*  3,  15, 5,  8.8,②②②, 2, 2,Ｌヒカルマンテンボシ, 76,北村友, 0.3, 91,*  0,  22, 8, 17.8,②②②
 3,12,Ｅタマモトリトン, 54,勝浦正, 0.3, 60,  -7,   4, 6, 14.5, ⑥⑥, 3, 4, トウカイチャｰム,---,蛯名正, 0.7, 60,*-16,   5, 3,  9.8,②②②, 3, 2,Ｃアルマトゥｰラ, 75,勝浦正, 0.1, 77,*  2,  16, 4,  7.4,⑤③③, 3,14,Ｎリヴィエラブルｰ, 71,田中勝, 0.5, 79,*  5,   2,13,119.1,①①①
 4,14,Ｂメディテｰション, 62,石橋脩, 0.4, 59,* -5,   1, 9, 57.4, ④③, 4, 2, メジロハクリュウ,---,田中勝, 0.9, 62, -20,  11, 7, 29.7,⑥⑦⑧, 4,15,Ｋアｰスステップ, 68,北村宏, 0.1, 80,   0,  20, 2,  4.6,⑥⑥⑥, 4,10,Ｂヤングアットハｰト, 84,後藤浩, 0.6, 91,  -3,  27, 4,  7.4,⑩⑨⑨
 5, 8,Ｆタフ, 52,吉田豊, 0.4, 57,  -7,   3, 2,  7.9, ⑤⑤, 5, 9, エアジョイント,---,後藤浩, 0.9, 60, -20,   9, 1,  1.6,⑤⑧⑦, 5, 9,Ｆチャｰリｰポイント, 73,後藤浩, 0.3, 79,  -3,* 23, 7, 15.2,⑬⑩⑩, 5, 8,Ａタニノエポレット, 89,石橋脩, 0.6, 93,  -3,  27, 3,  5.8,⑨⑦⑦
 6, 4,Ｄエラット, 55,松岡正, 0.7, 56, -10,   5, 4, 10.1, ⑬⑫, 6, 3, ロンズデｰライト,---,松岡正, 1.0, 56,*-16,   1, 6, 28.1,①①①, 6, 1,Ｇダノンインスパイア, 73,田中勝, 0.4, 77,   0,  18, 3,  4.7,⑩⑦⑦, 6, 3,Ｇリバティバランス, 79,内田博, 0.7, 93,  -5,* 28,10, 25.6,⑦⑩⑩
 7,11,Ｇレッドオブガバナｰ, 47,伊藤工, 0.8, 54,* -5,  -2, 8, 53.5, ②②, 7, 1, マイネルマｰク,---,津村明, 1.2, 55, -18,   2, 8, 38.6,④④④, 7, 6,Ｄシルクドルフィン, 74,松岡正, 0.5, 74,   0,  13, 6, 14.3,③⑤⑤, 7, 7,Ｊオリエンタルジェイ, 76,北村宏, 0.7, 89,  -3,  22, 9, 20.4,⑥⑤⑤
 8, 2,Ｊマイネルクォンタム, 38,津村明, 1.1, 52,  -8,   0, 7, 51.4, ⑦⑦, 8, 8, エルサント,---,北村宏, 1.3, 56, -21,   7, 9, 59.4,⑨⑩⑩, 8,14,Ａメイショウカンパク, 81,北村友, 0.6, 77,  -4,* 22, 1,  4.4,⑫⑭⑮, 8,13,Ｆグッドバニヤン, 82,和田竜, 0.9, 86,  -1,  17, 7, 17.4,④④③
