10年12月19日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年12月19日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:16,,,,,■ 4R  芝2970m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1200m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■10R  芝1600m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,尼崎ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ａナムラダイキチ, 62,小林徹,, 67,*  0,*  1, 6, 11.7,①①①, 1, 3, ピサノシンボル,,五十嵐,,,,, 4,  6.6,④④①, 1, 4,Ｅヴォトレメイヤｰ, 66,岩田康,, 69,*  5,   4, 1,  3.5, ①①, 1, 6,Ｄリクエストソング, 82,岩田康,, 90,  15,* 10, 4,  7.0, ⑦⑨
 2, 1,Ｆキングオブフェイス, 57,国分優, 0.4, 61,  -2,* -1, 9, 69.0,③④③, 2,12, キシュウグラシア,,植野貴,199.9,,,, 1,  2.2,②③②, 2, 7,Ｃワンダｰフォルテ, 70,武豊  , 0.0, 68,*  3,*  6, 4,  7.6, ②②, 2,13,Ｈミッキｰパンプキン, 79,四位洋, 0.1, 89,  18,   4, 5, 12.0, ⑤④
 3, 2,Ｂエルヴィスバロｰズ, 59,岩田康, 1.0, 59,  -3,  -3, 2,  3.7,⑦⑦⑥, 3, 7, タガノブラックヒル,,北沢伸,200.6,,,, 3,  6.2,⑤⑤④, 3,14,Ａカリスマサンスカイ, 73,高倉稜, 0.2, 65,*  3,   4, 2,  3.7, ④⑤, 3, 9,Ｃタイガｰストｰン, 85,佐藤哲, 0.5, 83,  14,*  5, 6, 13.9, ⑬⑪
 4, 7,Ｋタイセイソルジャｰ, 46,松山弘, 1.1, 60,  -4,*  0,11,200.0,⑪⑩⑩, 4, 5, ノワｰルシチｰ,,山本康,201.2,,,, 7, 15.7,⑦⑦⑥, 4, 3,Ｂホｰマンルッツ, 71,川田将, 0.3, 67,   1,   6, 3,  4.5, ⑥⑥, 4, 8,Ｆブレイブファイト, 80,川田将, 0.5, 84,  16,  -1, 3,  5.1, ⑧⑦
 5, 9,Ｃラインレグルス, 58,和田竜, 1.3, 57,  -1,  -9, 1,  2.7,⑥③④, 5,13, コンゴウ,,今村康,202.1,,,, 8, 34.8,⑥⑥⑤, 5,12,Ｇトｰホウペッグ, 60,国分優, 0.4, 65,  -1,*  6, 5, 12.1, ⑧⑦, 5, 5,Ｋブリッツェン, 77,安部幸, 0.5, 83,  16,   0, 7, 18.9, ④⑥
 6,11,Ｇロｰレルマキバオｰ, 56,熊沢重, 1.5, 56,*  0, -12, 5, 10.1,④②②, 6, 9, ロｰドアルファｰド,,高田潤,202.7,,,, 5, 12.9,⑨⑨⑧, 6, 2,Ｈマルコフジ, 60,和田竜, 0.5, 65,   2,   3, 9, 46.6, ⑤③, 6, 3,Ｎイセノスバル, 72,熊沢重, 0.6, 83,  13,   2,11, 70.0, ⑩⑩
 7, 5,Ｄドリｰムガイド, 58,上野翔, 1.9, 52,  -2, -11, 4,  7.4,⑧⑥⑤, 7, 1, シティボス,,林満明,203.1,,,,11,105.8,⑧⑧⑦, 7, 6,Ｄオｰバｰヘッド, 68,川須栄, 0.7, 62,  -5,*  7, 8, 21.5, ⑩⑩, 7,12,Ｌアグネススタｰチ, 74,和田竜, 0.7, 81,* 20, -11,13,103.5, ①①
 8, 8,Ｉボｰルドキング, 51,北村友, 2.0, 51,  -4,  -9,10,109.1,⑩⑪⑦, 8,11, キシリトｰル,,小坂忠,203.3,,,, 6, 14.6,③②③, 8, 1,Ｆワイルドビｰト, 63,藤岡佑, 0.7, 62,  -2,   4, 6, 12.1, ⑨⑧, 8,11,Ｉメイショウシオギリ, 79,飯田祐, 0.7, 81,  11,*  5,14,185.6, ⑭⑭
 9, 3,Ｈハギノクレバｰ, 55,川田将, 3.6, 42,  -4, -22, 7, 22.1,⑤⑨⑧, 9,10, スズカケノミチ,,高野和,204.3,,,,14,270.7,⑩⑩⑨, 9,13,Ｉアスカノバッハ, 58,松山弘, 2.2, 50,*  3, -13,11, 68.0, ③④, 9, 1,Ｍデンコウオクトパス, 73,酒井学, 0.8, 81,  15,  -3, 8, 34.8, ⑥⑤
10, 4,Ｊテイエムギンリュウ, 47,高倉稜, 4.0, 37,  -5, -25, 8, 48.8,②⑧⑪,10, 6, セフティファンキｰ,,南井大,205.2,,,, 9, 52.6,⑫⑪⑩,10,10, シンカンタカフジ,---,加藤和, 2.3, 50, -10,   0,13,377.6, ⑫⑪,10,10,Ｇダイレクトキャッチ, 80,松山弘, 0.9, 78,  11,   2,12, 70.1, ⑫⑬
11, 6,Ｅメイショウテッサイ, 57,藤岡佑, 4.0, 39,  -3, -29, 3,  5.0,⑨⑤⑨,11, 2, スズカフェロｰ,,大江原,205.3,,,,12,155.8,⑪⑫⑪,11, 8,Ｌムジョウ, 49,酒井学, 2.9, 43,  -2, -15, 7, 16.5, ⑦⑨,11, 4,Ｊノボリデュｰク, 78,石橋守, 1.1, 76,* 19, -14, 9, 51.7, ③②
,,,,,,,,,,,,12,14, カシノストライカｰ,,岩崎祐,213.6,,,,13,192.2,⑬⑬⑫,12,11,Ｋミュｰオン, 50,佐藤哲, 3.5, 38, -11, -10,12, 95.6, ⑬⑫,12, 7,Ａスペルバインド, 88,武豊  , 1.2, 74,  11,  -2, 1,  3.0, ⑪⑫
,,,,,,,,,,,,,,,,,,,,,,,,13, 9,Ｍバｰジンバｰスト, 21,安部幸, 3.6, 39, -16,  -5,14,384.0, ⑭⑬,13,14,Ｂレインボｰペガサス, 86,藤岡佑, 1.5, 71,  16, -15, 2,  3.6, ⑨⑧
,,,,,,,,,,,,,,,,,,,,,,,,14, 5,Ｊタイセイマグナム, 56,北村友, 7.2,  4, -13, -43,10, 54.0, ⑪⑭,14, 2,Ｅスペシャルクイン, 81,北村友, 2.5, 60,  18, -32,10, 67.8, ②③
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
