10年 8月28日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 8月28日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-16,,,,,■ 4R  芝2000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 7R  芝1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  芝2000m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,博多ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ａアスカノバッハ, 53,川島信,, 61,*  7,  -3, 1,  2.2, ①①, 1,18,Ｈセｰタミスタ, 57,川田将,, 69,*  8,  -7, 6, 15.4,②②②, 1,13,Ｌコンカラン, 67,川田将,, 79,*  4,* 16, 2,  4.2,④③③, 1, 6,Ａシングライクバｰド, 82,鮫島良,, 85,   1,* 19, 2,  5.0,⑪⑫⑫
 2, 2,Ｄシゲルコモン, 48,飯田祐, 0.8, 49,   1,  -7, 6, 22.0, ④③, 2, 2,Ｅスイｰトテン, 63,鮫島良, 0.2, 67,   2,*  1, 2,  5.8,⑫⑫⑪, 2, 8,Ａネヴァｰフェイド, 79,藤岡康, 0.0, 79,   1,* 21, 1,  2.6,⑧⑧⑦, 2, 1,Ｌザサンデｰフサイチ, 73,和田竜, 0.0, 85,   0,* 19, 7, 14.9,⑩⑪⑪
 3,12,Ｊチｰフミッチｰ, 26,松田大, 1.1, 45,  -3,  -7,10, 98.7, ⑦⑦, 3,12,Ｄライツェント, 63,酒井学, 0.2, 68,   3,*  0, 4,  7.3,⑬⑪⑧, 3, 5,Ｆマイネアロマ, 73,和田竜, 0.2, 76,   2,  15, 5, 10.2,⑤⑤⑥, 3, 5,Ｅスカイリュウホｰ, 80,浜中俊, 0.1, 81,   4,  11, 3,  6.7,⑫⑥⑥
 4, 9,Ｆマルサンライナｰ, 42,太宰啓, 1.2, 47,*  5, -13, 5, 20.5, ②②, 4, 9,Ｇレッドステラｰノ, 60,福永祐, 0.2, 67,   5,* -5, 1,  2.4,⑨⑦⑥, 4,14,Ｄサンデｰミュｰズ, 74,国分恭, 0.3, 74,   2,  13, 4,  9.7,⑥⑥④, 4, 7,Ｈシゲルタック, 78,松山弘, 0.1, 79,*  6,   7,10, 26.7,②②②
 5, 5,Ｇシゲルカンサヤク, 41,高倉稜, 1.2, 42, -23,*  5, 7, 40.4, ⑪⑩, 5,14,Ｂリエｰトフィｰネ, 65,和田竜, 0.2, 67,   4,* -3, 3,  6.4,⑩⑧⑩, 5,11,Ｊカスクドｰル, 68,赤木高, 0.5, 71,   1,  13,14, 79.4,⑨⑨⑨, 5, 3,Ｃウィズディクタット, 81,小牧太, 0.2, 79,   3,   9,11, 26.9,③④④
 6, 8,Ｅヒデノオｰカン, 44,渡辺薫, 1.3, 43,  -3,  -9, 4, 10.3, ⑥⑥, 6,10,Ｆサンタルチアシチｰ, 61,小牧太, 0.3, 65,*  6,  -9, 5,  9.3,⑤④④, 6,10,Ｉシシャモフレンド, 69,北村友, 0.5, 73,   0,* 16,11, 45.0,⑪⑪⑪, 6,10,Ｂグロｰリｰシｰズ, 82,北村友, 0.3, 78,   3,   8, 1,  2.8,⑤⑤⑤
 7, 7,Ｃセイプロスペリティ, 50,幸英明, 1.5, 40,  -4,  -9, 3,  5.8, ⑧⑧, 7, 7,Ａファイヤｰビｰトル, 65,松田大, 0.9, 59,*  6, -17, 9, 33.6,④③③, 7, 1,Ｅセキサンダンスイン, 73,高倉稜, 0.5, 72,   1,  13, 3,  6.6,⑦⑦⑧, 7, 2,Ｋジェントルフォｰク, 74,川田将, 0.3, 81,   2,  12, 6, 13.5,⑧⑧⑦
 8,13,Ｂマキハタファントム, 53,小牧太, 2.0, 38,*  4, -20, 2,  2.8, ③④, 8, 8,Ｉハナショウブ, 57,石橋守, 1.1, 57,   3, -15,10, 53.7,⑧⑩⑦, 8, 2,Ｂスタｰフルｰツ, 75,太宰啓, 0.7, 71,   0,  14, 9, 34.6,⑩⑩⑩, 8, 8,Ｉワンダｰムシャ, 75,野元昭, 0.3, 77,*  6,   4, 8, 15.9,①①①
