10年10月24日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年10月24日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 4R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,桂川ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ａオｰシャンフリｰト, 55,藤田伸,, 68,*  4,* -2, 1,  2.4, ②②, 1, 2, シゲルソウサイ,---,幸英明,, 75,*  1,*  9, 1,  2.2, ①①, 1, 2,Ｂサリエル, 86,福永祐,, 82,  12,   7, 1,  2.2, ④④, 1, 5,Ａティファニｰケイス, 82,津村明,, 89,* 18,   0, 8, 21.4, ①①
 2, 4,Ｃメｰンテｰブル, 55,四位洋, 0.9, 59,   2,* -5, 3,  4.8, ⑦⑦, 2, 5, ナムラドリｰミｰ,---,内田博, 1.0, 66,*  1,   0, 3,  5.4, ②②, 2, 6,Ｅベネラ, 78,柴田善, 0.0, 83,* 16,   3, 9, 34.3, ②②, 2, 2,Ｈレディルｰジュ, 78,川田将, 0.2, 86,  14,   2, 2,  4.3, ⑤④
 3, 7,Ｂユウキマリアッチ, 55,幸英明, 1.1, 59,*  4, -11, 5, 12.0, ③③, 3, 9, ラブリイステラ,---,安藤勝, 1.5, 60,  -8,   4, 2,  2.5, ⑨⑦, 3, 1,Ｃアナモリ, 80,川田将, 0.1, 80,   6,* 14, 3,  5.4, ⑬⑬, 3,13,Ｄパドトロワ, 80,安藤勝, 0.3, 84,* 15,  -1, 4,  5.7, ③③
 4, 1,Ｄミステリアスガｰル, 53,津村明, 2.2, 48,   3, -18, 4,  9.9, ⑥④, 4, 6, ブラウンシュガｰ,---,小坂忠, 1.6, 60, -10,*  6, 4, 20.1, ⑩⑨, 4, 7,Ａアヤナルベルス, 88,小牧太, 0.3, 81,* 17,   0, 2,  3.5, ①①, 4,16,Ｉサクラミモザ, 78,藤岡佑, 0.3, 83,  11,   3, 6, 18.0, ⑦⑧
 5, 2,Ｆナムラエバｰグリン, 48,松山弘, 2.2, 51,*  5, -22, 6, 15.5, ①①, 5, 7, ニュｰセレクト,---,酒井学, 1.9, 60,  -1,  -5,11, 77.4, ④③, 5, 5,Ｉミニｰバロｰズ, 74,幸英明, 0.5, 77,   9,   6, 8, 27.1, ⑩⑨, 5, 4,Ｊセブンシｰクィｰン, 77,和田竜, 0.4, 80,   7,*  5,10, 25.4, ⑬⑬
 6, 8,Ｊデンコウマオ, 27,浜中俊, 2.6, 48,   2, -20, 9, 83.3, ⑧⑨, 6, 1, フミノフェイマス,---,小林徹, 2.0, 58,  -5,  -3, 6, 25.6, ⑥⑤, 6,12,Ｄミステリアスバイオ, 78,池添謙, 0.5, 77,  11,   4, 4, 13.9, ⑦⑧, 6,17,Ｅアンシェルブルｰ, 79,内田博, 0.4, 83,  14,  -1, 1,  4.1, ④⑤
 7,12,Ｇノアノア, 45,内田博, 2.7, 46,   3, -24, 2,  3.6, ⑤⑥, 7,11, エｰシンラッシング,---,和田竜, 2.1, 56,  -7,  -2,10, 76.5, ⑦⑧, 7,13,Ｍピュアマリｰン, 71,芹沢純, 0.6, 76,  11,   4,11, 75.5, ⑧⑤, 7, 7,Ｂブルｰミンバｰ, 80,藤田伸, 0.5, 78,   6,*  5, 3,  4.9, ⑭⑭
 8, 9,Ｅオｰゴンデュラン, 49,吉田隼, 2.8, 47,*  5, -25, 7, 21.6, ④⑤, 8, 8, コスモミアモｰレ,---,津村明, 3.1, 46,  -4, -13, 9, 69.6, ⑤⑥, 8, 4,Ｊコパノマユチャン, 73,浜中俊, 0.7, 75,   7,   6, 6, 18.0, ⑪⑫, 8, 9,Ｍマヤノロシュニ, 74,武幸四, 0.6, 81,* 16,  -5,13, 75.0, ②②
