10年 3月27日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 3月27日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  ダ1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 7R  芝2000m 4歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝1800m 3 歳ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,毎日杯 ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｃマイネヴィント, 61,浜中俊,, 67,   2,*  0, 2,  4.5,④⑤④, 1,11,Ａサクラシリアス, 69,武豊  ,, 65,*  0,*  3, 1,  1.6, ②②, 1, 7,Ｂシングライクバｰド, 79,福永祐,, 85,*  1,* 16, 1,  1.6,⑤④②, 1, 4,Ｃダノンシャンティ, 80,安藤勝,, 88, -10,* 30, 3,  3.7, ⑥⑥
 2, 3,Ｅアドマイヤオンリｰ, 58,福永祐, 0.7, 61,*  4,  -9, 3,  5.3,①①①, 2,10,Ｂシンコｰプリンス, 63,熊沢重, 0.1, 66,  -1,*  4, 2,  5.6, ⑤⑤, 2, 4,Ａピサノジュバン, 80,岩田康, 0.1, 85,   0,* 17, 4,  9.6,⑦⑥④, 2, 7,Ｅミッキｰドリｰム, 77,和田竜, 0.2, 80,* -6,  20, 5, 21.0, ②②
 3, 8,Ｈコンカラン, 52,川田将, 0.8, 62,   1,* -3, 8, 33.5,⑩⑨⑧, 3,16,Ｄサマｰソング, 61,福永祐, 0.4, 62,  -4,*  4, 4, 11.6, ⑦⑦, 3, 3,Ｅレジェンドブルｰ, 74,浜中俊, 0.1, 84,   0,* 16, 2,  4.1,④③③, 3, 9,Ｄリルダヴァル, 78,内田博, 0.3, 80,  -8,  21, 2,  3.4, ③③
 4, 7,Ｂラガｰチェイス, 61,池添謙, 1.1, 58,   1,  -6, 4,  5.9,⑨⑦⑥, 4, 4,Ｃスカイサｰファｰ, 61,内田博, 0.4, 62,  -2,   1, 3,  8.1, ④④, 4, 6,Ｃリｰガルアミュｰズ, 78,川田将, 0.4, 80,*  1,   9, 3,  5.7,②②①, 4,10,Ｊシャイニｰナイト, 63,川田将, 0.3, 79,* -5,  16, 9,173.5, ①①
 5,11,Ｇタマモチャｰム, 54,熊沢重, 1.1, 61,*  3, -11, 7, 24.1,⑤③②, 5,15,Ｆハナショウブ, 57,石橋守, 0.5, 62,* -1,  -1,10,105.6, ③③, 5, 1,Ｆボｰテセレスト, 72,小林徹, 0.7, 80,  -2,  14, 7, 63.5,⑥⑦⑦, 5, 2,Ａルｰラｰシップ, 86,岩田康, 0.5, 80, -11,  24, 1,  2.2, ⑦⑦
 6, 5,Ｄデルマプロティナ, 59,岩田康, 2.1, 54,   1, -14, 1,  4.1,⑧⑧⑨, 6,12,Ｇヘッドザポｰル, 56,和田竜, 0.7, 58,*  0,  -4, 5, 14.8, ①①, 6, 2,Ｄキンショｰオトヒメ, 76,内田博, 1.2, 73,  -1,   5, 5, 18.2,③⑤⑥, 6, 3,Ｈコスモヘレノス, 68,福永祐, 0.6, 78, -11,  21, 7, 56.7, ⑤⑤
 7, 2,Ａアルテミス, 63,吉田稔, 2.7, 49,   1, -22, 6,  6.8,③④⑤, 7,13,Ｋヒシアピｰル, 48,武幸四, 1.4, 55,  -3,  -7,11,109.7, ⑥⑥, 7, 5,Ｇパｰプルスタｰ, 71,和田竜, 2.8, 51,   0, -20, 6, 35.4,①①⑤, 7, 6,Ｇミッションモｰド, 70,池添謙, 0.8, 78, -10,  20, 6, 44.2, ⑧⑧
 8, 6,Ｊトワオンワｰド, 48,小林徹, 2.8, 49,  -1, -17,13,480.1,⑫⑩⑩, 8, 3,Ｎブレｰドランナｰ, 43,川田将, 1.7, 52, -12,*  3, 9, 78.2, ⑯⑮,,,,,,,,,,,,, 8,11,Ｉドレスアフェアｰ, 67,藤岡佑, 0.9, 80, -14,  26, 8,145.1, ⑪⑪
