10年 7月18日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 7月18日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,釜山ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,,,,,,,,,,,,14,15,Ｆキョウワウィッシュ, 55,川島信, 1.0, 47, -16,   3,12, 45.2, ⑮⑮,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15,11,Ｌメイクソリッド, 49,川田将, 1.2, 46,   2, -16, 8, 21.2, ⑤④,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16, 2,Ｒカシノビヨンセ, 39,高野容, 1.4, 42,   1, -18,18,291.0, ③⑦,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17, 7,Ｎリｰヴザネスト, 48,高倉稜, 3.5, 14, -28, -18,14,116.4, ⑱⑰,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:+11 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-15 馬場:良(指数:-5),,,,,,,,,,,
単勝:360円 複勝:04=170円 10=170円 05=410円 枠連:730円,,,,,,,,,,,,"単勝:690円 複勝:01=280円 12=310円 11=300円 枠連:1,540円",,,,,,,,,,,,単勝:520円 複勝:08=250円 18=500円 09=500円 枠連:990円,,,,,,,,,,,,単勝:210円 複勝:01=130円 07=630円 03=460円 枠連:600円,,,,,,,,,,,
"馬連:880円 ワイド:04-10=340円 04-05=1,030円 05-10=1,240円",,,,,,,,,,,,"馬連:3,310円 ワイド:01-12=1,010円 01-11=1,210円 11-12=950円",,,,,,,,,,,,"馬連:5,090円 ワイド:08-18=1,770円 08-09=2,130円 09-18=4,510円",,,,,,,,,,,,"馬連:3,490円 ワイド:01-07=1,150円 01-03=880円 03-07=3,780円",,,,,,,,,,,
"馬単:1,670円 3連複:5,200円 3連単:20,460円",,,,,,,,,,,,"馬単:6,060円 3連複:7,140円 3連単:42,310円",,,,,,,,,,,,"馬単:9,040円 3連複:35,920円 3連単:166,270円",,,,,,,,,,,,"馬単:4,550円 3連複:13,520円 3連単:62,900円",,,,,,,,,,,
■ 2R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 5R  芝1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 8R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■11R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,英彦山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｃニホンピロシュラブ, 59,酒井学,, 70,*  9,* -2, 2,  4.2, ②②, 1, 2,Ａコンカラン, 68,川田将,, 68,   1,*  3, 1,  1.7,⑩⑨①, 1, 5,Ａスマｰトジェネシス, 72,岩田康,, 65,   5,*  0, 1,  1.4,⑥⑥⑤, 1, 6,Ｈブライダルベｰル, 69,岩田康,, 77,  -1,  12, 5,  7.3,⑥⑤⑥
 2,11,Ｂエｰシンオフクロ, 68,藤岡康, 0.3, 68,* 12,  -6, 1,  3.4, ①①, 2, 5,Ｄコウユｰユメダンス, 59,岩田康, 0.7, 60,   3, -10, 2,  5.8,③⑤④, 2, 7,Ｂミヤコトップガン, 72,高倉稜, 0.0, 65,   6,*  0, 2,  4.1,④⑤⑥, 2, 7,Ｇサンマルエミネム, 71,野元昭, 0.0, 73,  -2,  10, 9, 55.4,⑦⑥④
