10年12月 4日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年12月 4日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  ダ1000m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 7R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  芝1200m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,耶馬渓特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ａゴッドハンド, 64,西村太,, 59,   2,* -4, 2,  5.3,⑦⑤③, 1, 3,Ｄワンズガｰホッド, 71,秋山真,, 71,*  0,   8, 2,  6.4, ②②, 1, 6,Ａアドベンティスト, 74,伊藤直,, 73,*  5,  13, 6, 13.6,②①①, 1, 2,Ｅビｰチアイドル, 76,宮崎北,, 82,   5,  10, 6, 15.3, ⑥⑤
 2, 3,Ｍスリｰプレシャス, 36,西田雄, 0.0, 60,   1,* -2,13,180.8,⑩⑧⑦, 2, 4,Ａマイディスカバリｰ, 75,中舘英, 0.0, 71,*  3,   6, 1,  1.8, ①①, 2,13,Ｈセレスブレイク, 70,中舘英, 0.2, 71,*  4,  12,11, 63.9,⑪④③, 2, 6,Ｃステラｰホｰプ, 77,中舘英, 0.0, 83,   2,* 14, 5, 15.0, ⑧⑥
 3,11,Ｈフィオリア, 48,上村洋, 0.4, 58,   2,  -7, 4,  8.7,⑤⑦④, 3, 2,Ｅオキサキサマ, 69,上村洋, 0.1, 71,  -5,* 11, 6, 25.2, ⑤⑤, 3, 5,Ｉナミダガキラリ, 70,古川吉, 0.6, 70,   1,* 15, 9, 27.1,⑩⑬⑫, 3,10,Ｉシチリアｰナ, 73,西田雄, 0.2, 78,  -4,* 16,16,133.7, ⑬⑪
 4,12,Ｇビｰム, 49,ウィリ, 0.4, 55,*  3, -11, 1,  1.8,④③①, 4, 6,Ｂサマｰラグｰン, 74,上野翔, 0.5, 66,*  0,   3, 5,  7.3, ③③, 4, 8,Ｋブルｰライジング, 69,赤木高, 0.7, 71,   0,* 17,13,106.9,⑮⑭⑭, 4,11,Ａハッピｰプレゼント, 80,北村友, 0.2, 79,   4,   8, 2,  4.6, ⑦⑧
 5, 5,Ｂサイキョウイシヤマ, 61,高倉稜, 0.6, 54,   2,  -9, 3,  5.7,⑥④⑥, 5,12,Ｇキタサンハナミチ, 64,西村太, 0.6, 63, -11,*  9, 7, 28.0, ⑫⑪, 5, 1,Ｂヒｰロｰ, 74,北村友, 0.7, 69,   2,  12, 1,  1.9,⑦⑨⑧, 5,16,Ｊスイｰトエスケｰプ, 72,古川吉, 0.3, 78,  -1,  12, 3,  6.1, ⑫⑬
 6, 8,Ｅテンシノイツル, 52,長谷川, 1.4, 51,  -5,* -3, 5, 15.3,⑮⑭⑭, 6, 8,Ｉアトムスパンカｰ, 60,鮫島良, 0.7, 63, -10,   8,12,222.1, ⑧⑦, 6, 2,Ｃサダルメリク, 72,高倉稜, 0.8, 67,   4,   8, 5, 11.5,⑤⑤④, 6, 8,Ｍタムロウイング, 71,ウィリ, 0.3, 77,* 11,   1, 9, 28.9, ③③
 7,15,Ｃヴァリエンテ, 56,松山弘, 1.4, 51,   1, -13, 8, 46.8,⑧⑨⑨, 7, 7,Ｃウインルナ, 71,高倉稜, 0.7, 63,  -2,   2, 3,  6.5, ④④, 7,11,Ｌサトノレジェンド, 68,二本柳, 0.9, 68,   1,  12, 3,  8.3,⑫⑫⑩, 7,15,Ｋギュイエンヌ, 71,丸田恭, 0.4, 76,  -1,  11,15, 97.7, ⑪⑫
 8, 4,Ｉマイネルインバネス, 47,丹内祐, 1.7, 49,   0, -14, 9, 52.7,⑫⑪⑧, 8, 5,Ｆスナｰクヒロイン, 69,太宰啓, 0.7, 63, -11,   9, 4,  7.3, ⑩⑥, 8,15,Ｄダンツブラボｰ, 72,松山弘, 1.0, 68,   3,   8, 4, 10.5,⑨⑦⑥, 8,13,Ｌラヴインザダｰク, 71,秋山真, 0.5, 75,   1,   7,10, 33.8, ⑨⑨
 9,13,Ｎカシノエイカン, 32,水口優, 1.9, 46,  -1, -15,11,148.8,⑨⑫⑫, 9, 1,Ｊビントサリエ, 56,北村友, 0.9, 60, -16,* 10, 8, 66.4, ⑬⑨, 9, 9,Ｅレッドライオン, 72,丹内祐, 1.0, 67,   3,   6, 2,  7.1,⑥⑥⑤, 9, 5,Ｈシルクナデシコ, 73,長谷川, 0.5, 77,  -8,* 17, 7, 17.3, ⑮⑭
10,14,Ｋリッシンカッポレ, 44,宮崎北, 2.3, 42,  -4, -14,14,211.5,⑬⑬⑪,10,11,Ｈボムクイｰン, 62,南田雅, 1.0, 60, -11,   6,13,253.1, ⑪⑩,10,10,Ｊシュヴァイツァｰ, 69,西田雄, 1.2, 65,*  5,   2,14,132.6,④②②,10, 1,Ｄオレンジティアラ, 77,上村洋, 0.6, 75,* 15,  -7, 1,  2.7, ①①
11, 1,Ｄニュｰセレクト, 52,北村友, 2.8, 41,*  4, -30, 6, 27.3,①①⑤,11,10,Ｍアンジェリｰクダダ, 48,松山弘, 1.4, 57,  -8,   0, 9,106.9, ⑦⑫,11,14,Ｇニュｰジェットラン, 71,田中博, 1.4, 67,   1,   8,10, 46.2,⑧⑪⑬,11,17,Ｆニシノモレッタ, 75,松山弘, 0.7, 72,  -7,  12, 8, 21.1, ⑭⑮
12, 9,Ｊプレミアムリｰチ, 47,古川吉, 3.0, 39,   1, -27,10, 75.9,⑪⑩⑬,12, 9,Ｋクラリン, 51,古川吉, 1.6, 54,  -7,  -2,11,152.8, ⑥⑧,12, 4,Ｍファコンドｰ, 64,秋山真, 1.6, 65,  -1,  11,15,225.3,⑭⑮⑮,12, 4,Ｑハｰトランドノリカ, 66,田中博, 0.7, 73,  -9,* 15,17,177.7, ⑯⑯
13, 2,Ｆハクユウサンサン, 50,太宰啓, 3.3, 36,*  4, -35, 7, 44.0,②②②,13,13,Ｌクィンビｰクイｰン, 50,田辺裕, 2.6, 43, -10, -10,10,110.3, ⑨⑬,13, 7,Ｆブルｰシｰズン, 71,西村太, 2.2, 57,*  4,  -6,12, 97.9,③③⑦,13, 9,Ｐチャｰムペンダント, 69,赤木高, 1.0, 68,   8,  -6,13, 62.7, ⑤⑦
14, 6,Ｌカシノダンガン, 40,二本柳, 3.6, 35,   2, -35,12,150.0,③⑥⑩,,,,,,,,,,,,,14,12,Ｏストロングロビン, 55,丸田恭, 2.4, 56,   2,  -2, 7, 21.0,⑬⑩⑪,14,12,Ｂバクシンカｰリｰ, 78,田辺裕, 1.0, 68,   3,  -1, 4, 11.1, ⑩⑩
15, 7,Ｏアキノグッドラック, 24,秋山真, 3.6, 35,  -8, -18,15,229.6,⑭⑮⑮,,,,,,,,,,,,,15, 3,Ｎグランプリヒトスジ, 59,ウィリ, 2.5, 56,   2,  -4, 8, 21.4,①⑧⑨,15,14,Ｇナムラアトラクト, 74,太宰啓, 1.4, 63,   9, -13,12, 35.7, ④④
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 7,Ｏザザ, 69,鮫島良, 1.5, 62,  -8,   3,14, 88.7, ⑰⑰
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17, 3,Ｎリネンパズル, 70,南田雅, 1.8, 58,* 13, -21,11, 34.3, ②②
