10年12月26日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年12月26日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝3110m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  芝1600m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝2400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,江坂特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｃクィｰンオブライフ, 63,北村友,, 68,*  2,*  4, 3,  5.9, ①①, 1, 3, ホウライブライアン,,熊沢重,,,,, 4,  6.1,⑥②②,10,10,Ｈレッドデイヴィス, 65,北村友, 0.0, 74,*  2,   5, 2, 11.0, ②②, 1, 5,Ｃキャプテンキッド, 83,藤田伸,, 87,* -2,  18, 2,  4.4,①①①
 2, 2,Ｄブライ, 58,川田将, 0.4, 65,  -1,   3, 5, 18.0, ④③, 2,14, マｰブルジｰン,,小坂忠,212.2,,,,10, 34.5,①①①, 1, 6,Ｂサトノオｰ, 72,川田将,, 75,*  2,   5, 1,  1.4, ③③, 2, 8,Ｂウォｰクラウン, 84,川田将, 0.0, 89,* -2,  19, 3,  6.5,④④③
 3,16,Ｂサトノパイレｰツ, 66,藤田伸, 0.5, 63,*  1,   0, 1,  1.6, ③②, 3, 5, マサノブルｰス,,佐久間,212.3,,,, 2,  5.0,④⑤④, 2,18,Ｆヴィジャイ, 66,吉田稔, 0.3, 71,  -2,*  7, 3, 12.5, ⑫⑪, 3, 9,Ｅトレジャｰハント, 75,石橋守, 0.1, 86,* -2,  18, 6, 13.9,②②②
 4, 1,Ｆゴｰルデンアタック, 57,村田一, 0.8, 61,  -4,   3, 4, 15.3, ⑦⑦, 4, 4, プラテアｰド,,横山義,213.1,,,, 1,  4.3,②③③, 3,12,Ｉダｰズンロｰズ, 65,小牧太, 0.4, 72,  -6,* 13, 7, 18.6, ⑰⑰, 4, 1,Ｇニシノラブキング, 70,北村友, 0.2, 87,  -3,  19, 7, 54.2,③③④
 5, 6,Ａサカジロゴｰルド, 66,野元昭, 0.9, 59,  -8,*  5, 2,  5.0, ⑩⑧, 5, 6, コｰド,,高野和,213.4,,,,14,169.1,⑫⑫⑩, 4,15,Ｋニジブルｰム, 63,幸英明, 0.4, 72,  -3,* 10,17,354.8, ⑮⑯, 5, 7,Ｈサンマルエミネム, 68,野元昭, 0.3, 85,  -3,  18, 8, 61.8,⑥⑤⑤
 6,15,Ｅトウケイマンボ, 57,鷹野宏, 1.1, 58,  -9,*  5, 6, 20.7, ⑭⑨, 6, 7, スリｰロゼット,,高野容,213.8,,,, 9, 34.2,⑦⑧⑧, 5, 5,Ｄデンコウジュピタｰ, 69,古川吉, 0.4, 71,  -1,   5, 4, 12.8, ⑨⑨, 6, 2,Ｄアクアブルｰフライ, 80,長谷川, 0.3, 89,  -5,* 23, 4,  7.7,⑦⑦⑧
 7,11,Ｈナムラエバｰグリン, 56,国分優, 1.2, 57,  -1,  -4, 7, 34.3, ②④, 7, 8, スｰパｰヴァイザｰ,,林満明,213.9,,,,11, 82.5,③④⑥, 6, 4,Ｏセイカプリコｰン, 58,渡辺薫, 0.4, 72,   1,   3, 9, 53.5, ⑦⑦, 7, 4,Ａタニノエポレット, 89,藤岡佑, 0.6, 84,  -5,  18, 1,  2.0,⑧⑧⑦
 8, 7,Ｋヒットナンバｰ, 46,幸英明, 2.1, 49, -10,  -3, 9, 99.8, ⑫⑫, 8, 1, ファイトシｰン,,植野貴,214.0,,,, 3,  5.2,⑩⑨⑨, 7, 7,Ｊメイショウムｰス, 64,飯田祐, 0.6, 68,  -2,   5,10, 71.8, ⑪⑫, 8, 3,Ｆネオポラリス, 71,国分恭, 0.9, 79,  -3,  11, 5,  8.2,⑤⑥⑥
 9,14,Ｊコスモワッチミｰ, 48,和田竜, 2.5, 46, -11,  -6,12,139.5, ⑬⑭, 9, 2, ファンドリリｰダｰ,,南井大,214.4,,,,12, 96.1,⑧⑦⑦, 8,13,Ａサイレントソニック, 77,国分恭, 0.6, 69,  -2,   5, 5, 14.1, ⑭⑭, 9, 6,Ｉコロニアルペガサス, 68,吉田稔, 1.6, 74,  -6,   9, 9,167.3,⑨⑨⑨
10, 4,Ｉシゲルシュサ, 54,吉田稔, 2.9, 42, -18,  -2,11,121.5, ⑮⑮,10,12, シｰアクロス,,黒岩悠,214.9,,,, 8, 16.8,⑤⑥⑤, 9,14,Ｍモアグレイス, 59,熊沢重, 0.8, 65,   1,  -4,11,105.5, ④④,,,,,,,,,,,,
11,13,Ｏマキシムカムイ, 29,川島信, 3.0, 42,  -3, -17,13,223.6, ⑥⑥,11,13, ナナヨｰヒマワリ,,北沢伸,215.9,,,, 6,  9.2,⑨⑩⑫,11, 8,Ｑカレンデイムｰン, 54,村田一, 0.8, 64,*  2,  -7,16,324.9, ①①,,,,,,,,,,,,
12, 5,Ｐテイエムララバイ, 22,安部幸, 3.0, 42,  -8, -13,14,346.9, ⑨⑪,12,11, ヒシカツヒトリタビ,,白浜雄,216.0,,,, 5,  8.3,⑪⑪⑪,12, 9,Ｎマイネソルシエｰル, 59,和田竜, 1.0, 65,  -2,  -1,15,247.8, ⑬⑬,,,,,,,,,,,,
13, 3,Ｎテイエムヒットンダ, 32,川須栄, 3.4, 38,  -6, -18,10,120.6, ⑧⑩,13,10, ザバトルメイトル,,浜野谷,220.0,,,,13,122.6,⑬⑬⑬,13,16,Ｅメイショウツガル, 66,石橋守, 1.1, 62,   1,  -7,13,206.8, ⑧⑧,,,,,,,,,,,,
14,10,Ｍリネンハイブリット, 38,国分恭, 3.6, 38, -29,   2,15,370.8, ⑯⑯,14, 9, トップモンジュｰ,,高田潤,221.6,,,, 7, 11.8,⑭⑭⑭,14,11,Ｌランパスインベガス, 63,的場勇, 1.1, 61,  -1,  -5, 8, 30.5, ⑩⑩,,,,,,,,,,,,
15,12,Ｇテイエムムテキドン, 57,古川吉, 3.8, 34,  -3, -25, 8, 76.3, ⑤⑤,,,,,,,,,,,,,15,17,Ｐツカサリボン, 56,川島信, 1.1, 65,  -2,  -2,14,223.2, ⑯⑮,,,,,,,,,,,,
16, 9,Ｌビコｰブラボｰ, 42,佐久間, 4.5, 29,  -9, -25,16,460.4, ⑪⑬,,,,,,,,,,,,,16, 1,Ｃハッピｰグラス, 69,藤田伸, 1.4, 59,   1, -11, 6, 16.4, ⑤⑤,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17, 2,Ｒモエレウェバリング, 48,安部幸, 2.0, 51,   1, -20,18,681.7, ⑥⑥,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:1),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:68 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:4),,,,,,,,,,,
"単勝:590円 複勝:08=160円 02=280円 16=110円 枠連:1,860円",,,,,,,,,,,,"単勝:610円 複勝:03=260円 14=690円 05=230円 枠連:1,060円",,,,,,,,,,,,単勝:140円 複勝:06=110円 18=240円 12=350円 枠連:610円,,,,,,,,,,,,単勝:440円 複勝:05=190円 08=180円 09=290円 枠連:860円,,,,,,,,,,,
"馬連:3,220円 ワイド:02-08=680円 08-16=210円 02-16=390円",,,,,,,,,,,,"馬連:11,490円 ワイド:03-14=2,570円 03-05=750円 05-14=3,310円",,,,,,,,,,,,"馬連:970円 ワイド:06-18=400円 06-12=610円 12-18=2,270円",,,,,,,,,,,,"馬連:1,260円 ワイド:05-08=480円 05-09=890円 08-09=880円",,,,,,,,,,,
"馬単:5,620円 3連複:1,180円 3連単:15,150円",,,,,,,,,,,,"馬単:20,220円 3連複:22,220円 3連単:183,030円",,,,,,,,,,,,"馬単:970円 3連複:4,430円 3連単:9,620円",,,,,,,,,,,,"馬単:2,220円 3連複:4,000円 3連単:15,900円",,,,,,,,,,,
■ 2R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 5R  ダ1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■11R  ダ1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,摩耶ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ｅタマモダイナミック, 54,幸英明,, 60,* -7,   5, 1,  1.7,③③③, 1, 5, テｰオｰガリクソン,---,藤岡佑,, 65,  -9,* 13, 3,  5.2,⑤④③, 1,15,Ａビｰチランデブｰ, 80,川田将,, 74,   8,*  1, 1,  2.4,⑦⑥⑤, 1,14,Ｂツクバホクトオｰ, 85,安部幸,, 87,* 14,   7, 1,  2.4, ②②
 2, 1,Ｇボストンリョウマ, 50,和田竜, 0.2, 60,  -8,   6, 3,  8.6,⑤⑥⑤, 2, 1, ウインディｰヒル,---,国分優, 0.4, 62,  -9,  10, 2,  4.0,④③④, 2, 6,Ｄジャポニズム, 77,北村友, 0.0, 72,* 11,  -4, 2,  5.0,①①①, 2, 7,Ａフェイムロバリｰ, 86,小牧太, 0.4, 82,  13,   6, 2,  3.3, ⑤④
 3,15,Ｂジャックバロｰズ, 58,村田一, 0.4, 59, -10,*  9, 2,  5.9,⑬⑫⑦, 3, 3, デルマインドラ,---,竹之下, 0.4, 60,* -8,   7, 4,  5.9,②②②, 3,16,Ｃグッドカレラ, 78,幸英明, 0.1, 72,   8,*  0, 8, 16.2,④⑤⑦, 3, 2,Ｎアグネスマクシマム, 73,小林徹, 0.5, 82,   6,* 14,12,101.8, ⑭⑬
 4, 4,Ｉゼンノアルビオン, 47,長谷川, 0.5, 55,* -6,   0,10, 90.3,②②②, 4,12, エｰシンジョイフル,---,野元昭, 0.5, 61,* -7,   6,13,173.7,①①①, 4,14,Ｂオリエンタルコｰル, 79,藤田伸, 0.3, 71,   8,* -1, 6, 13.7,⑩⑧⑥, 4, 6,Ｄルティラｰレ, 82,長谷川, 0.7, 79,   9,   8, 9, 44.2, ⑩⑨
 5,13,Ｆハコダテイチバン, 53,吉田稔, 0.6, 54,* -5,  -2, 7, 21.1,①①①, 5, 6, サトノサミット,---,川田将, 0.6, 62, -11,* 11, 7, 15.6,⑧⑧⑦, 5, 7,Ｅヤマニンソルファ, 75,渡辺薫, 0.5, 69,   6,* -1, 4,  8.3,⑥⑨⑨, 5,11,Ｆスマｰトブレｰド, 80,幸英明, 0.8, 78,   7,  10, 6, 14.1, ⑫⑩
