10年12月18日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年12月18日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-14,,,,,■ 4R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 7R  芝2600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  芝1200m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,つわぶき賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ｂバライロｰ, 53,丸山元,, 57,* -1,*  1, 2,  3.9, ②②, 1, 9,Ｄアシュア, 67,丸山元,, 72,*  3,   6,11, 81.4, ②②, 1,12,Ｉドリｰムセｰリング, 70,荻野琢,, 80,*  5,* 12, 1,  2.9,①①①, 1, 3,Ｂスギノエンデバｰ, 69,田中健,, 69,*  6,   0, 1,  1.7, ①①
 2, 3,Ａカムイフォレスト, 57,田辺裕, 0.3, 53,  -4,*  0, 1,  2.7, ③③, 2, 3,Ｂベストバウト, 73,田辺裕, 0.1, 70,   0,*  7, 1,  1.9, ③③, 2,14,Ｊオｰルタｰゲット, 69,金折知, 0.4, 79,   2,* 15, 6, 13.6,⑤⑧⑤, 2, 7,Ｃエｰシンヒットマン, 66,藤岡康, 0.0, 69,*  6,   0, 4, 11.5, ②②
 3, 2,Ｉナムラストリｰク, 42,伊藤直, 0.7, 49,  -6,  -1, 5, 13.2, ④④, 3, 7,Ｃグランデワイルド, 71,中舘英, 0.4, 68,   0,   5, 4, 12.0, ④④, 3, 3,Ｂサンライズウィル, 73,古川吉, 0.6, 77,   4,   8, 4,  9.8,③④②, 3,13,Ｄカイシュウコロンボ, 65,丸山元, 0.0, 68,  -5,* 10,13, 68.2, ⑩⑩
 4,10,Ｃトウケイカガヤキ, 53,飯田祐, 0.7, 51,*  0,  -6, 3,  5.5, ①①, 4, 8,Ａコウエイフラッシュ, 75,川島信, 0.8, 64,*  3,  -1, 2,  3.5, ①①, 4,11,Ｈシャイニングデイ, 71,太宰啓, 0.8, 76,   2,* 12,13, 39.0,⑪⑪⑪, 4, 5,Ｅミヤジエムジェイ, 64,国分恭, 0.2, 66,  -2,   5, 9, 30.8, ⑧⑦
 5, 1,Ｌニュｰユニヴァｰス, 32,松山弘, 0.9, 47,  -9,  -3, 9, 32.5, ⑤⑤, 5,13,Ｉガリレオシチｰ, 62,太宰啓, 0.8, 63,  -4,   4,10, 80.4, ⑥⑥, 5, 6,Ｋケｰジｰカチボシ, 69,西田雄, 0.9, 72,   2,   8,12, 37.3,⑧⑨⑨, 5,10,Ｆヒカリトリトン, 63,太宰啓, 0.5, 62, -11,*  9, 5, 14.8, ⑭⑭
 6, 4,Ｇダンスインザサイト, 45,鮫島克, 1.1, 46, -11,  -1, 8, 22.1, ⑦⑥, 6, 2,Ｇカシマチャンピオン, 63,宮崎北, 0.9, 60, -11,*  7, 8, 43.5, ⑩⑨, 6, 2,Ｄナムラチェンジ, 72,芹沢純, 1.0, 75,   4,   4,11, 37.1,⑦⑤④, 6,11,Ｋリバｰロイヤル, 57,武幸四, 0.5, 62,   0,  -2, 7, 21.5, ⑦⑧
 7, 8,Ｄスエヒロジュピタｰ, 53,芹沢純, 1.5, 39, -14,  -5, 6, 14.6, ⑧⑨, 7,10,Ｈナスザン, 62,黛弘人, 1.0, 60,  -4,   2, 6, 15.2, ⑤⑤, 7,10,Ａテラノパンサｰ, 81,中舘英, 1.1, 72,*  5,   0, 3,  6.4,⑮③③, 7, 6,Ｈピルケンハンマｰ, 59,丸田恭, 0.5, 61,  -5,   3,10, 36.5, ⑨⑨
 8, 5,Ｈミスバイアモン, 45,丸田恭, 1.6, 38, -15,  -4,10, 37.3, ⑨⑧, 8, 4,Ｅマルタシュンプウ, 64,田中博, 1.0, 61, -17,* 10, 3,  8.8, ⑭⑭, 8, 7,Ｃアクアブルｰスカイ, 72,長谷川, 1.2, 72,   2,   5,10, 33.6,⑨⑩⑦, 8,12,Ｌサカジロキング, 56,野元昭, 0.6, 61,  -8,   5,11, 40.9, ⑫⑫
 9,11,Ｅフレッチャロッサ, 47,中舘英, 2.1, 35,  -9, -12, 4,  8.4, ⑥⑦, 9,11,Ｆメイショウフェｰヴ, 63,武幸四, 1.1, 61, -11,   6, 7, 33.8, ⑫⑫, 9,15,Ｇトミケンプライム, 71,国分恭, 1.2, 77,   2,* 13, 2,  4.9,⑯⑯⑬, 9, 8,Ｇキミニアエタキセキ, 61,上村洋, 0.9, 58,   2,  -8, 2,  8.0, ⑤③
10, 7,Ｆマルヨパトリオット, 47,藤岡康, 2.1, 33, -26,  -2,11, 73.8, ⑪⑪,10, 1,Ｊアルマダ, 60,松山弘, 1.2, 60,  -8,   3,12,102.0, ⑧⑧,10, 4,Ｌシｰサイドカフェ, 68,田中博, 1.4, 72,   1,   6,14,245.9,⑬⑫⑫,10,18,Ａチェリｰビスティｰ, 74,田辺裕, 1.1, 54,*  3, -12, 3, 10.4, ④⑤
