10年12月19日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年12月19日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 4R  芝1200m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■10R  芝2600m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,名古屋日刊ｽﾎﾟｰﾂ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｃマサシ, 58,中舘英,, 58,*  0,  -5, 1,  2.9,①①①, 1, 9, アグネスアンジュ,---,秋山真,, 56,  -1,* -8, 1,  3.0, ④⑤, 1,11,Ｃヴィルマｰル, 70,二本柳,, 75,   0,* 14, 2,  3.7, ④④, 1, 4,Ｅブルｰスタｰキング, 79,ウィリ,, 83,  17,*  4, 1,  3.1,⑩⑪⑫
 2, 1,Ｂサンマルヴィエント, 60,丸山元, 0.2, 57,  -4,* -1, 4,  7.9,⑦⑦③, 2,12, テイエムアモｰレ,---,田嶋翔, 0.0, 58,*  3, -12,11, 55.0, ③③, 2, 7,Ａオｰセロワ, 74,古川吉, 0.6, 69,*  6,   5, 1,  1.5, ①①, 2,10,Ａクジュウクシマ, 82,丸田恭, 0.2, 81,  16,*  1, 5, 12.1,⑪⑫⑪
 3,14,Ｄトビ, 57,国分恭, 0.3, 58,* -2,  -5, 2,  5.4,⑥④④, 3,13, ヤマニンラレｰヌ,---,池添謙, 0.4, 50,  -5,* -9, 7, 23.3, ⑩⑩, 3,10, キタサンオリオン,---,中舘英, 0.8, 67,*  3,   5, 7, 33.6, ③③, 3, 8,Ｄパッシングマｰク, 79,池添謙, 0.3, 80,  16,  -5,11, 41.1,⑨⑦⑨
 4, 8,Ｏコウエイニコニコ, 31,ウィリ, 0.5, 55,  -3,  -5, 7, 11.6,⑨⑥⑦, 4,10, ケイエスアｰチャン,---,武幸四, 0.4, 50,  -3, -12, 6, 17.5, ⑨④, 4, 8,Ｈセトノジャｰニｰ, 57,赤木高, 1.2, 63,*  5,   0,10, 72.0, ②②, 4,13,Ｆフミノヤマビコ, 77,長谷川, 0.6, 78,  16,  -8, 8, 14.6,⑫⑨⑩
 5, 4,Ｉツィンクルブｰケ, 51,藤岡康, 0.6, 55,* -1,  -9, 6,  8.3,⑤②②, 5, 4, ランファン,---,藤岡康, 0.5, 48,  -7,*-10, 3,  5.2, ⑪⑦, 5, 6,Ｄデプラｰタ, 66,黛弘人, 1.2, 61,  -2,   5, 3, 15.6, ⑥⑥, 5, 6,Ｂワイズミュｰラｰ, 82,武幸四, 0.6, 79,  17,  -6, 2,  4.9,⑬⑩⑥
 6, 9,Ａスリｰプレシャス, 63,西田雄, 0.7, 54,  -4,  -5, 3,  5.4,⑬⑨⑥, 6,16, ビュｰティバラｰド,---,生野賢, 0.6, 46, -10,* -7,12, 57.0, ⑭⑭, 6, 3,Ｂアｰスグラヴィティ, 72,宮崎北, 1.3, 59,  -9,   8, 4, 19.8, ⑪⑪, 6, 2,Ｇトレジャｰハント, 77,太宰啓, 0.8, 76,* 18, -13, 7, 13.7,④③③
 7,11,Ｅノッティングボｰイ, 57,黛弘人, 0.9, 50,  -9,*  2,11,100.8,⑮⑮⑮, 7, 2, システｰナブルｰ,---,ウィリ, 0.7, 48,*  3, -21, 5, 10.5, ①①, 7,14,Ｇプリティマリ, 57,ウィリ, 1.3, 62,  -1,   3, 9, 60.5, ⑦⑦, 7, 9,Ｈナリタシャトル, 76,秋山真, 0.8, 76,* 19, -17, 9, 15.3,②②①
 8,15,Ｇマギｰメイ, 52,野元昭, 2.1, 45,  -5, -14,13,162.9,⑩⑪⑨, 8,14, イツモジョウキゲン,---,丸田恭, 0.8, 43,  -8, -12,14, 70.8, ⑫⑫, 8, 5,Ｅブルｰシｰズン, 63,鮫島良, 1.3, 60, -15,* 12,11,115.5, ⑬⑫, 8, 1,Ｋニシノプライスレス, 74,川島信, 1.5, 73,  17, -20,12, 47.3,⑧⑧⑦
