10年 7月10日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 7月10日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 4R  芝1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｼﾞｭﾗｲｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａエイシンオスマン, 58,岩田康,, 59,*  3,*-16, 1,  1.2, ①①, 1,17, エｰシンジェネシス,---,福永祐,, 58,*-11,   1, 4,  6.1, ③③, 1, 8,Ａビッグウィｰク, 73,川田将,, 76,* 10,* -2, 1,  2.5, ②②, 1,11,Ｉシゲルハスラット, 76,川島信,, 76,   3,   4, 8, 17.2, ④④
 2,10,Ｆエｰシンチャｰジ, 45,北村友, 0.4, 53,*  1, -20, 8, 49.7, ②②, 2,11, マルモセｰラ,---,田中健, 0.0, 58,*-10,   0,16,219.7, ①①, 2,11, エクスペディション,---,北村友, 0.3, 72,   8,* -3,13, 98.1, ⑪⑤, 2, 5,Ｈエｰシンビｰセルズ, 77,酒井学, 0.0, 78,  -1,*  9, 5,  8.9, ⑪⑪
 3, 6,Ｈマイネマグノリア, 40,和田竜, 0.6, 52,  -1, -18, 9, 66.8, ③④, 3, 7, モスカｰトロｰザ,---,安藤勝, 0.1, 60, -16,*  6, 1,  2.4, ⑮⑫, 3, 3,Ｇトウショウフリｰク, 55,小牧太, 0.8, 67,   6,* -6, 3,  6.1, ⑧⑦, 3, 4,Ｑデグラｰティア, 62,浜中俊, 0.1, 75,*  6,  -2,15, 58.6, ①①
 4, 9,Ｂスリｰデビッド, 53,国分恭, 0.8, 49,*  1, -24, 2, 10.7, ④③, 4, 9, アドマイヤサガス,---,川田将, 0.2, 57, -15,*  3, 2,  4.9, ⑥⑦, 4,12,Ｂブルｰムウインド, 64,川島信, 0.8, 65,* 14, -23, 4,  7.3, ①①, 4,17,Ｍゼットカｰク, 73,小坂忠, 0.2, 75,   2,   4,16,215.5, ⑩⑨
 5, 5,Ｇタガノグレイグｰス, 45,松田大, 1.0, 48,  -4, -18,11,140.4, ⑤⑥, 5,18, モアグレイス,---,和田竜, 0.3, 56, -14,   0, 5, 11.5, ⑦⑤, 5,13,Ｆマイネルタイクｰン, 56,国分恭, 1.0, 65,   8, -13,10, 38.9, ⑦④, 5,13,Ｅマイネルプルｰト, 78,和田竜, 0.2, 75,   3,   1, 2,  5.6, ⑤⑥
 5, 2,Ｉマイネルデフィ, 39,川田将, 1.0, 48,  -5,*-15, 6, 38.2, ⑧⑧, 6,10, クィｰンオブライフ,---,北村友, 0.7, 51, -18,  -1, 7, 24.8, ⑩⑩, 6, 4,Ｄサトノサウザｰ, 61,和田竜, 1.4, 62,   6, -13, 2,  5.1, ⑫⑩, 6, 2,Ａマルカベンチャｰ, 86,幸英明, 0.2, 77,  -6,* 13, 3,  6.9, ⑱⑱
 7, 3,Ｃシゲルシャチョウ, 49,川島信, 1.1, 45,  -3, -23, 5, 17.3, ⑦⑤, 7,13, セイプロスペリティ,---,幸英明, 0.8, 49, -14,  -6,12, 91.6, ⑤⑥, 7, 9, アタヴィズムマイル,---,松山弘, 2.1, 51,   7, -28,15,160.2, ⑤⑥, 7, 1,Ｇサザンギャラクシｰ, 77,福永祐, 0.2, 75,   2,   3,10, 21.8, ⑦⑧
 8, 4,Ｅタイセイソルジャｰ, 45,小牧太, 1.1, 46,  -5, -18, 3, 15.5, ⑨⑦, 8, 3, メｰンテｰブル,---,岩田康, 0.9, 47, -14,  -8, 6, 20.0, ④④, 8,15,Ｅデンコウアルセウス, 59,浜中俊, 2.3, 52,  -3, -11, 7, 21.4, ⑰⑰, 8,12,Ｒヴィｰヴァヴォドカ, 62,村田一, 0.3, 74,  -1,   5,13, 51.2, ⑨⑩
