10年 8月 7日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 8月 7日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 4R  ダ1000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝1200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,西部日刊ｽﾎﾟｰﾂ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 8, 5, タラリア,,岩崎祐,196.6,,,, 9, 55.8,⑦⑦⑦, 8, 4,Ｐオペラゴア, 40,川須栄, 0.7, 57,  -7,*  6,18,391.7, ⑪⑩, 8, 2,Ｆサイキョウアサカゼ, 65,浜中俊, 0.7, 58,  -4,   5, 6, 10.9, ⑪⑪, 8, 6,Ｋジョｰシンドバッド, 68,和田竜, 1.4, 63,   2,   2, 4,  8.3,⑤⑤⑤
 9, 1, キフジン,,加藤士,202.7,,,,11,113.4,⑪⑩⑩, 9, 9,Ｆタニノロゼット, 54,小牧太, 0.9, 54, -11,*  7, 3,  8.3, ⑯⑭, 9,12,Ｈメイショウヨリトモ, 62,藤岡康, 0.9, 57,*  9, -11, 7, 18.0, ①①, 9, 2,Ｇホワイトルシアン, 71,渡辺薫, 1.7, 59,*  3,  -2, 7, 22.6,③③③
10, 6, ウインザモチ,,白浜雄,205.8,,,, 8, 33.3,⑫⑪⑪,10, 6,Ｑウインリザルト, 38,川島信, 0.9, 55,   0,  -3,13, 98.2, ⑧⑪,10, 4,Ｄミキノクレシェンド, 68,和田竜, 0.9, 56,   5,  -7, 5,  8.2, ⑤④,10, 9,Ｂカリズマクレスト, 76,田中健, 2.1, 60,  -1,   2, 3,  6.5,⑨⑬⑭
11,12, マルシゲコマンド,,今村康,206.8,,,,12,180.3,⑩⑨⑨,11,15,Ｃメイショウアルグン, 59,国分恭, 1.0, 53,*  8, -13, 4,  9.2, ②②,11, 7,Ｋセトクラウン, 49,渡辺薫, 1.2, 50,  -8,   2,12,339.2, ⑫⑫,11,13,Ｉフィｰリングトｰン, 71,福永祐, 2.2, 56,  -2,   2, 9, 37.5,⑮⑮⑮
12, 9, アドマイヤマントル,,高田潤,209.7,,,, 7, 20.7,⑨⑫⑫,12,16,Ｋスｰパｰレディｰ, 47,北村友, 1.1, 52, -15,*  8, 8, 26.0, ⑱⑱,12, 9,Ｌカシノブシドｰ, 48,加藤士, 1.9, 43,   6, -22,11, 98.2, ④⑧,12, 5,Ｎコウヨウドリｰム, 60,松田大, 2.3, 59,  -1,   0,13,152.9,⑦⑫⑬
,,,,,,,,,,,,13, 5,Ｌボンジュｰルチエ, 47,安藤光, 1.2, 50,  -8,   1,14,136.1, ⑬⑬,,,,,,,,,,,,,13, 7,Ｐロｰゲ, 51,浜中俊, 2.4, 54,*  3,  -8,12,147.4,④④④
,,,,,,,,,,,,14,14,Ｉチキリパンドラ, 52,鮫島良, 1.3, 50,   0,  -8, 9, 37.0, ⑩⑨,,,,,,,,,,,,,14, 8,Ｍスリｰコンコルド, 61,安藤光, 2.6, 52,  -5,   5,16,444.9,⑯⑯⑯
,,,,,,,,,,,,15,18,Ｊコｰリングオブラブ, 48,川田将, 1.8, 43,   2, -18,11, 52.1, ⑦⑧,,,,,,,,,,,,,15,15,Ｌヤラマイカ, 63,中村将, 2.8, 50,   1, -10,14,163.5,⑥⑥⑪
,,,,,,,,,,,,16, 8,Ｎキョウワゴコウ, 45,大下智, 1.9, 41, -11,  -6,16,187.1, ⑮⑮,,,,,,,,,,,,,16, 4,Ｏメイショウボタン, 54,高橋亮, 3.0, 51,  -1,  -6,15,200.0,⑪⑪⑫
,,,,,,,,,,,,17, 7,Ｍシｰラプソディｰ, 46,佐藤哲, 2.3, 35, -16,  -6,15,147.8, ⑰⑰,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18, 1,Ｒスｰパｰヒロイン,  3,中村将, 3.1, 25,  -9, -24,17,262.0, ⑫⑯,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-4),,,,,,,,,,,
"単勝:200円 複勝:11=110円 02=240円 10=150円 枠連:1,180円",,,,,,,,,,,,"単勝:220円 複勝:13=130円 17=150円 02=1,170円 枠連:330円",,,,,,,,,,,,単勝:400円 複勝:01=160円 05=150円 03=960円 枠連:540円,,,,,,,,,,,,単勝:240円 複勝:12=140円 03=160円 01=330円 枠連:560円,,,,,,,,,,,
"馬連:1,290円 ワイド:02-11=460円 10-11=230円 02-10=670円",,,,,,,,,,,,"馬連:450円 ワイド:13-17=230円 02-13=3,450円 02-17=5,430円",,,,,,,,,,,,"馬連:580円 ワイド:01-05=290円 01-03=2,140円 03-05=2,330円",,,,,,,,,,,,"馬連:600円 ワイド:03-12=290円 01-12=770円 01-03=1,030円",,,,,,,,,,,
"馬単:1,730円 3連複:1,390円 3連単:7,260円",,,,,,,,,,,,"馬単:720円 3連複:16,130円 3連単:44,590円",,,,,,,,,,,,"馬単:1,090円 3連複:8,380円 3連単:28,220円",,,,,,,,,,,,"馬単:860円 3連複:2,770円 3連単:7,440円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
