10年 8月 7日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 8月 7日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 4R  ダ1000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝1200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,西部日刊ｽﾎﾟｰﾂ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,12,12, シゲルホンブチョウ,---,松山弘, 5.0, -3, -20, -43,12, 73.7, ⑧⑫,12,10,Ｇスノｰボｰル, 58,小牧太, 2.5, 51, -11,  -3,14,138.2,⑱⑰⑱,12,12,Ｋメイショウルシェロ, 73,飯田祐, 1.1, 69,   1,   0, 4,  6.9, ⑫⑫
,,,,,,,,,,,,13,10, メイショウハウンド,---,石橋守, 5.8,-18, -72, -18,13, 83.2, ⑭⑭,13,13,Ｑマンテンスカイ, 28,鷹野宏, 3.1, 43, -13, -10,15,244.8,⑯⑱⑰,13, 4,Ｇエンジェルフェザｰ, 74,松山弘, 1.2, 65,   1,  -2, 9, 30.3, ⑪⑬
,,,,,,,,,,,,14, 9, エｰシンサクショｰ,---,浜中俊, 6.2,-21, -52, -34, 3, 16.7, ⑬⑬,14, 8,Ｐマウンテンサムオｰ, 38,川須栄, 3.1, 43,  -8, -18,18,428.4,⑫⑭⑮,14, 3,Ｅシティボス, 75,太宰啓, 1.3, 65,  -4,   2, 8, 29.4, ⑯⑰
,,,,,,,,,,,,,,,,,,,,,,,,15,11,Ｌシゲルユキムラ, 49,国分恭, 3.1, 42, -10, -16,16,253.6,⑮⑯⑯,15,13,Ｃワンダｰプロ, 77,高田潤, 1.3, 65,   4,  -6,18,254.9, ⑨⑩
,,,,,,,,,,,,,,,,,,,,,,,,16, 6,Ｅユンヌペルル, 60,太宰啓, 3.1, 41,  -4, -28,12, 99.2,⑧⑧⑫,16, 7,Ｑトップオブボストン, 62,鮫島良, 1.4, 63,* 13, -17,16,134.7, ②②
,,,,,,,,,,,,,,,,,,,,,,,,17, 1,Ｈポｰトサンダｰ, 57,和田竜, 3.3, 41,  -2, -34,10, 67.8,④③⑧,17, 1,Ｂメイショウワカツキ, 77,藤岡康, 1.5, 62,* 14, -19, 7, 10.3, ①①
,,,,,,,,,,,,,,,,,,,,,,,,18, 3,Ｏメイショウバショウ, 48,石橋守, 3.8, 35,  -3, -41,17,332.1,②⑤⑭,18, 2,Ｒメッサｰシュミット, 56,野元昭, 2.0, 55, -11,  -1,14, 73.4, ⑱⑱
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-16 ﾚｰｽｱｶﾞﾘ指数:-11 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-1),,,,,,,,,,,
単勝:440円 複勝:11=270円 03=220円 09=390円 枠連:820円,,,,,,,,,,,,単勝:130円 複勝:05=110円 03=400円 04=170円 枠連:320円,,,,,,,,,,,,単勝:270円 複勝:17=130円 12=170円 05=740円 枠連:630円,,,,,,,,,,,,単勝:490円 複勝:06=180円 10=200円 15=170円 枠連:800円,,,,,,,,,,,
"馬連:1,130円 ワイド:03-11=380円 09-11=630円 03-09=500円",,,,,,,,,,,,"馬連:1,240円 ワイド:03-05=580円 04-05=260円 03-04=1,080円",,,,,,,,,,,,"馬連:900円 ワイド:12-17=380円 05-17=1,790円 05-12=1,990円",,,,,,,,,,,,"馬連:1,230円 ワイド:06-10=520円 06-15=450円 10-15=550円",,,,,,,,,,,
"馬単:2,200円 3連複:3,070円 3連単:11,570円",,,,,,,,,,,,"馬単:1,530円 3連複:1,900円 3連単:6,870円",,,,,,,,,,,,"馬単:1,400円 3連複:7,540円 3連単:20,410円",,,,,,,,,,,,"馬単:2,480円 3連複:2,080円 3連単:9,810円",,,,,,,,,,,
■ 2R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 5R  芝1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 8R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■11R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,都井岬特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ａピュｰタｰ, 69,福永祐,, 70,*  4,*  4, 7, 16.4,①①①, 1, 5,Ｃコウユｰユメダンス, 60,ホワイ,, 72,*  4,*  2, 1,  3.6,④④③, 1,10,Ａサダムテンジン, 80,国分恭,, 74,   2,*  9, 1,  2.6, ⑤④, 1, 1,Ａビッグウィｰク, 78,川田将,, 78,*  1,   9, 1,  2.5,①①①
 2,14,Ｅクラヴィコｰド, 64,ホワイ, 0.5, 67,   2,*  4, 2,  4.5,⑥⑥③, 2, 6,Ｄモｰガンルフェイ, 58,福永祐, 0.0, 73,   1,*  7, 5,  6.7,⑦⑤⑤, 2, 4,Ｂアヤナルベルス, 77,小牧太, 0.0, 74,* 14,   1, 2,  4.7, ①①, 2, 4,Ｉエメラルドミスト, 64,浜中俊, 0.4, 78,  -6,* 17, 7, 21.0,⑩⑧⑥
