10年 1月 9日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 1月 9日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  ダ1200m 3 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  ダ2400m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,成田特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｋパブリックアフェア, 43,田中勝,, 59,  -8,*  8, 6, 19.1, ⑮⑮, 1, 4, ケイアイカミノアシ,---,蛯名正,, 70,*  4,   2, 1,  1.9, ①①, 1, 8,Ｂフサイチコウキ, 77,田中勝,, 76,   6,*  7, 1,  1.9, ③③, 1, 6,Ｉシグナリオ, 75,内田博,, 78,*  5,* 20, 4,  7.4,⑤⑤③
 2, 3,Ｃチハヤブル, 58,丸山元, 0.1, 66,* 11, -10, 9, 26.6, ①①, 2,13, セイウンエンドラン,---,田辺裕, 0.3, 67,  -5,*  7, 5, 15.0, ⑦⑤, 2, 1,Ａトムアウトランダｰ, 78,吉田隼, 0.0, 76,* 10,   3, 2,  3.9, ①①, 2,12,Ａトレジャｰバトル, 84,吉田豊, 0.1, 76,*  6,  17, 2,  4.7,②②②
 3, 5,Ｄエアモｰジョｰ, 54,柴田善, 0.1, 64,   6,  -5, 2,  4.2, ⑤⑤, 3, 2, トレノロｰザ,---,内田博, 0.4, 67,  -2,   5, 3,  6.9, ④③, 3, 9,Ｈガオウ, 66,西田雄, 0.4, 74,   4,   5, 6, 34.3, ⑤④, 3, 5,Ｈトップオブパンチ, 76,後藤浩, 0.1, 77,   4,* 21, 5, 10.8,⑪⑨⑦
 4, 6,Ｆプリンシプルレディ, 52,蛯名正, 0.2, 60,   1,* -2, 3,  4.8, ⑩⑦, 4,11, バラベルサイユ,---,吉田豊, 0.9, 62,  -2,   0, 4,  7.4, ⑤④, 4,12,Ｊカラｰチャｰジ, 65,横山典, 0.5, 72,   1,*  7,13,167.4, ⑧⑨, 4, 2,Ｅベストオｰカン, 77,大野拓, 0.3, 75,   4,  19, 7, 12.5,⑥⑦⑤
 5,12,Ｇトウカイライフ, 51,小林淳, 0.6, 57,   2,  -6, 5, 17.8, ⑫⑪, 5, 6, サウンドクルｰズ,---,木幡初, 1.3, 58,*  2,  -7, 9, 47.1, ②②, 5, 3,Ｎベストラン, 52,石橋脩, 1.0, 69,*  9,  -5, 4, 17.1, ②②, 5, 8,Ｄディアディアｰ, 77,勝浦正, 0.4, 75,   4,  19,12,210.7,⑧⑧⑧
 6, 2,Ｂタマモメロディ, 61,勝浦正, 0.7, 56,   3,  -9, 4, 10.0, ⑥⑥, 6,10, ショウナンライラ,---,柴田善, 1.4, 57,  -5,  -1,10, 54.0, ⑥⑥, 6, 2,Ｌフェミニンワイルド, 64,伊藤工, 1.1, 65,   4,  -1,14,176.6, ④⑤, 6, 4,Ｋキングブライト, 72,吉田隼, 0.5, 76,   3,* 21,11, 94.2,⑨⑫⑪
 7, 9,Ｊヒシプレンティ, 44,クラス, 1.2, 55,*  9, -18,13, 78.4, ②②, 7,16, キャニオンルナ,---,勝浦正, 1.5, 55,  -9,   1, 7, 36.8, ⑨⑨, 7,14,Ｅキングオブハイシｰ, 68,柴山雄, 1.2, 65,   1,   0, 9, 59.1, ⑨⑥, 7,11,Ｆスパｰクルシチｰ, 77,蛯名正, 0.7, 73,*  5,  15, 6, 11.5,⑫⑥⑩
 8,13,Ｐダイワトパｰズ, 33,武士沢, 1.3, 49,   1, -12,14,186.7, ⑪⑩, 8,12, ナスケンアゼリア,---,横山典, 1.9, 54,  -5,  -4, 6, 25.9, ⑧⑧, 8, 7,Ｄボンジュｰルソノコ, 71,大庭和, 1.2, 62,  -2,   4,12,101.8, ⑫⑩, 8, 9,Ｊユングフラウヨシコ, 75,柴田善, 0.7, 74,   3,  18,10, 87.6,⑬⑪⑫
