10年 1月31日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 1月31日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝3190m 4歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝2400m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松籟ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ａウインジェラルド, 60,川原正,, 56,  -9,*  2, 1,  2.3, ③③, 1, 3, トロピカルクイｰン,,今村康,,,,, 4,  5.3,③③②, 1,10,Ｋマックスコヒヌｰル, 59,池添謙,, 69,*  8,   1,11,202.3,②②②, 1, 5,Ｃメインストリｰム, 83,ルメｰ,, 85,   7,* 15, 2,  6.2,⑥⑤⑥
 2, 3,Ｄテイエムウミユキ, 51,高井彰, 0.3, 54,* -7,  -3, 6, 23.8, ②②, 2, 1, マイネルアルセｰヌ,,平沢健,213.8,,,, 8, 25.5,②②①, 2, 6,Ａテイエムカイザｰ, 73,太宰啓, 0.2, 67,*  8,  -3, 4,  8.7,①①①, 2, 3,Ａヤマニンウイスカｰ, 86,和田竜, 0.2, 82,   8,   9, 1,  1.7,⑤⑥⑤
 3, 1,Ｂリビングプルｰフ, 56,池添謙, 0.5, 53,* -6,  -5, 2,  4.0, ①①, 3,14, バシケｰン,,蓑島靖,213.9,,,, 6, 13.1,⑤⑤④, 3, 5,Ｆナリタジャングル, 70,福永祐, 0.2, 69,   4,*  7, 3,  4.6,⑧⑧⑧, 3, 1,Ｅタガノファントム, 82,岩田康, 0.2, 82,   8,   9, 4,  7.3,③④④
 4, 8,Ｃキングタキシｰド, 52,岩田康, 1.2, 45, -11,  -7, 4,  6.7, ⑤⑤, 4, 2, タマモサプライズ,,林満明,214.4,,,, 5, 12.9,④④⑤, 4, 4,Ｇウインザマキ, 69,石橋守, 0.3, 68,   7,  -1, 8, 44.6,③③③, 4, 8,Ｈワンダｰムシャ, 76,野元昭, 0.4, 80,*  9,   4, 3,  6.6,①①①
 5, 2,Ｇメイショウオスパｰ, 44,岩崎祐, 1.4, 44, -12,  -8, 9,115.5, ⑥⑦, 5, 6, ゴｰルドリｰズン,,西谷誠,214.9,,,, 2,  4.4,⑪⑦⑦, 5,11,Ｃツルマルネオ, 73,岩田康, 0.4, 66,   6,   0, 2,  3.8,⑥⑥⑤, 5, 6,Ｇセタガヤフラッグ, 78,池添謙, 0.7, 77,   8,   1, 7, 21.3,④③③
 6, 7,Ｈバンブｰアミｰゴ, 43,和田竜, 1.4, 43,  -9, -11, 7, 58.5, ④④, 6, 5, メイショウチョイス,,難波剛,215.3,,,,10, 45.7,⑨⑧⑧, 6, 2,Ｉジョｰシンドバッド, 67,デムｰ, 0.4, 65,   6,   0, 6, 11.7,④④④, 6, 9,Ｂテンシノゴｰルド, 85,藤岡佑, 0.8, 79,   5,   9, 6, 18.8,⑨⑨⑨
 7, 6,Ｊグッドボクスタｰ, 36,渡辺薫, 1.6, 42, -18,  -4, 8, 92.3, ⑪⑪, 7,11, タマモヴィグラス,,岩崎祐,215.5,,,, 3,  4.6,⑦⑥⑥, 7, 8,Ｊツカサゲンキ, 65,武幸四, 0.6, 71,   2,   5, 9, 62.5,⑨⑨⑨, 7, 4,Ｄバアゼルリバｰ, 83,安藤勝, 1.3, 74,   7,  -1, 5, 16.2,⑦⑧⑧
 8,10,Ｉファコンドｰ, 38,ルメｰ, 1.6, 42, -13,  -8, 3,  4.3, ⑧⑧, 8, 7, マｰブルジｰン,,小坂忠,215.7,,,, 7, 13.6,①①③, 8, 3,Ｄメイショウロッコｰ, 73,ルメｰ, 0.6, 65,   2,*  6, 5, 11.6,⑪⑪⑪, 8, 7,Ｆフライングメリッサ, 82,福永祐, 1.4, 73,   7,  -2, 8, 32.7,⑧⑦⑦
