10年 4月10日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 4月10日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 7R  ダ1400m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1400m 4歳上ｵｰﾌﾟﾝ(牝) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｻﾝｹｲｽﾎﾟｰﾂ杯阪神牝馬ｽﾃｰｸｽ ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｄタマモチャｰム, 62,熊沢重,, 57,*  2,* -6, 6, 18.7,②②②, 1,12,Ｃゼットチャンプ, 64,吉田稔,, 64,   1,* -1, 6, 12.0,⑪⑩⑧, 1, 1,Ｄシゲルタダカツ, 70,川島信,, 73,* 13,  -6, 4,  5.7, ①①, 1, 7,Ｅアイアムカミノマゴ, 86,秋山真,, 89,   9,* 17, 9, 23.7, ⑦⑦
 2, 3,Ｆイザベルドスメｰン, 52,藤岡佑, 0.3, 53,*  2,  -8, 3,  5.6,④③③, 2, 1,Ｆナムラウォｰリアｰ, 63,渡辺薫, 0.0, 63,*  5,  -9, 1,  2.3,②②①, 2, 3,Ｂペガサスヒｰロｰ, 72,浜中俊, 0.2, 71,   7,*  1, 2,  4.1, ⑪⑨, 2,11,Ａプロヴィナｰジュ, 89,佐藤哲, 0.3, 85,   6,  15, 5,  9.8, ⑩⑩
 3, 7,Ａユメミルテｰラｰ, 67,藤田伸, 0.6, 51,   1,  -7, 1,  2.9,⑤⑤⑤, 3,10,Ｅスペシャルロｰド, 64,国分恭, 0.0, 63,   3,  -6, 4,  9.8,⑤⑥⑤, 3,15,Ｅダンツブラボｰ, 70,池添謙, 0.4, 70,  11,  -7, 5,  9.1, ⑤④, 3, 1,Ｊカノヤザクラ, 81,小牧太, 0.4, 84,   6,  14,10, 25.1, ⑨⑨
 4,14,Ｅキモンピンキｰ, 58,高倉稜, 0.6, 51,   1,  -9, 7, 33.1,③④④, 4, 8,Ｈダイナミックソング, 58,熊沢重, 0.1, 63,   3,  -7, 8, 68.3,⑧④③, 4,14,Ｍシゲルケンシン, 58,国分恭, 0.7, 66,   3,*  1, 9, 33.9, ⑭⑫, 4,15,Ｋブロｰドストリｰト, 79,藤田伸, 0.4, 85,   9,  12, 4,  7.6, ⑧⑧
 5, 2,Ｌラクスクライン, 39,川島信, 0.7, 50,  -1,* -5,12,205.7,⑧⑨⑦, 5, 6,Ｂオリエンタルコｰル, 67,酒井学, 0.2, 65,   3,  -6, 3,  6.9,⑦⑦⑥, 5, 5,Ｈピサライコネン, 67,岩田康, 0.8, 68,  11, -10, 1,  3.8, ④③, 5,14,Ｒショウナンラノビア, 71,岩田康, 0.5, 83,* 14,   4,14, 98.9, ①①
 6,13,Ｃコンカラン, 62,川田将, 0.8, 51,  -1,* -6, 5,  8.8,⑦⑦⑧, 6,13,Ａエイユｰブラッサム, 69,池添謙, 0.4, 59,*  4, -11, 2,  3.2,③③②, 6, 4,Ｇシャイニｰブレｰヴ, 67,藤岡佑, 0.9, 65,   2,*  2,11, 49.2, ⑮⑬, 6,17,Ｆラドラｰダ, 84,安藤勝, 0.5, 86,   5,  16, 1,  4.0, ⑪⑪
 7,10,Ｉニシノグラビア, 49,渡辺薫, 1.1, 49,  -2,* -6,13,218.1,⑪⑪⑩, 7, 3,Ｇニシノバスタｰ, 59,高倉稜, 0.5, 59,   0,* -4,10, 93.4,⑩⑪⑩, 7, 2,Ｉイサミダンス, 62,和田竜, 0.9, 67,* 12, -12,13,206.1, ②②, 7,18,Ｐウエスタンビｰナス, 76,和田竜, 0.5, 83,* 12,   5,15,196.3, ②②
 8, 4,Ｂアドマイヤオンリｰ, 64,岩田康, 1.1, 48,*  3, -18, 2,  2.9,①①①, 8, 2,Ｄクジュウクシマ, 64,藤岡佑, 0.9, 59,   0,  -5, 5, 11.8,⑬⑫⑪, 8,13,Ｆケｰジｰアメリカン, 68,内田博, 1.1, 64,   6,  -5, 8, 27.8, ⑫⑪, 8, 4,Ｈベストロケｰション, 83,木幡初, 0.6, 82,  10,   6, 6, 12.2, ⑤⑥
