10年 1月30日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 1月30日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝2930m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1400m 3 歳500万 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝2000m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,稲荷特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ａクイｰンフラワｰ, 61,デムｰ,, 64,* -9,* 11, 1,  1.4, ①①, 1, 4, ナナヨｰヒマワリ,,北沢伸,,,,, 1,  1.7,③②②, 1, 4,Ａペガサスヒルズ, 74,安藤勝,, 73,  -2,* 13, 1,  2.8, ⑨⑨, 1, 6,Ｂコパノジングｰ, 85,藤岡佑,, 80,   7,* 16, 2,  4.2,⑦⑦⑤
 2, 5,Ｃスペシャルイモン, 55,幸英明, 1.3, 53, -13,   3, 3,  9.7, ⑤⑤, 2,14, スプリングカエサル,,白浜雄,194.7,,,, 3,  6.2,①①①, 2, 7,Ｊケイアイデイジｰ, 64,幸英明, 0.5, 70,   2,   4, 6, 16.3, ③③, 2,11,Ａマイネルプリマス, 86,和田竜, 0.0, 79,*  8,* 12, 4,  8.7,③③③
 3, 4,Ｆシゲルナガマサ, 47,熊沢重, 1.5, 53, -16,   5, 8,107.0, ⑧⑧, 3, 9, マサヤマト,,西谷誠,196.3,,,, 4, 10.6,⑥④③, 3,10,Ｃブラックイレブン, 66,金折知, 0.5, 71,   0,   7, 7, 26.5, ⑧⑦, 3, 5,Ｇエｰシンジｰライン, 75,芹沢純, 0.3, 74,* 10,   5, 6, 21.4,①①①
 4, 6,Ｄメイプルリボｰン, 53,佐久間, 1.5, 52, -16,   6, 5, 18.2, ⑨⑨, 4, 1, カシノヨウスケ,,高野容,198.2,,,, 6, 29.3,⑦⑤④, 4, 8,Ｇトイボックス, 66,武豊  , 0.6, 70,   0,   6, 5,  8.4, ⑦⑥, 4, 7,Ｅセンノカゼ, 78,武豊  , 0.6, 70,*  8,   2, 1,  2.2,②②②
 5, 1,Ｇアキノロｰレル, 47,大下智, 1.6, 50, -11,  -1, 7, 51.1, ③③, 5, 6, アスカノユタカ,,小坂忠,198.4,,,, 8, 66.6,②③⑥, 5, 1,Ｎコスモディエス, 55,大下智, 0.8, 68,  -3,*  8,14,338.5, ⑩⑩, 5, 4,Ｃメジロラフィキ, 80,川田将, 0.7, 73,   7,   5, 3,  4.5,⑤⑤⑥
 6, 2,Ｉライクキャロット, 40,高橋亮, 2.2, 46, -14,  -2, 9,149.2, ⑥⑥, 6, 7, タマモシンボル,,林満明,198.4,,,,13,215.6,⑩⑥⑤, 6, 5,Ｆイッツアチャンス, 66,和田竜, 0.9, 66,*  5,  -3, 9, 39.0, ①①, 6, 2,Ｆヒカリベルサイユ, 76,幸英明, 0.8, 72,   6,   8, 7, 40.5,⑪⑨⑨
 7, 7,Ｅオｰナｰズアイ, 51,福永祐, 2.2, 46,* -9,  -7, 6, 27.4, ②②, 7,12, ドンヤマト,,高田潤,199.3,,,, 7, 55.5,④⑦⑦, 7,13,Ｈバトルレッド, 66,藤岡佑, 1.0, 66,*  4,  -3, 4,  8.0, ②②, 7, 8,Ｉサイレンスゴｰルド, 69,渡辺薫, 0.9, 71,   4,   8,10,200.0,⑩⑩⑧
 8, 8,Ｂビップレジェンド, 59,渡辺薫, 2.4, 45, -14,  -4, 2,  3.9, ⑦⑦, 8, 2, ブロｰヒッタｰ,,金折知,199.3,,,,11,136.5,⑧⑨⑨, 8,15,Ｅペプチドソロモン, 66,武英智, 1.5, 61,   2,  -5, 2,  4.1, ⑤④, 8,10,Ｈキンセイポラリス, 71,永島太, 0.9, 72,   6,   7, 8, 81.2,⑧⑧⑦
 9, 9,Ｈポｰトサンダｰ, 42,和田竜, 2.5, 43, -10,  -9, 4, 17.0, ④④, 9, 8, スカイボｰイング,,岩崎祐,199.6,,,,10,132.1,⑨⑧⑧, 9,12,Ｋカシノピストン, 59,安部幸, 1.8, 61,  -6,   3,13,329.0, ⑫⑬, 9, 3,Ｋドリｰムストライド, 52,熊沢重, 1.1, 68,*  8,  -2, 9, 95.8,④④④
,,,,,,,,,,,,10,10, ユｰセイヤマトオｰ,,出津孝,201.1,,,, 5, 26.3,⑫⑪⑪,10, 9,Ｂナリタシｰズン, 70,池添謙, 1.9, 60,  -7,   3, 8, 36.7, ⑬⑫,10, 1,Ｊフィデリオ, 65,安部幸, 1.9, 61,   3,  -1,11,268.9,⑨⑪⑪
,,,,,,,,,,,,11, 3, ダイナミックグロウ,,熊沢重,202.6,,,, 2,  3.9,⑤⑩⑩,11,11,Ｄマリヲ, 66,渡辺薫, 2.6, 55,  -5,  -6,10, 63.8, ⑪⑪,11, 9,Ｄヴェルトマイスタｰ, 80,デムｰ, 2.0, 58,   6, -11, 5,  9.1,⑥⑥⑩
,,,,,,,,,,,,12, 5, ペルシステンテ,,今村康,204.8,,,, 9,123.4,⑪⑫⑫,12, 3,Ｉトウカイトキメキ, 64,デムｰ, 2.6, 53,  -9,  -2, 3,  4.5, ⑮⑮,,,,,,,,,,,,
,,,,,,,,,,,,13,13, マイコハン,,植野貴,206.7,,,,12,208.5,⑬⑬⑬,13, 6,Ｌモルフェキング, 57,浜中俊, 2.7, 54,  -8,  -2,15,486.6, ⑭⑭,,,,,,,,,,,,
