10年 8月21日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 8月21日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 4R  芝1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 7R  芝2200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  ダ1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,両津湾特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ａニシノステディｰ, 67,吉田豊,, 51,*  0,* -2, 1,  1.2, ②②, 1, 7,Ａカｰルファタｰレ, 67,後藤浩,, 71,   4,*  1, 1,  2.9, ⑮⑮, 1,14,Ｆブルｰムインハｰト, 68,武士沢,, 72,   4,*  4, 5,  9.6,⑬⑪⑪, 1,11,Ｅラタｰシュ, 79,蛯名正,, 79,   5,* 14, 6,  8.9,⑪⑪⑧
 2, 1,Ｅシグナルストｰン, 38,内田博, 0.7, 42,  -4,  -7, 2,  5.3, ③③, 2, 3,Ｅリトルジュン, 64,内田博, 0.5, 65,   5, -11, 3,  4.3, ⑧⑦, 2, 6,Ｃゴｰルドスパｰクル, 70,松岡正, 0.0, 74,   8,  -3, 1,  2.3,④④③, 2,14,Ａサクラヒストリｰ, 83,田中博, 0.1, 80,   5,* 13, 2,  5.3,⑨⑩⑪
 3, 8,Ｆノンパッサｰレ, 29,伊藤工, 0.9, 37,  -4, -10, 8, 81.9, ④④, 3,17,Ｌセレビュタント, 50,柴田善, 0.5, 65,   3,* -3, 9, 46.1, ⑱⑰, 3, 8,Ｅフレノカトリｰヌ, 69,村田一, 0.3, 71,   5,*  2, 7, 20.0,⑫⑬⑫, 3, 9,Ｆウインベルセルク, 79,吉田豊, 0.2, 75,*  8,   6, 1,  4.0,④③③
 4, 4,Ｇファンキｰトット, 27,村田一, 1.3, 31,  -8, -11, 5, 33.0, ⑦⑦, 4, 9,Ｆパンテｰル, 62,吉田豊, 0.6, 62,   7, -14, 4, 12.2, ⑩⑩, 4,13,Ｊクリノメダリスト, 63,内田博, 0.3, 72,   3,*  4, 8, 21.6,⑭⑭⑬, 4,15,Ｍクリストフォルス, 72,後藤浩, 0.4, 73,*  9,   2, 9, 19.2,①①①
 5, 7,Ｄエムエフコンコルド, 39,田辺裕, 1.4, 34,*  3, -23, 4, 16.8, ①①, 5, 2,Ｇクサナギノツルギ, 61,田中勝, 0.7, 64,   2,* -4, 6, 17.8, ⑯⑯, 5,12,Ｌオヤマノタイショウ, 61,木幡初, 0.3, 70,   7,  -5,11, 68.2,⑦⑥⑤, 5, 8,Ｄゴｰルデンルｰヴェ, 80,柴田善, 0.6, 75,   4,* 10, 5,  7.7,⑭⑭⑫
 6, 2,Ｋエｰシンボダイジュ, 21,後藤浩, 1.4, 30,  -7, -14, 7, 42.9, ⑤⑤, 6,12,Ｄデザｰトチャｰム, 65,北村宏, 0.9, 61,   4, -14, 5, 17.0, ⑫⑫, 6, 4,Ａエムオｰクラウン, 73,伊藤工, 0.5, 66,   6,  -7, 3,  7.6,⑥⑦⑦, 6, 3,Ｊカネトシコウショウ, 75,内田博, 0.6, 74,   8,   4, 4,  7.3,③④④
 7,11,Ｂラグランダム, 40,北村宏, 1.4, 31,  -6, -14, 3, 14.5, ⑥⑥, 7,15,Ｈサウンドクルｰズ, 60,平野優, 0.9, 59,*  9, -26, 7, 19.5, ①①, 7, 2,Ｈダンシングムｰン, 65,蛯名正, 0.6, 67,   6,  -6, 6, 12.3,⑧⑨⑨, 7, 2,Ｂヒシパｰフェクト, 82,田辺裕, 0.9, 72,   6,   4, 3,  6.8,⑥⑥⑥
 8, 5,Ｊベストクラウン, 22,平野優, 1.6, 27,  -8, -15, 9,237.7, ⑧⑧, 8,10,Ｃグロッタアズｰラ, 65,蛯名正, 0.9, 59,   7, -20, 2,  3.7, ⑤⑤, 8, 9,Ｎトレノジャイアント, 46,小野寺, 0.7, 64,* 12, -28,14,250.0,①①①, 8,12,Ｇフェイマステイル, 78,江田照, 0.9, 73,   7,   4, 7,  9.8,⑦⑤⑤
 9, 9,Ｃデルマラクシュミｰ, 39,郷原洋, 2.6, 16, -14, -21, 6, 35.6, ⑪⑪, 9,11,Ｉスｰパｰティチャｰ, 58,小林淳, 1.0, 58,*  8, -23,14,111.4, ⑥⑥, 9,10,Ｉアルウェット, 64,大庭和, 0.9, 64,   6, -11,12,172.7,⑨⑩⑩, 9, 7,Ｃタマモスクワｰト, 80,村田一, 1.1, 72,   5,   4,10, 19.8,⑧⑨⑨
10,10,Ｉコスモキンプウ, 22,津村明, 2.7, 15, -14, -23,11,300.2, ⑩⑩,10, 4,Ｊジェイケイオペラ, 55,村田一, 1.1, 59,   3, -14,17,301.3, ⑭⑭,10, 1,Ｂネオヴェリｰブル, 72,北村宏, 1.1, 62,   4, -10, 2,  5.1,⑪⑫⑭,10, 1,Ｌヒロノキョウシュウ, 74,小林淳, 1.3, 70,   4,   4,13,254.7,⑫⑫⑬
11, 6,Ｈネイチャｰナタｰレ, 25,千葉直, 3.1, 10, -12, -31,10,297.6, ⑨⑨,11, 1, スイｰトゲイナｰ,---,木幡初, 1.4, 56,   3, -17,12, 56.7, ⑬⑬,11,11,Ｇヤマニンアｰシｰ, 67,田辺裕, 1.4, 58,   6, -19, 9, 24.5,⑩⑧⑧,11, 5,Ｎヒシウィンザｰ, 69,郷原洋, 1.7, 67,   6,  -2,15,433.4,⑤⑦⑦
,,,,,,,,,,,,12, 8,Ｂカリナン, 66,江田照, 1.5, 54,   5, -26, 8, 23.9, ⑨⑨,12, 3,Ｋユキノセントウ, 63,後藤浩, 1.5, 60,   8, -22,10, 60.4,⑤⑤⑥,12,13,Ｋエプソムスタウト, 74,西田雄, 1.8, 68,   6,  -3,14,329.6,⑬⑧⑩
,,,,,,,,,,,,13, 5, パティｰナスルｰ,---,小野次, 2.0, 49,   4, -29,16,178.0, ⑪⑪,13, 7,Ｄワシャモノタリン, 69,柴田善, 1.6, 56,* 12, -39, 4,  8.5,②②②,13,10,Ｉベロｰチェ, 76,田中勝, 1.8, 67,   5,   0,12,136.2,⑩⑬⑭
,,,,,,,,,,,,14,14,Ｏダンスアムｰル, 45,田辺裕, 2.0, 48,*  8, -39,15,175.3, ③④,14, 5,Ｍダブルダンス, 57,田中勝, 1.9, 56,   7, -30,13,230.6,③③④,14, 6,Ｈメジロオマリｰ, 77,大庭和, 2.0, 66,   0,   8,11, 66.3,⑮⑮⑮
,,,,,,,,,,,,15,13,Ｍアルビダ, 48,津村明, 2.1, 48,   4, -32,13,109.6, ⑦⑧,,,,,,,,,,,,,15, 4,Ｏタイガｰマスク, 67,北村宏, 2.8, 57,*  8, -16, 8, 17.3,②②②
,,,,,,,,,,,,16,16,Ｐシルクレモネｰド, 10,水口優, 2.2, 47,   1, -27,18,352.7, ⑰⑱,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17, 6,Ｋルビｰエメラルド, 52,田中博, 3.2, 39,*  8, -55,10, 48.9, ④②,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18,18,Ｎサイモンドルチェ, 48,嘉藤貴, 4.7, 12,   7, -76,11, 56.3, ②③,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:0),,,,,,,,,,,
単勝:120円 複勝:03=100円 01=130円 08=820円 枠連:210円,,,,,,,,,,,,"単勝:290円 複勝:07=140円 03=160円 17=1,030円 枠連:590円",,,,,,,,,,,,単勝:960円 複勝:14=270円 06=130円 08=440円 枠連:620円,,,,,,,,,,,,"単勝:890円 複勝:11=270円 14=210円 09=140円 枠連:1,860円",,,,,,,,,,,
"馬連:200円 ワイド:01-03=150円 03-08=990円 01-08=1,640円",,,,,,,,,,,,"馬連:660円 ワイド:03-07=300円 07-17=2,030円 03-17=2,790円",,,,,,,,,,,,"馬連:910円 ワイド:06-14=420円 08-14=1,690円 06-08=750円",,,,,,,,,,,,"馬連:2,620円 ワイド:11-14=860円 09-11=680円 09-14=460円",,,,,,,,,,,
"馬単:250円 3連複:3,240円 3連単:6,330円",,,,,,,,,,,,"馬単:1,190円 3連複:10,190円 3連単:38,110円",,,,,,,,,,,,"馬単:2,980円 3連複:4,690円 3連単:25,820円",,,,,,,,,,,,"馬単:5,750円 3連複:3,450円 3連単:25,480円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 5R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■11R  芝1400m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ新潟,,,,,,,,,,,,柏崎特別,,,,,,,,,,,,長岡ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｊピサノシャルロット, 53,北村宏,, 64,   3,*  0,10, 37.3,⑪⑪⑩, 1,15, サｰストンサブリナ,---,小野寺,, 73,*  6,*  0, 3,  5.4, ①①, 1, 8,Ａアドマイヤシャトル, 84,内田博,, 85,  10,* 14, 1,  1.3,⑩⑨⑤, 1,13,Ｄファイアｰフロｰト, 80,津村明,, 76,* 11,   0, 8, 16.0, ①①
 2, 9,Ｃレチタティｰヴォ, 63,後藤浩, 0.2, 63,   6,* -4, 3,  5.2,⑨⑦⑥, 2,13, ノｰザンソング,---,梶晃啓, 1.8, 55,*  0,  -9, 1,  4.1, ③③, 2, 1,Ｃアグネスアンカｰ, 78,田中勝, 0.6, 79,  11,*  7, 3, 13.7,⑦⑥④, 2,18,Ｃリビアｰモ, 81,内田博, 0.0, 77,   6,   6, 1,  4.4, ⑥⑥
 3, 5,Ｅグランデタキオン, 60,松岡正, 0.3, 63,   4,* -4, 5, 12.1,⑩⑨⑨, 3, 8, トｰホウジャパン,---,江田照, 2.0, 48, -13,*  0, 2,  4.5, ⑦⑦, 3,12,Ｉソルモンタｰレ, 71,小林慎, 1.6, 72,* 17, -13, 9, 57.9,②①①, 3, 7,Ｍユキノハリケｰン, 76,後藤浩, 0.0, 76,   5,   8, 4,  8.8, ⑦⑦
 4,13,Ａリバｰダンス, 71,田中勝, 0.4, 62,   6,  -7, 1,  2.8,⑦⑥⑤, 4,10, ジャｰグラット,---,田辺裕, 2.3, 52,*  2, -15, 9, 18.2, ②②, 4, 5,Ｆジｰガｰトップ, 72,松岡正, 1.7, 73,   7,   5, 5, 23.6,⑬⑪⑪, 4, 8,Ｎエｰブダッチマン, 76,吉田豊, 0.0, 76,*  8,   6, 5,  8.8, ②②
 5, 1,Ｄハネダボサツ, 62,武士沢, 0.8, 55,*  9, -18, 2,  5.0,③③③, 5,12, コスモオルバｰス,---,伊藤工, 2.9, 39, -22,*  1,10, 40.1, ⑫⑫, 5, 2,Ｇフｰガ, 72,後藤浩, 2.2, 68,   9,  -2, 4, 13.9,⑨⑩⑩, 5,16,Ｅサザンギャラクシｰ, 80,柴田善, 0.0, 77,   1,* 13, 9, 17.9, ⑭⑭
 6, 3,Ｆジョウテンデジタル, 59,平野優, 1.1, 58,   5, -12, 8, 21.5,⑥⑧⑧, 6, 9, トｰセンストｰリｰ,---,木幡初, 3.0, 40, -10, -10, 4,  8.5, ⑤⑤, 6, 4,Ｄトレジャｰバトル, 76,柴田善, 2.3, 68,  12, -10, 2,  6.6,⑤④③, 6, 5,Ｆアップルサイダｰ, 80,五十嵐, 0.1, 76,   2,  10,17,126.7, ⑫⑫
 7, 4,Ｇトウカイカラｰ, 58,吉田豊, 1.7, 52,   7, -21, 9, 24.9,⑤④④, 7, 7, ミズｰラ,---,小野次, 3.9, 32, -17, -12,11, 44.1, ⑩⑨, 7, 3,Ｂレアメタル, 79,村田一, 2.5, 69,   4,   4, 8, 49.5,⑮⑮⑮, 7,15,Ｌシセイカグヤ, 76,松岡正, 0.2, 75,   4,   8, 3,  7.5, ⑪⑪
 8, 6,Ｉリンガスバロン, 56,柴田善, 1.8, 53,   4, -16, 6, 15.1,⑬⑩⑪, 8, 2, タマモクロノス,---,大江原, 4.0, 31, -18, -12,15,138.7, ⑪⑩, 8, 7,Ｎメイショウデジレ, 67,小島太, 2.7, 67,   6,  -1,14,302.9,⑭⑭⑭, 8,12,Ｉアドマイヤヘッド, 78,武士沢, 0.2, 76,   0,* 13,14, 84.3, ⑰⑰
 9,14,Ｂテンシノネオ, 66,江田照, 1.9, 51,* 10, -30, 4,  6.5,②②①, 9,14, トｰセンコマンド,---,国分優, 4.2, 30, -10, -21,13, 79.1, ⑥⑥, 9,15,Ｅユニヴァｰスガイ, 74,二本柳, 2.7, 66,  10,  -9, 7, 40.3,⑧⑧⑨, 9,17,Ｏダブルウェッジ, 75,江田照, 0.3, 73,   5,   4,11, 25.2, ⑧⑧
