10年11月14日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年11月14日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  ダ1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝1600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝2200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,ﾄﾞﾝｶｽﾀｰｶｯﾌﾟ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｃヤマノサファイア, 54,高倉稜,, 60,   0,*  3, 2,  5.3, ④⑤, 1,10, ワンダｰフォルテ,---,武豊  ,, 64,* -8,*  8, 2,  3.9, ②②, 1,14,Ｋシエラネヴァダ, 66,デムｰ,, 79,  -1,* 13, 3,  7.5, ⑩⑪, 1, 6,Ｈロｰドオブザリング, 72,池添謙,, 80,   8,   1, 5, 19.0,④③②
 2,12,Ａサカジロゴｰルド, 70,野元昭, 0.2, 58,*  1,  -1, 1,  1.6, ②②, 2, 2, サトノパイレｰツ,---,福永祐, 0.1, 64,  -9,*  8, 1,  1.9, ③③, 2,12,Ｄミヤジシェンロン, 75,後藤浩, 0.0, 77,*  4,   6, 8, 22.7, ④④, 2, 2,Ｂカネトシパサｰジュ, 80,蛯名正, 0.2, 80,   6,*  7, 4, 14.1,⑩⑩⑩
 3,11,Ｊサイキョウイシヤマ, 40,川須栄, 0.5, 56,  -2,   1, 8, 78.8, ⑦⑧, 3, 8, トルベジｰノ,---,高倉稜, 1.3, 52,* -6,  -5, 4,  7.0, ①①, 3,17,Ａダノンスパシｰバ, 78,蛯名正, 0.2, 77,  -3,* 15, 1,  2.2, ⑮⑮, 3, 3,Ａハｰトビｰトソング, 80,福永祐, 0.3, 78,   7,   1, 1,  1.5,⑨⑨⑦
 4, 6,Ｂオウエイロブロイ, 59,蛯名正, 0.6, 56,  -4,*  4, 4, 14.0, ⑨⑨, 4, 1, アドマイヤクイｰナ,---,川田将, 1.5, 51, -10,  -4, 5, 15.8, ④④, 4,11,Ｏリヴザルト, 60,ムｰア, 0.2, 76,  -1,  10, 9, 38.3, ⑪⑩, 4, 8,Ｃサンマルエミネム, 79,野元昭, 0.7, 74,* 10, -10, 9, 54.9,③④④
 5, 2,Ｆルｰジュマジック, 45,浜中俊, 0.7, 55,  -3,   0, 3,  7.5, ⑧⑦, 5, 3, メイショウキスゲ,---,武幸四, 2.2, 48, -13,  -5, 9, 60.9, ⑦⑦, 5, 8,Ｍサクラエクスプロｰ, 63,ルメｰ, 0.2, 75,   2,   5, 4,  7.8, ⑤⑤, 5, 4,Ｇトレジャｰハント, 73,デムｰ, 0.8, 73,   8,  -9, 2,  5.2,⑥⑥⑤
 6, 1,Ｈキングウェリナ, 40,後藤浩, 1.3, 49,*  2, -11, 5, 15.4, ①①, 6, 7, ヒットナンバｰ,---,幸英明, 2.5, 42, -11, -11, 8, 48.9, ⑤⑤, 6,10,Ｂマサノウイズキッド, 78,四位洋, 0.3, 75,   2,   4, 5,  9.9, ⑨⑥, 6, 1,Ｄテンシノマズル, 75,中村将, 0.9, 72,* 10, -15, 3,  6.7,①①①
 7, 7,Ｄフレンドハｰバｰ, 47,安部幸, 1.5, 49,  -2,  -9, 7, 20.9, ⑥③, 7, 6, ブライ,---,デムｰ, 3.1, 36, -14, -14, 3,  6.1, ⑧⑧, 7, 6,Ｈキャニオンブラウン, 70,幸英明, 0.3, 77,  -5,* 16,10, 42.3, ⑯⑯, 7, 9,Ｉセンノカゼ, 71,ムｰア, 1.3, 68,* 10, -20, 8, 50.0,②②③
 8,13,Ｌマイネルティンラン, 36,ムｰア, 1.8, 47,  -6,  -5, 6, 15.9, ⑩⑩, 8, 4, マオイモン,---,和田竜, 3.2, 37, -16, -12, 7, 48.4, ⑨⑨, 8,18,Ｅクレバｰサンデｰ, 74,高倉稜, 0.5, 73,  -2,   9, 6, 22.1, ⑬⑬, 8,10,Ｅハｰドダダンダン, 73,藤岡康, 1.4, 69,   9, -17, 7, 29.8,⑤⑤⑥
