10年 8月22日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 8月22日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1500m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,, 9, 2, クレバｰジブラル,---,丸山元, 2.4, 33, -18, -16, 6, 26.5,⑧⑩⑩, 9, 8,Ｄウルトライエロｰ, 73,長谷川, 2.0, 57,   0,  -4, 9,107.9,⑦⑤⑥, 9, 5,Ｅラグナロク, 73,丹内祐, 1.8, 63,   7,  -7, 7, 18.8,④⑤⑦
,,,,,,,,,,,,10, 5, メイショウモンシロ,---,武幸四, 2.8, 28, -16, -26,10, 56.6,⑦⑦⑧,10,11,Ｆピンクバｰディｰ, 68,丸田恭, 2.8, 54,  -2,  -7, 8, 70.8,⑫⑨⑪,10, 4,Ｉマイネルウィット, 70,大野拓, 1.9, 58,*  8, -10, 9, 45.3,②②⑤
,,,,,,,,,,,,11, 9, クレバｰウエスタン,---,中舘英, 2.9, 30, -18, -22,11,100.0,⑪⑪⑪,11, 9,Ｌアスカルディ, 60,宮崎北, 2.9, 53,*  1, -12,12,265.9,②③④,11,10,Ｄトｰセンヤッテキタ, 74,丸田恭, 2.3, 58,   6, -10, 5,  8.3,⑨⑧⑨
,,,,,,,,,,,,12, 8, レッフェルン,---,吉田隼, 2.9, 26, -14, -31, 8, 43.7,④⑤⑥,12, 5,Ｊビバロングライフ, 64,岩田康, 3.9, 49,  -2, -15,10,136.6,⑩⑪⑩,12,11,Ｌシルクフリュｰゲル, 49,西村太, 3.3, 52,   1,  -9,12,190.7,⑫⑫⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-21 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:1),,,,,,,,,,,
単勝:230円 複勝:08=110円 01=110円 04=150円 枠連:0円,,,,,,,,,,,,"単勝:3,800円 複勝:12=650円 10=110円 04=2,040円 枠連:460円",,,,,,,,,,,,"単勝:390円 複勝:12=210円 01=400円 10=630円 枠連:1,870円",,,,,,,,,,,,"単勝:500円 複勝:02=220円 12=360円 08=240円 枠連:3,860円",,,,,,,,,,,
馬連:210円 ワイド:01-08=130円 04-08=200円 01-04=230円,,,,,,,,,,,,"馬連:2,220円 ワイド:10-12=910円 04-12=19,660円 04-10=3,180円",,,,,,,,,,,,"馬連:2,020円 ワイド:01-12=650円 10-12=1,070円 01-10=2,060円",,,,,,,,,,,,"馬連:3,870円 ワイド:02-12=1,200円 02-08=730円 08-12=960円",,,,,,,,,,,
"馬単:470円 3連複:390円 3連単:1,550円",,,,,,,,,,,,"馬単:6,560円 3連複:67,700円 3連単:534,510円",,,,,,,,,,,,"馬単:3,640円 3連複:9,100円 3連単:35,470円",,,,,,,,,,,,"馬単:6,330円 3連複:8,060円 3連単:51,980円",,,,,,,,,,,
■ 2R  ダ1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 5R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 8R  芝1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■11R  ダ1700m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ﾌｨﾘﾋﾟﾝﾄﾛﾌｨｰ,,,,,,,,,,,,ﾏｶｵｼﾞｮｯｷｰｸﾗﾌﾞﾄﾛﾌｨｰ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｂダイワプライド, 61,安藤勝,, 68,   2,*  6, 1,  2.4, ④④, 1, 5,Ｇテイエムスリリング, 55,藤岡佑,, 63,   5,* -6, 7, 23.1,⑩⑩⑤, 1, 6,Ｊメジロラフィキ, 74,武豊  ,, 86,  15,   6, 7, 20.0,④⑤③, 1,11,Ｌビタｰスウィｰト, 75,丹内祐,, 81,  11,*  8, 8, 28.0,⑤⑤③
 2, 8,Ｃジェラルドエビス, 59,勝浦正, 0.4, 66,*  7,  -1, 3,  7.7, ②①, 2,11,Ｉカネトシビｰンズ, 53,柴原央, 0.2, 63,   4,* -4,11,163.6,⑪⑫⑨, 2, 4,Ｂイチブン, 82,横山典, 0.2, 85,   8,* 17, 5,  7.8,⑩⑨⑨, 2, 5,Ｃマッドマックス, 82,四位洋, 0.4, 76,  10,   5, 5, 12.3,⑦⑥④
 3, 1,Ｆキｰマン, 49,宮崎北, 0.7, 60, -11,*  8, 9, 68.0, ⑨⑨, 3, 9,Ａフレｰヴァリスト, 67,横山典, 0.5, 57,* 10, -19, 1,  1.5,③②②, 3,11,Ｇレインボｰダリア, 77,藤田伸, 0.3, 84,  13,   6, 3,  5.9,⑧⑧⑦, 3, 1,Ｅグラスブラスト, 82,田中勝, 0.4, 77,  10,   6, 1,  4.0,⑧⑦⑤
 4, 6,Ｉモノリス, 45,上村洋, 0.8, 62,  -7,   5, 5, 19.0, ⑧⑧, 4,10,Ｅセイカミカワ, 57,柴山雄, 0.6, 57,   7, -14,10, 64.2,⑨④④, 4, 8,Ｅトモロポケット, 79,吉田隼, 0.3, 82,  16,   0, 6, 10.1,⑤④⑤, 4, 4,Ｆナムラビスマルク, 81,藤岡佑, 0.5, 77,   7,* 10,11, 69.7,⑫⑫⑫
 5, 5,Ａキャニオンルナ, 70,柴山雄, 1.0, 57,  -4,   1, 2,  2.4, ⑥⑦, 5, 6,Ｋニシエイビック, 50,大野拓, 0.7, 56,   6, -12, 6, 23.0,⑦⑨⑧, 5, 3,Ｋマイネルスカット, 74,丹内祐, 0.3, 84,* 17,  -3,10, 74.5,②②②, 5,13,Ｂアンヴェイル, 84,横山典, 0.7, 74,   9,   6, 3,  4.5,⑨⑪⑩
 6, 3,Ｊナツミプリンセス, 40,丸山元, 1.0, 59,  -6,   3, 8, 49.0, ⑦⑥, 6, 1,Ｃニシノユｰトピア, 58,三浦皇, 0.9, 57,   7, -15, 5, 21.3,⑥⑤③, 6, 7,Ｄダノンヒデキ, 80,安藤勝, 0.7, 82,   8,* 12, 2,  3.5,⑨⑩⑩, 6,10,Ａリｰガルスキｰム, 84,勝浦正, 0.7, 73,* 12,  -1,10, 31.4,①①①
 7,11,Ｄニジイロノホシ, 58,中舘英, 1.2, 59,*  6,  -7, 6, 20.1, ③③, 7, 7,Ｈアドバンステイオｰ, 55,丹内祐, 1.3, 56,   6, -16,12,200.3,⑧⑧⑦, 7, 5,Ｈリアルハヤテ, 76,丸山元, 0.8, 77,  12,   1, 9, 68.6,⑦⑦⑥, 7, 7,Ｊタイセイレジェンド, 78,芹沢純, 0.9, 71,* 11,  -2, 4,  4.9,③②②
 8, 9,Ｅリネンダイドウ, 52,丸田恭, 1.3, 57,   0,  -4, 7, 24.3, ⑤⑤, 8, 3,Ｌキョウワバｰニング, 43,川須栄, 1.9, 51,   5, -20, 9, 34.3,⑬⑪⑩, 8,10,Ｃバシレウス, 81,三浦皇, 0.8, 78,  13,  -3, 1,  3.4,⑥⑥⑧, 8,12,Ｉメジロティモン, 79,三浦皇, 1.1, 73,   6,   7, 7, 20.2,⑬⑬⑬
 9, 2, ルアｰルビアサ,---,丹内祐, 1.4, 53, -17,   6,12,221.9, ⑫⑪, 9, 4,Ｊグレｰスヒロイン, 52,荻野琢, 1.9, 52,   3, -17,13,244.4,⑫⑬⑪, 9, 2,Ａメイショウマリア, 83,武幸四, 0.9, 75,* 17, -13, 4,  6.2,①①①, 9, 9,Ｇマイグロｰリアス, 81,長谷川, 1.1, 70,   9,   3,12,133.7,⑪⑩⑧
10,12,Ｇベルモントフｰガ, 49,北村浩, 1.5, 53, -14,   3,11,114.8, ⑪⑩,10, 8,Ｆエドノヤマト, 56,丸田恭, 2.4, 47,   8, -31, 2,  5.7,②③⑥,10, 9,Ｆケｰジｰハッピｰ, 77,中舘英, 1.1, 74,  16, -13, 8, 30.8,③③④,10, 6,Ｍデルマリゲル, 73,吉田隼, 1.1, 74,   9,   2,13,139.8,⑩⑧⑥
11, 4,Ｈフィッツナウ, 45,岩田康, 3.1, 40,*  7, -25, 4, 12.0, ①②,11, 2,Ｄケンプトンパｰク, 57,田中勝, 3.3, 41,* 11, -43, 4, 12.3,①①①,11, 1,Ｉディｰエスハリアｰ, 74,勝浦正, 1.6, 71,   4,   6,11,110.4,⑪⑪⑪,11, 3,Ｄメダリアビｰト, 82,岩田康, 1.5, 72,   9,  -1, 2,  4.0,⑥⑨⑪
12,10,Ｋエアウィペット, 32,吉田隼, 3.9, 29, -12, -20,10, 92.4, ⑩⑫,12,12,Ｍメゾンドブルボン, 25,勝浦正, 4.3, 34,   6, -45, 8, 27.7,④⑥⑫,,,,,,,,,,,,,12, 2,Ｈアｰトオブビｰン, 79,川須栄, 2.6, 62,  11, -13, 9, 28.2,②④⑨
,,,,,,,,,,,,13,13,Ｂインピッシュハｰト, 60,丸山元, 5.0, 33,   6, -50, 3, 10.9,⑤⑦⑬,,,,,,,,,,,,,13, 8,Ｋセトノメジャｰ, 77,古川吉, 2.9, 58,* 11, -18, 6, 14.2,④③⑦
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:-15 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:1),,,,,,,,,,,
単勝:240円 複勝:07=140円 08=240円 01=940円 枠連:890円,,,,,,,,,,,,"単勝:2,310円 複勝:05=340円 11=1,550円 09=110円 枠連:10,750円",,,,,,,,,,,,"単勝:2,000円 複勝:06=600円 04=290円 11=220円 枠連:1,120円",,,,,,,,,,,,"単勝:2,800円 複勝:11=730円 05=300円 01=200円 枠連:5,540円",,,,,,,,,,,
"馬連:960円 ワイド:07-08=410円 01-07=2,190円 01-08=3,850円",,,,,,,,,,,,"馬連:54,030円 ワイド:05-11=7,860円 05-09=470円 09-11=2,400円",,,,,,,,,,,,"馬連:7,630円 ワイド:04-06=2,240円 06-11=2,040円 04-11=870円",,,,,,,,,,,,"馬連:11,850円 ワイド:05-11=2,850円 01-11=2,070円 01-05=1,090円",,,,,,,,,,,
"馬単:1,520円 3連複:15,520円 3連単:41,710円",,,,,,,,,,,,"馬単:150,720円 3連複:17,850円 3連単:307,540円",,,,,,,,,,,,"馬単:18,840円 3連複:14,620円 3連単:119,670円",,,,,,,,,,,,"馬単:30,160円 3連複:19,540円 3連単:194,480円",,,,,,,,,,,
■ 3R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 6R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 9R  芝2000m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■12R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,
,ﾒｲｸﾃﾞﾋﾞｭｰ札幌,,,,,,,,,,,,,,,,,,,,,,,,札幌記念 ＧⅡ,,,,,,,,,,,,ｲﾝﾃﾞｨｱﾄﾛﾌｨｰ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16, ギリギリヒｰロｰ,---,武幸四,, 55, -11,*  4,10, 35.6, ⑬⑪, 1,16,Ｇデュリュクス, 55,柴山雄,, 69,   2,*  2, 8, 16.7,⑭⑪⑩, 1, 6,Ａアｰネストリｰ, 95,佐藤哲,, 92,* 17,   9, 1,  2.4,③③③, 1,14,Ｆラヴインザダｰク, 65,安藤勝,, 68,   0,   4, 4,  7.5, ⑨⑦
 2, 4, デルマジュンコ,---,四位洋, 0.2, 59,*  6, -15, 3,  6.0, ①①, 2, 1,Ｂチャｰリｰポイント, 66,藤田伸, 0.0, 69,   0,*  3, 3,  7.6,⑫⑫⑨, 2,10,Ｋロジユニヴァｰス, 83,横山典, 0.3, 89,* 17,   3, 5,  9.2,②②②, 2, 9,Ｄソムニア, 69,勝浦正, 0.0, 68,   2,   3, 2,  4.4, ⑦⑨
 3, 9, ソルトキャスケｰド,---,服部茂, 0.6, 49,  -4, -12,13, 92.6, ⑩⑩, 3,12,Ｊアドマイヤキャロル, 54,勝浦正, 0.2, 64,*  4, -10, 6, 14.2,④③②, 3, 5,Ｎアクシオン, 82,岩田康, 0.5, 90,  16,   4, 7, 18.1,⑥⑥⑤, 3, 4,Ｃプリンセスパトラ, 69,三浦皇, 0.0, 68,  -5,*  9, 3,  7.0, ⑫⑪
 4, 3, ファｰマクリｰム,---,佐藤哲, 0.6, 51,   2, -17,11, 42.4, ⑤⑤, 4,10,Ｌバルトｰロ, 51,四位洋, 0.3, 64,   3,  -8, 5, 11.9,⑦⑦④, 4, 8,Ｂヒルノダムｰル, 93,藤田伸, 0.5, 90,  16,   6, 2,  5.5,⑨⑧⑪, 4,10,Ａグレナディｰン, 73,上村洋, 0.1, 66,   3,   0, 1,  3.3, ⑤③
 5,13, チェリｰビスティｰ,---,藤岡佑, 0.7, 50,   2, -18, 8, 21.7, ⑦⑦, 5, 3,Ａメイショウピゴット, 67,安藤勝, 0.3, 65,   1,  -5, 2,  3.7,⑨⑨⑧, 5,15,Ｌジャミｰル, 83,安藤勝, 0.7, 90,  15,   6, 4,  8.8,⑫⑫⑫, 5, 1,Ｂアイアンデュｰク, 71,丸山元, 0.2, 64,   0,   1, 6,  9.0, ⑧⑧
 6,11, リキアイギムレット,---,藤田伸, 0.7, 51,*  3, -19, 1,  2.8, ③③, 6, 6,Ｉスマｰトクロｰザｰ, 55,上村洋, 0.5, 64,*  4, -12,16,171.6,③④⑤, 6, 1,Ｄマイネルスタｰリｰ, 91,三浦皇, 0.7, 89,  15,   6, 3,  6.9,⑪⑪⑧, 6, 3,Ｅオリオンザブラック, 68,大野拓, 0.3, 65,  -3,   4, 5,  8.0, ⑩⑩
 7, 1, タケショウデオ,---,吉田隼, 0.8, 46,  -5, -13, 6, 15.6, ⑨⑨, 7, 7,Ｆサクラルｰセント, 57,岩田康, 0.5, 63,   2, -11, 1,  2.8,⑥⑥⑥, 7, 9,Ｃマイネルキッツ, 92,松岡正, 0.8, 89,  11,* 13, 6, 15.5,⑮⑮⑭, 7,13,Ｍプリティガｰル, 49,黛弘人, 0.4, 62,   3,  -4, 9, 49.5, ⑥⑥
 8, 8, アップタｰン,---,丸山元, 0.9, 47,*  4, -24, 4,  6.8, ②②, 8, 2, ママドントプリｰチ,---,三浦皇, 0.8, 61,  -3,  -3,11, 53.3,⑬⑬⑪, 8,14,Ｏエイシンドｰバｰ, 81,藤岡佑, 0.8, 90,  11,* 15,16,326.3,⑯⑯⑯, 8,15, マキノルｰチェ,---,服部茂, 0.4, 62,* 12, -13, 8, 21.5, ①①
 9, 6, カシノエベレスト,---,川須栄, 0.9, 47,   1, -21, 9, 33.7, ⑥⑥, 9, 9,Ｃケイエスアイアイ, 66,池添謙, 0.8, 60,*  6, -19, 7, 16.3,①①①, 9, 7,Ｈフィｰルドベアｰ, 86,秋山真, 1.0, 84,* 17,  -4,11, 60.1,⑤⑤⑥, 9, 7,Ｊカネコメリッチ, 58,北村浩, 0.5, 60,  -5,   2,10, 57.6, ⑬⑬
10, 2, ニシエイコメット,---,芹沢純, 1.1, 45,   2, -23, 7, 19.1, ④④,10,11,Ｈサンデｰキリシマ, 55,川須栄, 0.9, 60,  -3,* -1, 9, 23.9,⑮⑯⑭,10, 2,Ｉエアジパング, 86,吉田隼, 1.0, 85,  15,   1,14,140.1,⑧⑩⑩,10, 2,Ｉメジロアｰスラ, 58,長谷川, 0.6, 60,  -9,*  5,12, 99.2, ⑯⑮
11,15, ショウナンタスク,---,岩田康, 1.1, 43, -12, -11, 2,  5.0, ⑪⑫,11, 4,Ｅミリッシュ, 59,丸山元, 0.9, 58,  -3,  -4,12, 78.7,⑯⑮⑫,11, 4,Ｆマンハッタンスカイ, 86,武幸四, 1.1, 83,* 17,  -6,13,126.1,④④④,11,11,Ｇエイトスタｰ, 63,丸田恭, 0.6, 59,  -5,   1,11, 87.7, ⑭⑭
12,10, セイルアゲン,---,柴山雄, 1.1, 45, -22,*  0,16,226.4, ⑭⑭,12,13,Ｄアナンダ, 62,藤岡佑, 1.4, 54,   2, -22, 4, 11.6,⑧⑧⑦,12, 3,Ｅドリｰムサンデｰ, 87,池添謙, 1.1, 83,* 19, -10, 8, 22.7,①①①,12, 8,Ｌカラフルパレット, 50,宮崎北, 0.6, 60,*  7, -11,14,124.0, ②②
13, 7, アドマイヤセリナｰ,---,池添謙, 1.7, 36, -12, -18,12, 67.6, ⑫⑬,13, 8,Ｋアグネスアンデス, 54,長谷川, 1.7, 51,   1, -24,10, 47.1,⑪⑩⑮,13,11,Ｇシャドウゲイト, 86,田中勝, 1.2, 82,  16,  -4,10, 29.4,⑩⑨⑨,13, 6, シセイアスカ,---,坂下秀, 0.7, 58,  -3,  -3,15,145.8, ⑪⑫
14,14, ウイントゥルｰラヴ,---,古川吉, 1.7, 37,  -1, -28, 5, 10.2, ⑧⑧,14,15,Ｎレディスピカ, 49,中舘英, 2.2, 47,*  5, -39,13, 87.6,②②③,14,16,Ｊヤマニンキングリｰ, 84,武豊  , 1.2, 82,  16,  -5, 9, 23.3,⑦⑦⑦,14, 5,Ｎディｰズハイビガｰ, 44,田中勝, 0.8, 57,   4, -11,13,103.8, ③④
15,12, タツフレンチ,---,荻野琢, 2.9,  2, -29, -17,15,180.9, ⑯⑮,15, 5,Ｏトｰアプリマドンナ, 38,田中勝, 3.0, 41,  -1, -35,14,111.7,⑩⑭⑯,15,12,Ｐサクラオリオン, 79,四位洋, 1.2, 84,  13,   3,12, 77.3,⑭⑭⑮,15,16,Ｋヨイチラブソング, 54,丹内祐, 0.8, 58,  -8,   1,16,235.4, ⑮⑯
16, 5, クリスドリｰム,---,丸田恭, 3.5, -6, -29, -25,14,124.8, ⑮⑯,16,14,Ｍクリｰンチェンジ, 50,丸田恭, 3.1, 40,*  4, -49,15,112.1,⑤⑤⑬,16,13,Ｍベルモントルパン, 83,丸田恭, 1.3, 82,  13,   2,15,301.7,⑬⑬⑬,16,12,Ｈダノンフリｰデン, 59,藤田伸, 1.6, 46,   4, -21, 7, 12.0, ④⑤
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:92 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-2),,,,,,,,,,,
"単勝:3,560円 複勝:16=1,000円 04=240円 09=2,000円 枠連:1,240円",,,,,,,,,,,,"単勝:1,670円 複勝:16=490円 01=260円 12=430円 枠連:5,640円",,,,,,,,,,,,単勝:240円 複勝:06=130円 10=380円 05=430円 枠連:720円,,,,,,,,,,,,単勝:750円 複勝:14=200円 09=200円 04=200円 枠連:800円,,,,,,,,,,,
