10年 9月19日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 9月19日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝2970m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  芝2200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝1800m 3 歳ｵｰﾌﾟﾝ(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,関西ﾃﾚﾋﾞ放送賞ﾛｰｽﾞｽﾃｰｸｽ ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ａマｰベラスビジン, 48,内田博,, 47,* -2, -15, 2,  3.5,①①①, 1, 9, スリｰロゼット,,北沢伸,,,,, 6, 13.9,④②②, 1, 5,Ａシｰスナイプ, 78,北村友,, 78,* 15,*  2, 3,  5.3,③③③, 1, 6,Ｄアニメイトバイオ, 80,後藤浩,, 83,   6,* 13, 4, 11.6, ⑧⑦
 2, 5,Ｂキョウワオリオン, 47,黒岩悠, 0.0, 48,  -5,*-10, 1,  3.2,④⑥⑥, 2,10, ヒカリアライブ,,高野容,201.5,,,, 1,  2.9,②③③, 2, 3,Ｄレッドスティング, 68,内田博, 0.9, 70,* 15, -11, 1,  2.0,④④④, 2, 9,Ｂワイルドラズベリｰ, 82,安藤勝, 0.0, 86,   3,* 19, 6, 15.6, ⑪⑪
 3, 1,Ｄテイエムギンリュウ, 37,小牧太, 0.2, 44,* -3, -17, 4,  7.7,⑥②②, 3, 3, ハッピｰドロップ,,金折知,201.7,,,, 2,  3.9,①①①, 3, 8,Ｇトップミノル, 65,和田竜, 1.1, 68,  13, -11, 8, 87.1,⑤⑤⑤, 3,12,Ｈエｰシンリタｰンズ, 74,福永祐, 0.2, 82,   6,  10, 5, 13.5, ⑩⑧
 4, 2,Ｃヒデノオｰカン, 46,渡辺薫, 0.5, 46,  -4, -16, 3,  4.0,②④③, 4, 1, メイショウアｰチャ,,仲田雅,201.8,,,, 7, 19.4,③④④, 4, 4,Ｅモｰレツ, 66,国分恭, 1.1, 67,* 16, -19, 6, 19.4,①①①, 4, 5,Ａアパパネ, 85,蛯名正, 0.2, 80,   6,   9, 1,  2.1, ⑤⑤
 5, 3,Ｈプリティスカイ, 31,赤木高, 0.7, 43,  -4, -19, 7, 32.2,⑧③④, 5, 2, ツルマルビビッド,,白浜雄,201.9,,,, 4,  6.8,⑤⑦⑦, 5, 2,Ｈハリウッドスタｰ, 62,小牧太, 1.2, 66,  13, -10, 5,  8.8,⑦⑥⑥, 5, 4,Ｅトゥニｰポｰト, 80,和田竜, 0.6, 76,*  9,  -3, 8, 35.7, ①①
 6, 8,Ｅハクユウサンサン, 35,熊沢重, 1.7, 39,  -5, -26, 5,  8.3,⑤⑤⑤, 6,12, セフティファンキｰ,,南井大,202.2,,,, 3,  5.9,⑦⑤⑤, 6, 7,Ｂサンライズウィル, 74,川田将, 1.2, 67,* 15, -17, 4,  7.4,②②②, 6,11,Ｉニチドウルチル, 73,田嶋翔, 0.7, 75,   6,   2,11,243.9, ⑥⑥
 7, 9,Ｊスズノウルフ, 25,鮫島良, 1.9, 37,  -6, -25,10,108.1,⑦⑦⑦, 7, 4, タラリア,,岩崎祐,204.8,,,, 9, 21.8,⑧⑧⑧, 7, 1,Ｃタマモグランプリ, 74,浜中俊, 1.3, 67,  12, -10, 2,  4.4,⑧⑦⑦, 7, 7,Ｇアグネスワルツ, 78,柴田善, 0.8, 73,*  9,  -4, 2,  4.1, ②②
 8, 6,Ｇスプリングディナン, 34,鷹野宏, 2.0, 36,  -7, -22, 6, 12.3,⑨⑨⑨, 8, 8, シゲルカンスケ,,難波剛,204.9,,,,12,159.5,⑨⑨⑨,,,,,,,,,,,,, 8, 3,Ｆオウケンサクラ, 78,内田博, 0.8, 75,*  7,  -2, 3,  5.4, ④④
