10年10月 9日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年10月 9日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝3170m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝2000m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大原ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｉカリスマサンスカイ, 46,高倉稜,, 67,   6,*  0, 3, 10.7, ④④, 1, 1, テイエムハリアｰ,,白浜雄,,,,, 1,  1.8,①①①, 1, 2,Ｊヤマニンガｰゴイル, 70,池添謙,, 80,* 21, -20, 4,  8.6, ④②, 1, 5,Ａリルダヴァル, 95,福永祐,, 89,* 18,* -4, 1,  2.2,③④③
 2, 7,Ｅサカジロゴｰルド, 51,野元昭, 0.8, 62,*  7,  -8, 2, 10.2, ②②, 2,11, グロッケンライン,,高田潤,216.4,,,, 2,  4.3,②②②, 2, 1,Ｃアスカトップレディ, 77,藤田伸, 0.2, 77,* 20, -21, 2,  4.2, ③③, 2, 6,Ｈカワキタフウジン, 79,北村友, 0.6, 83,  14,* -4, 3,  5.7,⑪⑪⑪
 3, 6,Ｄビップセンノセン, 53,国分恭, 0.9, 64,*  9, -11,10, 30.3, ①①, 3, 4, ゴｰビハインド,,今村康,216.7,,,, 3,  6.2,⑦⑦⑥, 3,17,Ａマックスドリｰム, 79,藤岡康, 0.3, 79,   7,*  3, 5, 10.6, ⑰⑮, 3, 3,Ｂモエレビクトリｰ, 83,的場勇, 0.8, 80,* 19, -20, 2,  5.1,①①①
 4,13,Ａダッシャｰワン, 60,佐藤哲, 1.4, 56,   4, -10, 1,  1.8, ⑧⑧, 4, 9, シュンリキ,,植野貴,217.2,,,, 6, 24.7,⑫⑪⑩, 4, 9,Ｈカネトシスラｰヴァ, 72,川島信, 0.4, 77,  18, -20,10, 31.8, ⑧⑧, 4, 2,Ｄミッキｰパンプキン, 82,四位洋, 0.9, 81,  16, -11, 4,  7.4,⑧⑨⑨
 5, 3,Ｋオウエイロブロイ, 44,幸英明, 1.5, 56,   6, -13, 7, 14.5, ⑥⑥, 5,10, デンシャミチ,,小坂忠,217.3,,,, 5, 18.9,⑥④④, 5, 4,Ｑシンセサイザｰ, 64,和田竜, 0.5, 79,  11,* -4,13, 85.3, ⑮⑭, 5, 1,Ｆオｰトドラゴン, 80,渡辺薫, 0.9, 81,  17, -14, 5, 12.2,⑤⑦⑥
 6,14,Ｆネバｰプリンス, 47,田中克, 1.6, 52,  -2,* -6, 8, 18.0, ⑭⑬, 6,13, スリｰラスカル,,岩崎祐,217.5,,,, 4, 13.3,⑤⑤⑤, 6, 8,Ｅオｰルタｰゲット, 76,酒井学, 0.7, 73,  17, -22, 9, 25.0, ⑨⑩, 6, 7,Ｃアサティスボｰイ, 83,藤岡康, 1.0, 80,  16, -14, 8, 19.4,⑨⑧⑦
 7, 1,Ｂマウシャｰレ, 60,渡辺薫, 1.7, 54,   2, -10, 6, 12.5, ⑪⑦, 7, 7, メイショウチョイス,,黒岩悠,217.6,,,, 9, 44.1,⑧⑧⑨, 7,14,Ｌラブイズモネ, 69,川須栄, 0.8, 72,  14, -18,17,173.1, ⑬⑫, 7, 9,Ｇエｰシンコンファｰ, 79,秋山真, 1.5, 73,* 18, -28,11, 98.8,②②②
 8,11,Ｃユウキマリアッチ, 54,酒井学, 2.2, 48,   2, -15, 5, 10.9, ⑩⑨, 8, 3, マンノレｰシング,,金折知,217.9,,,, 8, 39.8,⑪⑫⑫, 8, 3,Ｋシｰキングフェイム, 69,幸英明, 1.0, 70,  18, -30, 8, 18.6, ⑥④, 8, 8,Ｅウィズディクタット, 80,小牧太, 1.9, 70,  17, -30,10, 50.8,⑥⑤⑤
