10年11月28日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年11月28日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 4R  芝2000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1600m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝2400m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,ﾍﾞｺﾞﾆｱ賞,,,,,,,,,,,,ｼﾞｬﾊﾟﾝｶｯﾌﾟ ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ｄプライドワン, 57,藤田伸,, 60,*  0,  -6, 1,  3.0, ③③, 1, 3, アンナドンナ,---,ギュイ,, 75, -19,* 24, 3,  5.9,⑧⑩⑨, 1, 9,Ｂナカヤマナイト, 70,柴田善,, 78,* -1,  13, 2,  2.8, ①①, 2,16,Ａブエナビスタ,104,スミヨ, 0.0,103,  12,* 29, 1,  1.9,⑭⑮⑬
 2, 6,Ｂビッグギャンブラｰ, 67,大庭和, 0.0, 58,*  1,  -7, 5, 10.4, ①①, 2, 6, ガリレオバロｰズ,---,松岡正, 0.0, 74, -20,* 23, 6, 18.8,⑪⑨⑧, 2, 5,Ａコティリオン, 73,武豊  , 0.3, 78,  -6,* 19, 1,  2.3, ⑤⑤, 1, 6,Ｅロｰズキングダム, 97,武豊  ,, 97,  13,  19, 4,  8.8,⑦⑥⑦
 3,15,Ｆセイカフォルテ, 57,津村明, 0.2, 58,  -3,* -2, 9, 26.0, ⑩⑪, 3, 7, フクシア,---,デムｰ, 0.0, 65,*-13,   7,11, 54.4,①①①, 3, 4,Ｃシルクマイベスト, 64,スミヨ, 0.3, 76,  -5,* 16, 3, 10.5, ②②, 3, 2,Ｇヴィクトワｰルピサ, 93,ギュイ, 0.3, 96,* 14,  16, 8, 28.2,②②②
 4,10,Ａトｰセンタｰボ, 70,吉田豊, 0.2, 56,  -3,* -4, 2,  4.0, ⑨⑨, 4, 8, ダノンウィスラｰ,---,スミヨ, 0.1, 68, -16,  15, 1,  2.1,④④④, 4,12,Ｍショウナンバｰズ, 50,内田博, 0.9, 71,  -6,  11, 4, 15.4, ⑦⑥, 4, 8,Ｊジャガｰメイル, 86,ムｰア, 0.4, 99,  10,* 27, 7, 20.4,⑮⑯⑯
 5, 9,Ｈミスタｰロックマン, 54,後藤浩, 0.3, 56,  -4,* -2, 6, 14.5, ⑭⑬, 5, 1, パルムドｰルピサ,---,内田博, 0.4, 67, -17,  13, 5, 13.7,⑤⑥⑥, 5, 8,Ｅメイショウトチワカ, 61,池添謙, 0.9, 71,  -9,  15, 7, 25.1, ⑨⑧, 5, 7,Ｂペルｰサ,102,安藤勝, 0.4,100,   9,* 29, 3,  8.4,⑱⑱⑱
 6, 1,Ｃモンク, 64,平野優, 0.6, 54,  -3,  -8, 4,  7.8, ⑦⑦, 6, 9, シンボリドンナｰ,---,吉田隼, 0.6, 60, -16,   6, 9, 34.2,⑩⑤⑤, 6,13,Ｆオメガブレイン, 61,ルメｰ, 1.0, 70,  -9,  13, 5, 16.1, ⑧⑨, 6,13,Ｈメイショウベルｰガ, 91,池添謙, 0.5, 95,  12,  19,11, 63.1,⑬⑪⑨
 7,12,Ｇドナリサ, 57,蛯名正, 0.7, 53,  -4,  -7, 3,  6.8, ⑫⑩, 7,14, マテンロウカフェ,---,武豊  , 1.2, 50,*-15,  -6, 2,  4.9,②②②, 7, 6,Ｌメルトアウェイ, 51,蛯名正, 1.3, 63,  -5,   2, 8, 27.9, ④④, 7,14,Ｆオウケンブルｰスリ, 94,ルメｰ, 0.5, 98,  10,* 25, 6, 15.8,⑰⑰⑰
 8, 2,Ｅレッドオブガバナｰ, 57,伊藤工, 0.9, 52,  -1, -12,12, 48.7, ⑤⑤, 8,10, コスモチャｰトイン,---,津村明, 1.2, 59, -21,  10,15,304.4,⑬⑬⑪, 8, 1,Ｈタイセイマテンロウ, 57,後藤浩, 1.4, 64, -11,  10, 6, 17.5, ⑬⑪, 8,10,Ｄエイシンフラッシュ, 97,内田博, 0.7, 93,* 14,  11, 5, 12.3,④③③
 9, 7,Ｌトｰセントレジャｰ, 49,ボニヤ, 1.1, 51,*  1, -17,11, 40.4, ②②, 9,13, ルイｰザシアタｰ,---,ルメｰ, 1.2, 59, -22,  10, 4,  9.5,⑫⑪⑫, 9, 7,Ｄダイワモｰビル, 63,北村宏, 1.5, 60,  -7,   1,11, 46.8, ⑥⑦, 9,18, シリュスデゼｰグル,---,ブロン, 0.7, 95,  11,  21,16,109.3,⑯⑬⑮
