10年 3月13日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 3月13日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝1600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 7R  ダ1400m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝1400m 4歳上1600万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,うずしおｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ａダイヤモンドムｰン, 76,福永祐,, 64,* -5,*  7, 1,  1.3,①①①, 1,15,Ｂランリョウオｰ, 62,藤岡佑,, 74,  -9,* 11, 2,  3.2, ⑪⑪, 1, 3,Ａレッドジｰル, 80,藤田伸,, 77,*  9,   5, 1,  2.1, ①①, 1,16,Ｌストリｰトスタイル, 78,浜中俊,, 84,   0,  16, 5, 15.0, ⑨⑨
 2,10,Ｂマイネヴィント, 60,浜中俊, 0.8, 59,* -5,*  2, 4, 22.0,③③③, 2,11,Ｄアスカトップレディ, 60,藤田伸, 0.1, 73,  -9,*  9, 5, 13.7, ⑩⑩, 2, 1,Ｈフェイズシフト, 72,太宰啓, 0.1, 77,   7,*  8, 7, 20.1, ⑤⑤, 2, 6,Ｅサワヤカラスカル, 81,藤岡佑, 0.0, 85,  -4,* 20, 3,  5.3, ⑫⑫
 3,13,Ｄメイケイソフィア, 58,幸英明, 1.6, 53,  -7,  -3, 5, 23.9,⑥④④, 3,12,Ａタガノサムアップ, 68,川田将, 0.8, 62,  -8,  -3, 1,  2.8, ⑥⑦, 3, 5,Ｍマジックアロｰ, 60,幸英明, 0.4, 75,   8,   4,10,103.2, ③②, 3,13,Ｊマイネエスポワｰル, 78,安部幸, 0.0, 82,   1,  13, 9, 23.6, ⑧⑦
 4, 7,Ｊロｰザフィオｰレ, 49,渡辺薫, 1.8, 52,  -7,  -4, 6, 24.0,⑤⑥⑤, 4,10,Ｅタガノマｰジョラム, 60,武幸四, 0.8, 59,* -5,  -8, 6, 14.3, ④③, 4,10,Ｄピｰスオブパワｰ, 78,藤岡佑, 0.8, 70,   3,   6, 2,  4.9, ⑩⑩, 4,14,Ｂフレンチノワｰル, 83,田辺裕, 0.0, 82,  -2,* 17,11, 36.3, ⑪⑩
 5, 5,Ｇコンカラン, 51,川田将, 1.9, 52,  -9,  -2, 7, 42.4,⑨⑫⑩, 5, 9,Ｇエイシンラッシャｰ, 56,小野次, 0.9, 61,  -9,  -2,10, 93.1, ⑨⑨, 5,14,Ｃブラッシュアップ, 78,浜中俊, 0.9, 70,   7,   1, 3,  5.3, ⑥⑥, 5,12,Ｈヤマカツマリリン, 80,田嶋翔, 0.1, 79,*  3,   8, 7, 18.8, ③③
 6, 6,Ｍニチドウルチル, 43,田嶋翔, 2.1, 48,* -5, -10, 8, 52.5,②②②, 6, 3,Ｌアルアラビアン, 47,四位洋, 1.0, 57,* -5,  -9, 3,  5.2, ③④, 6,15,Ｆメジロオマリｰ, 74,川田将, 0.9, 70,*  9,  -2, 4,  8.5, ④④, 6,10,Ｄツｰデイズノｰチス, 82,小牧太, 0.2, 81,  -4,* 17, 4,  6.7, ⑬⑬
 7,14,Ｋモンテロｰザ, 48,武幸四, 2.1, 54,  -7,  -6,11,194.1,⑫⑨⑥, 7, 7,Ｆヘッドザポｰル, 57,小牧太, 1.0, 55,* -4, -14, 4, 11.4, ①①, 7, 7,Ｂアグネスミヌエット, 79,四位洋, 1.0, 69,   3,   6, 6, 18.9, ⑪⑪, 7,15,Ｋフォｰチュンワｰド, 78,川田将, 0.3, 78,   2,   8,14, 63.7, ⑥⑤
 8, 2,Ｃフラッテロｰザ, 59,秋山真, 2.4, 46,  -9,  -6, 3, 10.1,⑪⑪⑨, 8, 6,Ｊクラヴィコｰド, 48,福永祐, 1.1, 57,* -5, -11, 8, 17.5, ⑤⑤, 8, 9,Ｌニシノホウギョク, 62,石橋守, 1.1, 69,   4,   2, 8, 26.8, ⑦⑦, 8, 9,Ｎクリノビスケット, 77,飯田祐, 0.3, 76,*  3,   6,15, 67.4, ②②
