10年 6月27日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 6月27日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  ダ1000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■10R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ函館,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｈピｰコックブルｰ, 46,勝浦正,, 59,* -3,*  7, 4,  6.6,①①①, 1, 9, イｰグルカザン,---,小野次,, 63,  -4,   3, 8, 17.5, ③②, 1,11,Ｉタイセイレジェンド, 57,芹沢純,, 70,   4,* 13, 2,  4.4,④③③, 1,11,Ｊダノンハラショｰ, 63,丸山元,, 66,*  5,   7, 3,  5.5,①①①
 2, 1,Ａリネンタキシｰド, 63,柴山雄, 0.3, 55,  -6,*  8, 3,  4.8,⑤⑤⑤, 2, 8, ナイスカスケｰド,---,小林徹, 0.2, 61,* -1,  -1, 2,  5.2, ①①, 2, 5,Ａマイネルビスタ, 74,木幡初, 0.4, 67,   3,* 12, 4,  7.0,⑦⑤④, 2, 9,Ｄシルクアルバス, 70,的場勇, 0.2, 67,   0,* 13, 9, 23.0,⑩⑫⑫
 3,11,Ｋトロサックス, 44,吉田隼, 0.6, 57,  -6,   6, 6, 13.2,⑨⑥⑥, 3, 2, エンジンゼンカイ,---,丸山元, 0.8, 55,  -4,  -4, 3,  6.1, ②③, 3, 2,Ｄシュヴァイツァｰ, 71,勝浦正, 0.7, 64,*  4,   6, 6,  9.3,②②②, 3, 1,Ｃリンガスアクタｰ, 71,上村洋, 0.3, 67,   3,   8, 8, 13.9,⑤⑥⑥
 4, 2,Ｃレッドガルｰダ, 60,四位洋, 1.0, 51,  -6,   2, 1,  3.0,③③②, 4, 5, ダイヤヘルメス,---,丸田恭, 1.1, 51,  -6,  -6, 9, 23.4, ⑤④, 4, 4,Ｈオｰスミカイエン, 58,古川吉, 1.3, 61,   2,   6, 5,  7.4,⑧⑧⑥, 4, 2,Ｇインディストラｰダ, 68,勝浦正, 0.4, 62,*  4,   4, 4,  6.3,③②②
 5, 5,Ｂネオペンドラゴン, 62,丸山元, 1.0, 53,  -8,   5, 2,  3.7,⑥⑧⑦, 5, 3, サマｰダリア,---,勝浦正, 1.2, 48, -24,*  5,11, 66.4, ⑧⑧, 5, 8,Ｆブロックバスタｰ, 68,小野次, 1.4, 63,   0,   8, 8, 19.8,⑨⑨⑦, 5,12,Ｅタマビッグボス, 70,丸田恭, 0.4, 64,   2,   8, 1,  4.0,⑧⑨⑨
 6, 7,Ｅトライバルシン, 55,古川吉, 1.2, 51,  -5,   0, 8, 36.2,④④④, 6, 4, ネコチｰタｰ,---,大野拓, 1.4, 46, -17,  -1,10, 59.2, ⑦⑦, 6, 6,Ｂレッドジｰル, 74,四位洋, 1.4, 59,*  5,   0, 1,  2.9,①①①, 6,10,Ｉリッカアリュｰル, 65,柴山雄, 0.6, 60,   2,   6, 7, 11.1,⑫⑦⑦
 7, 8,Ｆマイフェイヴァｰ, 52,黛弘人, 1.5, 51, -10,   5,11, 88.4,⑫⑫⑫, 7,12, アウトストラｰダ,---,柴山雄, 1.4, 47,  -7,  -8, 6, 13.8, ⑥⑤, 7,10,Ｅメイショウデジレ, 68,小島太, 1.7, 59,   2,   3, 9, 52.9,⑥⑦⑨, 7, 5,Ｈスタｰルｰセント, 65,黛弘人, 0.6, 62,   3,   4,11, 41.8,⑥④⑤
 8,12,Ｄイップク, 55,丸田恭, 1.5, 49,  -7,   0, 5, 11.8,⑦⑦⑧, 8, 1, メイショウテンカイ,---,上村洋, 1.5, 49,  -7,  -9, 1,  2.5, ④⑥, 8, 1,Ｊスマｰトドラゴン, 48,丸山元, 1.9, 57,   4,  -2, 7, 14.1,③④⑤, 8, 8,Ｋファｰトゥム, 62,大野拓, 0.7, 60,   2,   6,12,102.5,⑨⑧⑧
