10年 9月 4日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 9月 4日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝2850m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  芝1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  芝2000m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,弥彦特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｉダンサｰズドリｰム, 37,柴田善,, 53, -16,*  6, 6,  7.5, ⑪⑪, 1, 2, スズマｰシャル,,横山義,,,,, 2,  4.2,④②②, 1,12,Ｂトゥモロｰカフェ, 59,田中勝,, 63,*  3,   4, 1,  4.5,   , 1, 2,Ｅマッハヴェロシティ, 77,柴田善,, 89,  -1,* 21, 3,  5.3, ⑥⑥
 2,15,Ｎコスモハンサム, 15,石橋脩, 0.2, 52, -10,* -1,10, 53.7, ⑦⑧, 2,12, オンワｰドシェルタ,,穂苅寿,186.1,,,, 3,  7.9,⑧④③, 2, 2,Ｃオペラライコｰ, 58,松岡正, 0.2, 60,  -5,*  7, 6, 12.9,   , 2, 8,Ｈダブルレインボｰ, 74,石橋脩, 0.0, 87,*  2,  14, 8, 15.7, ①①
 3, 1,Ｄファインロマンス, 48,田中博, 0.2, 53,  -4,  -6, 1,  4.2, ③③, 3, 7, ハクサン,,石神深,186.3,,,, 1,  1.9,⑤①①, 3,13,Ｏパシャ, 34,木幡初, 0.4, 57,  -5,   4,14, 74.4,   , 3, 7,Ｃヒシセンチュリｰ, 81,内田博, 0.2, 87,   1,  16, 5,  7.1, ④⑤
 4,11,Ｊオヤシオ, 35,平野優, 0.4, 50,  -8,  -5, 7, 12.0, ⑥⑥, 4, 9, アコガレノダンス,,大江原,187.1,,,,13,182.8,①③④, 4, 6,Ａリュウシンクイｰン, 62,西田雄, 0.4, 55,  -9,*  7, 5,  7.6,   , 4, 1,Ｂステイツマンシップ, 82,吉田隼, 0.3, 87,   0,  19, 1,  3.4, ⑧⑧
 5,13,Ａユウキマリアッチ, 54,梶晃啓, 0.6, 48,* -3, -12, 5,  6.9, ②②, 5, 1, クイックステップ,,金子光,187.5,,,, 7, 29.7,⑨⑥⑤, 5,17,Ｉウエスタンドルチェ, 54,柴田善, 0.4, 56,  -3,   3, 3,  5.4,   , 5, 6,Ａトウショウデザｰト, 83,吉田豊, 0.4, 85,  -2,  18, 2,  4.9, ⑨⑩
 6, 6,Ｅコスモオルバｰス, 42,伊藤工, 0.8, 46, -16,*  0, 8, 27.9, ⑫⑫, 6, 6, キングマジック,,山本康,189.2,,,, 9, 93.1,⑫⑨⑦, 6,14,Ｄカツヨプリンセス, 58,武士沢, 0.5, 53, -14,*  8, 7, 17.0,   , 6, 4,Ｆレオプログレス, 76,江田照, 0.4, 87,  -2,  19, 7, 14.2, ⑩⑨
 7,14,Ｈロイヤルネイチャｰ, 38,内田博, 0.8, 48,  -4, -11, 3,  5.7, ④④, 7,11, ハンドクラッピング,,高野和,190.4,,,,12,166.7,⑦⑧⑧, 7,11,Ｆロｰテスクライト, 57,吉田隼, 0.8, 49, -18,*  9, 8, 23.5,   , 7, 9,Ｇビｰトブラック, 76,松岡正, 0.9, 76,*  2,   4, 6, 12.2, ③③
 8, 4,Ｆスピｰドサクラ, 39,田辺裕, 0.9, 46,  -5, -11,12,127.2, ⑤⑤, 8, 4, ユウタｰラッキｰ,,蓑島靖,190.6,,,,10,104.2,⑪⑪⑩, 8, 3,Ｅアポロジャスミン, 58,後藤浩, 0.8, 51,*  2,  -5, 2,  4.9,   , 8, 5,Ｉラヴォランテ, 72,伊藤工, 1.0, 74,*  2,   3,10, 72.9, ②②
 9, 8,Ｃコスモテロメア, 50,松岡正, 1.0, 45, -13,  -5, 4,  6.4, ⑨⑨, 9,13, トｰセンマンボ,,鈴木慶,190.7,,,, 6, 19.3,⑥⑦⑥, 9,15,Ｈクイｰンガバナンス, 55,蛯名正, 0.9, 47, -10,   0, 4,  5.5,   , 9,10,Ｄダイワオｰジｰ, 80,後藤浩, 1.3, 72,  -1,   2, 9, 31.8, ⑦⑦
10, 3,Ｍビヨンドザリミット, 32,武士沢, 1.5, 41, -10, -11,11, 68.0, ⑧⑦,10,10, フクノブリング,,草野太,192.1,,,,11,140.5,⑬⑩⑪,10, 4,Ｇムラマサヒメ, 55,田中博, 1.0, 48,*  1,  -8, 9, 24.8,   ,10, 3,Ｊナイスオペラ, 69,蛯名正, 1.4, 70,   1,  -1, 4,  6.0, ⑤④
11, 2,Ｋハテナキユメ, 33,小林淳, 1.7, 39,* -1, -22,14,239.9, ①①,11, 3, ヤマニンプレアデス,,柴田大,193.2,,,, 8, 32.5,②⑤⑨,11,10,Ｍインテレス, 38,石橋脩, 1.0, 49,* -1,  -7,13, 58.9,   ,,,,,,,,,,,,
12, 5,Ｂジョウショｰコトミ, 53,後藤浩, 2.4, 32, -13, -17, 2,  5.0, ⑩⑩,,,,,,,,,,,,,12, 8,Ｐウィルトゥウイン, 31,石神深, 1.0, 46, -10,  -2,15,141.5,   ,,,,,,,,,,,,
13,10,Ｌラバンビｰナ, 33,蛯名正, 3.3, 25, -25, -13, 9, 29.2, ⑮⑮,,,,,,,,,,,,,13, 1,Ｊセレブシチｰ, 53,二本柳, 1.1, 44, -11,  -2,11, 50.8,   ,,,,,,,,,,,,
14,12,Ｏリリｰコンコルド, 12,西田雄, 3.5, 24, -18, -22,15,296.2, ⑬⑬,,,,,,,,,,,,,14,16,Ｌムｰンウォｰク, 40,村田一, 1.6, 37, -11,  -9,10, 39.8,   ,,,,,,,,,,,,
15, 9,Ｇキチロクアユ, 39,二本柳, 4.6, 14, -22, -28,13,135.3, ⑭⑭,,,,,,,,,,,,,15, 5,Ｋブリタニアブルｰ, 44,北村宏, 1.7, 36, -13,  -8,12, 51.0,   ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16, 9,Ｎアイファｰワンピｰ, 34,江田照, 2.2, 27, -25,  -7,18,299.9,   ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17,18,Ｑミリオンヨハネス, 26,伊藤工, 2.3, 25, -27,  -7,17,282.0,   ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18, 7,Ｒミスアマルフィｰ, 24,柄崎将, 5.0,-15, -14, -54,16,173.5,   ,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-1),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-1),,,,,,,,,,,
"単勝:750円 複勝:07=290円 15=1,090円 01=180円 枠連:1,630円",,,,,,,,,,,,"単勝:420円 複勝:02=140円 12=150円 07=110円 枠連:1,280円",,,,,,,,,,,,"単勝:450円 複勝:12=190円 02=520円 13=1,510円 枠連:2,240円",,,,,,,,,,,,"単勝:530円 複勝:02=210円 08=350円 07=240円 枠連:1,690円",,,,,,,,,,,
"馬連:23,950円 ワイド:07-15=5,570円 01-07=740円 01-15=3,490円",,,,,,,,,,,,"馬連:1,680円 ワイド:02-12=340円 02-07=170円 07-12=220円",,,,,,,,,,,,"馬連:3,190円 ワイド:02-12=1,260円 12-13=3,480円 02-13=16,350円",,,,,,,,,,,,"馬連:4,090円 ワイド:02-08=1,380円 02-07=850円 07-08=1,740円",,,,,,,,,,,
"馬単:43,180円 3連複:28,530円 3連単:274,960円",,,,,,,,,,,,"馬単:2,990円 3連複:700円 3連単:7,570円",,,,,,,,,,,,"馬単:4,850円 3連複:63,740円 3連単:224,100円",,,,,,,,,,,,"馬単:6,630円 3連複:9,410円 3連単:63,210円",,,,,,,,,,,
■ 2R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 5R  芝1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■11R  ダ1200m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ新潟,,,,,,,,,,,,,,,,,,,,,,,,BSN賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ａショウナンパルフェ, 59,蛯名正,, 68, -10,* 10, 1,  1.6, ⑪⑨, 1,13, タガノラヴキセキ,---,田中博,, 59,* -9,*  3, 4, 13.6, ③③, 1,12,Ｅニシノブイシェｰプ, 74,内田博,, 75,*  4,   9, 1,  2.6, ②②, 1, 3,Ｆマハｰバリプラム, 86,蛯名正,, 86,   4,* 21, 4,  6.1, ④④
 2, 6,Ｇホッコｰガンバ, 44,田中勝, 0.4, 62,* -7,*  1, 4, 10.9, ③③, 2,14, エアギベオン,---,松岡正, 0.3, 58, -15,*  5, 1,  1.7, ⑩⑦, 2, 5,Ｏセンジンジョｰ, 63,松岡正, 0.2, 74,   0,* 12, 6, 16.5, ⑦⑥, 2, 1,Ｅアｰスサウンド, 87,松岡正, 0.1, 85,*  7,  17, 1,  3.2, ①①
 3, 3,Ｃコスモラングデン, 49,津村明, 0.4, 60,* -5,  -4, 5, 12.6, ①①, 3,11, マヒナ,---,蛯名正, 0.6, 52, -12,  -2, 2,  4.4, ⑤⑤, 3, 9,Ｆトｰホウブエナス, 72,嘉藤貴, 0.2, 73,   2,   9,10, 42.6, ⑤④, 3, 2,Ｋエノク, 82,田辺裕, 0.4, 82,   0,* 21, 6, 23.1, ⑥⑥
 4, 9,Ｂマイティｰジュニア, 55,吉田豊, 0.8, 54,* -7,  -7, 2,  5.9, ⑤⑤, 4, 4, ブルｰスタｰ,---,田中勝, 0.7, 51, -12,  -4, 8, 31.4, ④④, 4, 7,Ｄエイコオミリオン, 75,村田一, 0.2, 73,   3,   9, 3,  5.1, ③③, 4,11,Ｃトｰホウドルチェ, 89,内田博, 0.5, 82,   5,  16, 2,  3.2, ③③
 5,10,Ｌエｰブトウコン, 40,田辺裕, 1.1, 54, -11,  -2,11,183.0, ⑩⑫, 5, 2, クリアザウェイ,---,北村宏, 0.7, 54, -19,*  5, 3,  8.6, ⑮⑭, 5, 3,Ｊタイキブルｰス, 67,小野寺, 0.3, 72,  -6,* 16, 5, 15.3, ⑬⑬, 5, 9,Ｂアウトクラトｰル, 89,石橋脩, 0.7, 80,   5,  14, 3,  4.4, ②②
 6,16,Ｅダイワスプレンダｰ, 48,後藤浩, 1.2, 55, -11,  -1, 7, 24.0, ⑮⑮, 6,10, ミサノグリｰン,---,津村明, 1.0, 48,* -9, -10, 6, 20.9, ②②, 6,11,Ｂシャイニｰクエスト, 76,吉田豊, 0.7, 68,   0,   7, 2,  4.1, ⑥⑦, 6, 8,Ａファイナルスコアｰ, 90,後藤浩, 1.0, 76,   2,  14, 5,  9.2, ⑤⑤
 7,14,Ｊメリｰポピンズ, 41,内田博, 1.3, 50,* -6, -13, 3, 10.8, ⑥⑥, 7,16, ヒショウ,---,石橋脩, 1.0, 48, -13,  -6,12, 84.7, ⑥⑥, 7,15,Ａモアザンストｰム, 76,柴田善, 0.9, 67,*  6,   0, 4,  9.1, ①①, 7, 6,Ｈダイワエンパイア, 83,北村宏, 1.1, 75,  -2,  16, 7, 43.0, ⑧⑧
 8, 1,Ｍラブバｰボン, 39,伊藤工, 1.3, 50,  -9,  -8,12,186.8, ⑧⑦, 8, 8, ラストブライト,---,木幡初, 1.2, 48, -17,  -2,15,198.2, ⑬⑫, 8, 8,Ｇヤマニントップギア, 72,伊藤工, 0.9, 65,  -4,   8,13,104.5, ⑩⑩, 8, 7,Ｇグランドラッチ, 85,田中勝, 1.3, 74,  -3,  15, 8, 54.7, ⑪⑪
 9, 5,Ｆマイネシェリｰ, 45,田中博, 1.6, 45,  -8, -15,13,193.0, ④④, 9,12, カネコメスキｰ,---,小野寺, 1.2, 46, -17,  -4,14,134.2, ⑫⑬, 9, 4,Ｌラッシュザワｰク, 66,平野優, 1.0, 66,  -5,   9,14,139.8, ⑪⑫, 9,10,Ｄカルナバリｰト, 88,吉田豊, 1.5, 71,  -1,  12,10, 59.9, ⑩⑩
10, 8,Ｉサｰランスロット, 41,松岡正, 1.6, 44,* -5, -20, 6, 17.5, ②②,10, 7, マルタｰズグロウヴ,---,吉田豊, 1.4, 42, -15,  -9,11, 80.1, ⑨⑩,10,10,Ｉマルタシュンプウ, 70,江田照, 1.1, 64,  -2,   5, 9, 36.0, ⑧⑧,10, 5,Ｊケイアイエｰデル, 82,江田照, 1.7, 71,  -1,  11, 9, 57.7, ⑨⑨
11,12,Ｎマイプレシャス, 38,小林淳, 1.6, 50, -13,  -4,16,463.2, ⑯⑯,11, 1, アップルポテト,---,小野次, 1.6, 41, -17,  -8,10, 77.6, ⑪⑪,11, 2,Ｈシンボリバッハ, 70,田中勝, 1.2, 64,  -9,  11, 8, 23.3, ⑭⑭,11, 4,Ｉサラトガ, 82,木幡初, 1.8, 69,   0,   8,11,140.8, ⑦⑦
12, 7,Ｄレッドキュｰト, 49,江田照, 1.9, 44, -12, -12, 8, 24.2, ⑭⑭,12, 9, ヨアケ,---,後藤浩, 1.7, 38,* -7, -23, 5, 16.1, ①①,12, 1,Ｍデュアルサクセス, 65,蛯名正, 1.3, 64,  -6,   8, 7, 23.0, ⑫⑪,,,,,,,,,,,,
13, 4,Ｋジパングファｰスト, 41,武士沢, 2.3, 38, -12, -18,15,397.6, ⑬⑬,13,15, トｰホウオトヒメ,---,吉田隼, 2.0, 38, -21,  -7, 9, 63.0, ⑯⑯,13, 6,Ｎペイアテンション, 64,木幡初, 1.7, 59,  -3,   0,15,392.3, ⑨⑨,,,,,,,,,,,,
14,15,Ｏコスモアリア, 30,柴田大, 2.7, 31,  -9, -30,14,209.6, ⑫⑩,14, 5, クリノナイトヤナギ,---,武士沢, 2.2, 35, -13, -19,16,234.4, ⑧⑨,14,13,Ｃトｰホウロｰド, 75,石橋脩, 1.7, 61,   4,  -4,11, 50.1, ④⑤,,,,,,,,,,,,
15, 2,Ｈベニバナクラウン, 41,石橋脩, 2.8, 32, -11, -28,10,153.3, ⑨⑪,15, 6, ラヴァリｰシｰク,---,内田博, 2.2, 35, -17, -15, 7, 30.6, ⑭⑮,15,14,Ｋフォルメン, 67,吉田隼, 5.6, 25,  -8, -28,12, 51.4, ⑮⑮,,,,,,,,,,,,
16,11,Ｐエｰシンボダイジュ, 26,吉田隼, 3.2, 24, -10, -36, 9, 89.5, ⑦⑧,16, 3, エｰブマンテン,---,田辺裕, 2.4, 31, -13, -23,13, 91.9, ⑦⑧,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
